Hiligaynon,English
Ginatubol sia sang tulo ka adlaw.,He/She has been constipated for three days.
Lumsan ang iya pilas.,His/Her wound is infected.
Hugasi sang maayo ang imo kamut.,Wash your hands well.
Tuli na bala ang imo bata?,Is your child circumcised already?
Maalam ang doktor sa ospital.,The doctor at the hospital is wise/skilled.
Inom ka sang bulong sa ubo.,Drink some cough medicine.
Haplasi sang lana ang akon likod.,Rub some oil on my back.
Nabali ang iya wala nga takway.,His/Her left arm was broken.
Kalatolon ang akon panit.,My skin is itchy.
Nagapalanunot ang akon mga tudlo.,My fingers are feeling numb.
Maayo na ang akon pamatyan.,I feel better now.
Diin dampi ang masakit sa imo?,Which part of you hurts?
Buksi ang imo ba-ba.,Open your mouth.
Gwa ang imo dila.,Put out your tongue.
Gisi ang iya dunggan.,His/Her ear is torn.
Mataas ang iya dugo subong.,His/Her blood pressure is high right now.
Kinahanglan mo magpahuway sing maayo.,You need to rest well.
Indi ka mag-isog sang imo lawas.,Do not overexert your body.
Maluya ang akon tuhod sa lakat.,My knees are weak from walking.
Nagapalanakit ang akon mga pama-an.,My joints are aching.
May bukul sia sa iya liog.,He/She has a lump on his/her neck.
Kinahanglan ini operahan sang madasig.,This needs to be operated on quickly.
Wala sia sing gana magkaon.,He/She has no appetite to eat.
Sige lang ang iya suka kag lupot.,He/She keeps vomiting and having diarrhea.
Na-aywan ang iya abaga.,His/Her shoulder is dislocated.
Dal-a sia sa klinika subong.,Take him/her to the clinic now.
Tagpila ang reseta sini?,How much is this prescription?
Matig-a ang iya mga masel.,His/Her muscles are hard/stiff.
Nagadugo ang iya irong.,His/Her nose is bleeding.
Nakatindog na ang pasyente.,The patient is able to stand now.
Salamat sa Dios kay buhi pa sia.,Thank God he/she is still alive.
Ano ang ginabatyag mo?,What are you feeling?
Daw malipong ako sa init.,I feel like fainting from the heat.
Pungko anay sa idalom sang landong.,Sit down first under the shade.
Inom ka sang madamo nga tubig.,Drink plenty of water.
Hilam-usi ang imo guya.,Wash your face with water.
Putla ang imo kuko.,Cut your nails.
Madamo sia sing agi sa lawas.,He/She has many scars on the body.
Nasunog ang iya palad.,His/Her palm was burned.
Bantayi ang iya lakat sang ginhawa.,Watch the rhythm of his/her breathing.
Mapait ang bulong pero maayo ini.,The medicine is bitter but it is good.
Tulon sing maayo ang pildoras.,Swallow the pill properly.
Indi ka maglagaw kon may sakit ka.,Do not go out if you are sick.
Mag-maskara ka kon mag-gwa.,Wear a mask when you go out.
Limpyo ang hangin sa uma.,The air in the farm is clean.
Nagalubog ang iya mga mata.,His/Her eyes are sinking.
Kulang sia sa bitamina.,He/She is lacking in vitamins.
Kaon ka sing madamo nga prutas.,Eat a lot of fruits.
Matam-is ang duga sang prutas.,The fruit juice is sweet.
Maayo ang dagan sang iya dugo.,His/Her blood circulation is good.
May pilas sia sa iya daku nga tudlo.,He/She has a wound on his/her thumb.
Hapdi sang akon mata tungod sa aso.,My eyes are stinging because of the smoke.
Buhini ang imo pagkaon sang asin.,Reduce your intake of salt.
Indi mag-inom sang sobra nga kape.,Do not drink too much coffee.
Masakit ang akon siko.,My elbow hurts.
Nagahubag ang iya punga.,His/Her gums are swelling.
Gabuton na ang iya basang.,His/Her molar needs to be pulled out.
May kimpit ang iya buhok.,There is a clip in her hair.
Malaba na ang imo bungut.,Your beard is long already.
Barubasi ang imo bungut.,Shave your beard.
Maputi na ang buhok sang tigulang.,The elderly person's hair is already white.
May kuto ang bata sa ulo.,The child has lice on the head.
Husaya ang imo buhok.,Comb your hair.
Mabaho ang iya ginhawa.,His/Her breath smells bad.
Sipilyo ka sang imo ngipon.,Brush your teeth.
May bungi sia sa iya bibig.,He/She has a harelip on his/her lip.
Nakapi-ang sia sa dalagan.,He/She got a sprain from running.
Hilasa ang pasyente sang alkohol.,Rub the patient with alcohol.
Bugnaw ang iya agtang subong.,His/Her forehead is cool now.
Wala na sia sing hilanat.,He/She doesn't have a fever anymore.
Makatindog na sia sing isahanon.,He/She can stand up on his/her own.
Dal-a ang pasyente sa gwa.,Bring the patient outside.
Masanag na ang iya guya.,His/Her face is bright/clear now.
Maayo gid ang pagtatap sa iya.,The care for him/her is very good.
Mag-andam kamo sa inyo lawas.,Take care of your bodies.
Lawas ang puhunan naton sa ubra.,Our body is our investment in work.
Indi magpatuyang sa pagkaon.,Do not overindulge in eating.
Tulog sing husto kada gab-i.,Sleep enough every night.
Mag-ehersisyo kamo kada aga.,Exercise every morning.
Mabakud ang iya panglawas.,His/Her health is robust.
Kabay pa nga mag-ayo ka na.,I hope you get well soon.
"Amen, salamat gid sa pangamuyo.","Amen, thank you very much for the prayer."
Diin ang botika diri?,Where is the drugstore here?
Bakal ka sang gapas kag alkohol.,Buy some cotton and alcohol.
Limpyuha ang pilas kada adlaw.,Clean the wound every day.
Tabuni ang pilas sang limpyo nga tela.,Cover the wound with a clean cloth.
Indi pag-ubton ang bulong.,Do not stop the medicine (abruptly).
Sunda ang hambal sang doktor.,Follow the doctor's words.
Malipayon kami kay maayo ka na.,We are happy because you are well now.
Mag-andam ka pirme sa imo lakat.,Always be careful on your way.
Tubtob sa liwat naton nga pagkitaay.,Until our next meeting.
Isá ka bilog nga tinapay.,One piece of bread.
Duha ka baso nga tubig.,Two glasses of water.
Tatlo ka adlaw ang byahe.,The trip is three days long.
Apat ka tuig na ang nakalipas.,Four years have already passed.
Lima ka gatos ang plete.,The fare is five hundred.
Anum ka bulan ang kontrata.,The contract is for six months.
Pito ka sako nga bugas.,Seven sacks of rice.
Waló ka bilog nga itlog.,Eight pieces of eggs.
Siyam ka dupa ang kudal.,The fence is nine arm-spans long.
Napulo ka pesos ang sukli.,The change is ten pesos.
Onse ka oras ang tulog ko.,My sleep was eleven hours.
Dose ka bilog ang isa ka dusing.,One dozen is twelve pieces.
Beinte ka gatos ang utang niya.,His debt is two thousand.
Trenta ka adlaw sa isa ka bulan.,Thirty days in one month.
Kuarenta ka tuig na sia.,He/She is already forty years old.
Singkuenta pesos ang kilo.,Fifty pesos per kilo.
Sesenta ka minuto sa isa ka oras.,Sixty minutes in one hour.
Setenta ka bilog nga lubi.,Seventy pieces of coconuts.
Ochenta ka sako nga tubo.,Eighty sacks of sugarcane.
Nobenta ka porsyento ang grado.,The grade is ninety percent.
Isa ka gatos ka tawo ang ari.,One hundred people are here.
Isa ka libo ang bayad.,The payment is one thousand.
Pila ka kilo ang dala mo?,How many kilos are you carrying?
Bug-at ini sing lima ka libra.,This weighs five pounds.
Malapad ini sing tatlo ka dangan.,This is three palm-widths wide.
Malaba ini sing apat ka piyé.,This is four feet long.
Gamay lang ang sulod sini.,There is only a little inside this.
Madamo ang bunga sang kahoy.,The tree has many fruits.
Katunga lang ang ihatag mo.,Give only one half.
Ikapat nga parte ang unod.,One fourth part is the content.
Pila na ang oras subong?,What time is it now?
Alas-sais na sang aga.,It is already six o'clock in the morning.
Alas-dose na sang udto.,It is already twelve o'clock noon.
Alas-tres na sang hapon.,It is already three o'clock in the afternoon.
Alas-otso na sang gab-i.,It is already eight o'clock in the evening.
Tungang gab-i na gid.,It is already midnight.
Pila ka minuto ang nabilin?,How many minutes are left?
Karon sa hapon ako maabot.,I will arrive later this afternoon.
Bwas sa aga kita malakat.,We will leave tomorrow morning.
Sang kaisa nga adlaw pa ina.,That was from the other day.
Sang nagligad nga semana.,Last week.
Sa masunod nga bulan.,Next month.
Subong nga tuig ang amon kasal.,Our wedding is this year.
Kada adlaw ako naga-obra.,I work every day.
Kada semana ang amon sweldo.,Our salary is every week.
Bulan-bulan ang balayran.,The payment is monthly.
Tuig-tuig ang amon pyesta.,Our fiesta is every year.
Lunes ang sugod sang klase.,Monday is the start of classes.
Martes ako makadto sa banwa.,Tuesday I will go to town.
Miyerkules ang amon pahuway.,Wednesday is our rest day.
Huwebes ang tyempo sang merkado.,Thursday is market time.
Biyernes ang tapos sang ubra.,Friday is the end of work.
Sabado ang amon pagpanglaba.,Saturday is our washing day.
Domingo ang adlaw sang pahuway.,Sunday is the day of rest.
Enero ang sugod sang tuig.,January is the start of the year.
Pebrero ang bulan sang gugma.,February is the month of love.
Marso ang sugod sang ting-adlaw.,March is the start of the dry season.
Abril ang bulan sang bakasyon.,April is the month of vacation.
Mayo ang kapiyestahan diri.,May is the fiesta season here.
Hunyo ang sugod sang ting-ulan.,June is the start of the rainy season.
Hulyo ang tunga sang tuig.,July is the middle of the year.
Agosto ang bulan sang paho.,August is the month of mangoes.
Septyembre ang sugod sang amon ubra.,September is the start of our work.
Oktubre ang tig-alani sang humay.,October is the rice harvest season.
Nobyembre ang adlaw sang mga patay.,November is the day of the dead.
Disyembre ang bulan sang Paskwa.,December is the month of Christmas.
Pila ka dupa ang kalabaon?,How many arm-spans is the length?
Malapad ang dalan sa syudad.,The road in the city is wide.
Mataas ang pader sang balay.,The wall of the house is high.
Manubo lang ang kudal namon.,Our fence is just low.
Madamol ang tela sang bayu.,The fabric of the dress is thick.
Maniwang ang kanding sa uma.,The goat on the farm is thin.
Matig-a ang unod sang lubi.,The coconut meat is hard.
Mahumok ang duta sa pangpang.,The soil on the bank is soft.
Masobra ini sa tatlo ka kilo.,This is more than three kilos.
Kulang ini sing isa ka litro.,This is lacking one liter.
Husto lang ang timbang sini.,The weight of this is just right.
Bug-at gid ang sako sang asukar.,The sack of sugar is very heavy.
Magang-an lang ang bulak.,Cotton is just light.
Pila ka porsyento ang nakuha mo?,What percentage did you get?
Katunga lang ang ihatag ko sa imo.,I will give you only half.
Isá ka dusing nga itlog.,One dozen eggs.
Pila ka bilog ang gusto mo?,How many pieces do you want?
Isa ka libo ka sako ang karga.,The load is one thousand sacks.
Ginatos ka tawo ang nagtambong.,Hundreds of people attended.
Linibo ka pesos ang nagasto ko.,I spent thousands of pesos.
Pila ka beses ka nagkaon?,How many times did you eat?
Duha ka beses sa isa ka adlaw.,Twice a day.
Kaisa lang ako nakakadto didto.,I have only been there once.
Makapila ka na nag-abot?,How many times have you arrived?
Tagsingkuenta ang kada kilo.,Each kilo is fifty pesos.
Tagpila ang isa ka bilog?,How much for one piece?
Pila ang kabilugan sang utang?,What is the total of the debt?
Ihatag ang kulang nga sukli.,Give the lacking change.
Sobra ang ginhatag mo sa akon.,What you gave me was too much.
Husto gid ang imo itir.,Your calculation is exactly right.
Mag-isip ka sing maayo.,Count carefully.
Balika ang pag-isip sang kwarta.,Recount the money.
Salamat sa husto nga pag-isip.,Thank you for the correct counting.
Gusto ko mag-eskwela sa banwa.,I want to go to school in town.
Maalam gid ang amon maestro.,Our teacher is very intelligent.
Diin ang imo libro sa Hiligaynon?,Where is your Hiligaynon book?
Magtuon ka sang imo lesyon.,Study your lesson.
Pila ang grado mo sa matematika?,What is your grade in mathematics?
Malapad ang ugsaran sang eskwelahan.,The school campus is wide.
Nagasulat ako sang binalaybay.,I am writing a poem.
Basaha ang yara sa papan.,Read what is on the board.
May ara ako sing papel kag pensil.,I have paper and a pencil.
Sin-o ang prinsipal sang eskwelahan?,Who is the principal of the school?
Mataas ang amon matun-an subong.,We have much to learn today.
Indi ako kabalo magbasa sang kasing.,I don't know how to read the script.
Buligi ako sa akon asaynment.,Help me with my assignment.
Tapos na ang amon klase.,Our class is finished.
San-o ang inyo nga eksamen?,When is your exam?
Nakapasar ako sa tanan nga sabak.,I passed all the subjects.
Nagahampang ang mga bata sa plasa.,The children are playing at the plaza.
Maisog sia maghambal sa atubang.,He/She is brave to speak in front.
Pamati kamo sa ginasiling sang maestra.,Listen to what the teacher is saying.
Indi kamo maggahod sa sulod sang hulot.,Do not be noisy inside the room.
Maayo ang imo agi sa pagsulat.,Your handwriting is good.
Pila ka tuig ang kurso mo?,How many years is your course?
Graduado na sia sa kolehiyo.,He/She is already a college graduate.
Gusto ko makatapos sang pagtuon.,I want to finish my studies.
Maragtas ang paborito ko nga sabak.,History is my favorite subject.
May daku kami nga librarya diri.,We have a big library here.
Husto gid ang imo sabat.,Your answer is exactly right.
Sala ang imo pag-isip sang numero.,Your calculation of the numbers is wrong.
Pataura ang imo pinsar.,Sharpen your mind.
Magpamangkot ka kon wala ka kabalo.,Ask a question if you don't know.
Intiendehon mo ang ginabasa mo.,Understand what you are reading.
Ano ang topiko sang inyo diskusyon?,What is the topic of your discussion?
Nagahimo kami sang proyekto.,We are making a project.
Kulang ang akon tinta sa bolpen.,My pen is lacking ink.
Diin ang imo bag nga pang-eskwela?,Where is your school bag?
Buksi ang imo libro sa pahina dies.,Open your book to page ten.
Siraduha ang notebook mo.,Close your notebook.
Mag-ensayo kita sang kanta.,Let's practice the song.
May sinapol ang mga ginikanan.,The parents have a meeting.
Libre ang edukasyon sa publiko.,Education is free in public (schools).
Maugod ang mga estudyante diri.,The students here are diligent.
Indi kamo mag-absent sa klase.,Do not be absent from class.
Masanag ang palaabuton sang maalam.,The future of the wise is bright.
Ang ihibalo amo ang manggad.,Knowledge is wealth.
Tuonan naton ang aton maragtas.,Let's study our history.
Sabta ang mga pamangkot sa idalom.,Answer the questions below.
Isulat ang imo ngalan sa papel.,Write your name on the paper.
Ano ang paborito mo nga libro?,What is your favorite book?
Nagatuon kami sang bag-o nga pulong.,We are learning a new word.
Diin dampi ang opisina sang dekano?,Where is the dean's office located?
Pila ka estudyante ang ara sa klase?,How many students are in the class?
Matig-a ang ulo sang bata nga ina.,That child is stubborn (hard-headed).
Malulu ang tingog sang nagahambal.,The speaker's voice is gentle.
Indi mag-ilinaway sa sulod sang eskwelahan.,Do not fight inside the school.
Respetuha ang inyo mga kaupod.,Respect your peers.
Maayo ang record sang iya grado.,His/Her grade record is good.
Kinahanglan naton sing dugang nga silya.,We need more chairs.
Masanag ang suga sa hulot-tuonan.,The light in the study room is bright.
San-o ang sugod sang bakasyon?,When is the start of the vacation?
Malipayon kami sa amon pag-eskwela.,We are happy in our schooling.
Mag-andam ka sa imo pagpauli.,Be careful on your way home.
Ihatag ini sa imo maestro.,Give this to your teacher.
Nakalimtan ko ang akon baon.,I forgot my packed lunch.
Hatagi ako sing gamay nga papel.,Give me a small piece of paper.
Gamita ang panggura sa sining sala.,Use the eraser on this mistake.
Isulod ang mga gamit sa kaban.,Put the things inside the chest/locker.
Tapusa ang inyo ubra subong.,Finish your work today.
May pasundayag kami sa Biyernes.,We have a performance on Friday.
Kaupod ko ang akon mga klasmeyt.,I am with my classmates.
Ano ang kabilugan nga grado mo?,What is your total grade?
Matuod gid ang ginasiling sang libro.,What the book says is really true.
Indi maghimo sing kinagula sa klase.,Do not make a ruckus in class.
Pungko kamo sing maayo.,Sit down properly.
Bukas ang eskwelahan sa tanan.,The school is open to all.
Ipaathag ang imo rason.,Explain your reason.
Naga-intra ako sa paindis-indis.,I am participating in the competition.
Nagdaog sia sang una nga padugung.,He/She won the first prize/honor.
Proud ang mga ginikanan sa iya.,The parents are proud of him/her.
Magpadayon kamo sa inyo pagtuon.,Continue with your studies.
Kabay pa nga madamo kamo sing matun-an.,I hope you learn many things.
Ining eskwelahan daku gid.,This school is very big.
Limpyo ang palibot sang kakahuyan.,The surroundings of the grove are clean.
Pila ka kwarto ang ara sa bilding?,How many rooms are in the building?
San-o ang adlaw sang gradwasyon?,When is graduation day?
Isul-ob ang inyo uniporme.,Wear your uniforms.
Mahumok ang iya buot sa pagtudlo.,His/Her heart is soft (patient) in teaching.
Indi mag-untat sa pagpangita sang kamatuoran.,Do not stop searching for the truth.
Malayo ang lalakton pakadto sa kolehiyo.,It is a long walk to the college.
Ari na ang inyo report kard.,Here is your report card.
Basaha sing maayo ang direksyon.,Read the directions carefully.
Isulat ang sabat sa tunga.,Write the answer in the middle.
Tapos na ang oras sang pagsulat.,The time for writing is over.
Ihatag ang mga papel sa unahan.,Pass the papers to the front.
Salamat sa inyo pagpamati.,Thank you for your listening.
Maayong hapon sa inyo tanan.,Good afternoon to you all.
Mag-andam kamo sa pagtabok sa dalan.,Be careful in crossing the road.
Tubtob sa liwat nga pagkitaay sa klase.,Until we meet again in class.
Maayo gid ang inyo ginpakita subong.,What you showed today was very good.
"Hu-o, maningkamot pa kami gid.","Yes, we will strive even harder."
"Amen, mangin maayo ang tanan.","Amen, everything will be well."
Pungko ka sa siyam nga kawayan.,Sit on the bamboo chair.
Malapad ang amon lamesa sa kusina.,Our kitchen table is wide.
Diin mo ginbutang ang kutsara?,Where did you put the spoon?
Hugasi ang tinidor kag tinapay.,Wash the fork and the plate.
Inom ka sang tubig sa baso.,Drink water from the glass.
Mainit pa ang kape sa tasa.,The coffee in the cup is still hot.
Punu-a ang banga sang tubig.,Fill the clay jar with water.
Gamita ang kabu sa pagpaligo.,Use the dipper for bathing.
Isulod ang bayu sa kaban.,Put the clothes inside the chest.
Trapuhi ang salog sang balay.,Wipe the floor of the house.
Basulon mo ang mga pinggan.,Wash the dishes.
Siraduha ang pultahan sang kwarto.,Close the door of the room.
Buksi ang bintana para sa hangin.,Open the window for the air.
Matig-a ang unod sang lubi.,The coconut meat is hard.
Kagusa ang lubi para sa gata.,Grate the coconut for the milk.
Isulod ang kan-on sa daba.,Put the rice in the clay pot.
Mainit ang sabaw sang tinola.,The tinola soup is hot.
Namit gid ang imo luto subong.,Your cooking is very delicious today.
Ubosa ang pagkaon sa pinggan.,Finish the food on the plate.
Pudyota ang basura sa idalom.,Pick up the trash underneath.
Ihaboy ang higko sa gwa.,Throw the dirt outside.
Limpyuha ang ugsaran sang balay.,Clean the yard of the house.
Panyuson mo ang imo guya.,Wipe your face.
Isul-ob ang imo bag-o nga bayu.,Wear your new clothes.
Labhi ang mga mahigko nga tela.,Wash the dirty fabrics.
Ibulad ang mga linabhan sa init.,Dry the laundry in the sun.
Pili-a ang mga luto nga paho.,Choose the ripe mangoes.
Pila ka bilog nga itlog ang luto?,How many pieces of eggs are cooked?
Isagol ang asin sa utan.,Mix the salt into the vegetables.
Matam-is ang kalamay sa kape.,The sugar in the coffee is sweet.
Maaslam ang duga sang kalamansi.,The juice of the calamansi is sour.
Mapait ang panyaga namon subong.,Our lunch is bitter today.
Busog na gid ang mga bata.,The children are very full.
Patya ang suga sa sala.,Turn off the light in the living room.
Sindaha ang mitsa sang tinghoy.,Light the wick of the oil lamp.
Mahumok ang ulunan sa kama.,The pillow on the bed is soft.
Habuni ang imo lawas sang maayo.,Soap your body well.
Husaya ang imo gulo nga buhok.,Comb your messy hair.
Putla ang kuko sang imo kamut.,Cut the nails of your hand.
Sipilyo ka sang imo mga ngipon.,Brush your teeth.
