en	hil
That the workshop was lowkey awesome.	Ang trabaho manubo sing mgakey.
I'm highkey obsessed with this writers.	Mataas ako ngakey nga mahuyugon sa sining mga manunulat.
Bruh, that doctors was on point.	Bruh, buot silingon, ang mga doktor amo ang manug - abot.
Bruh, that scientists was on point.	Bruh, buot na sadto mahibaluan sang mga sientipiko.
I'm highkey obsessed with this musicians.	Nagahandum ako sa sini nga mga musikero.
That the meal was lowkey awesome.	Ang pagkaon sadto manubo ngakey makahalawhaw.
writers have never disappointed me.	wala gid ako malugaw - an sang mga manunulat.
I got major FOMO from missing that musicians.	Nakakuha ako sing daku nga FOMO bangod wala ko ini matigayon nga mga musikero.
I've always admired this movie.	Nanamian gid ako sa sini nga pelikula.
I got major FOMO from missing that my new phone.	Nakakuha ako sing daku nga FOMO bangod wala ko makita ang akon bag - o nga telepono.
I look forward to more of the game.	Ginapaabot ko ang dugang pa nga hampang.
I'm highkey obsessed with this the conference.	Luyag ko gid ini himuon.
the workshop are truly remarkable.	ang ulubrahan talalupangdon gid.
athletes are always delightful.	Ang mga atleta pirme makalilipay.
That the concert was lit!	Nga ang konsierto ginsindi!
I genuinely appreciate the game.	Ginaapresyar ko gid ang hampang.
I've always admired vegetarians.	Pirme ko ginadayaw ang mga ngunista.
That the concert was lowkey awesome.	Nga ang konsierto manubo sing duag ngakey.
this book have never disappointed me.	Ini nga libro wala gid magpaslaw sa akon.
I'm totally vibing with this athletes.	Naga - upod - upod ako sing bug - os sa sining mga atleta.
I'm totally vibing with this the conference.	Naga - upod ako sing bug - os sa sini nga komperensia.
I had a wonderful experience with the concert.	Makalilipay gid ang akon eksperiensia sa konsierto.
I look forward to more of the workshop.	Ginapaabot ko ang dugang pa nga mga imprintahan.
I am consistently impressed by the game.	Pirme ako nagadayaw sa hampang.
I've always admired engineers.	Pirme ko ginadayaw ang mga enhinyero.
Bruh, that my new phone was on point.	Bruh, nga ang akon bag - o nga telepono husto na.
I've always admired artists.	Pirme ko ginadayaw ang mga artist.
the concert are so woke.	ang konsierto nakabugtaw gid.
That artists was lowkey awesome.	Yadto nga mga pintor tuman ka makahalawhaw.
I'm highkey obsessed with this this movie.	Nagahampang ako sing madamo sa sini nga pelikula.
I genuinely appreciate scientists.	Ginaapresyar ko gid ang mga sientipiko.
the meal are always delightful.	ang pagkaon pirme makalilipay.
I got major FOMO from missing that scientists.	Nakakuha ako sing daku nga FOMO bangod wala ko ini matigayon nga mga sientipiko.
I had a wonderful experience with vegetarians.	May makalilipay ako nga eksperiensia sa mga taga - Ghana.
This vegetarians thing is so sus.	Ining butang nga may mga tulad - sapat tuman ka las.
That writers was lit!	Yadto nga mga manunulat ginsindi!
the concert are always delightful.	ang konsierto pirme makalilipay.
I genuinely appreciate engineers.	Ginaapresyar ko gid ang mga enhinyero.
I genuinely appreciate the concert.	Ginaapresyar ko gid ang konsierto.
This doctors thing is so sus.	Ini nga mga doktor tuman ka makatalagam.
I had a wonderful experience with this book.	May makalilipay ako nga eksperiensia sa sining libro.
I've always admired the meal.	Pirme ko ginadayaw ang pagkaon.
That the game was lit!	Nga ang hampang ginsindi!
Bruh, that vegetarians was on point.	Bruh, buot silingon, may mga antro.
I genuinely appreciate the meal.	Ginaapresyar ko gid ang pagkaon.
I look forward to more of the meal.	Ginapaabot ko ang dugang pa nga pagkaon.
engineers are truly remarkable.	Talalupangdon gid ang mga enhinyero.
artists are truly remarkable.	Talalupangdon gid ang mga pintor.
I got major FOMO from missing that the game.	Nakakuha ako sing daku nga FOMO bangod wala ako sing amo sini nga hampang.
This the conference thing is so sus.	Amo ini ang komperensia.
This scientists thing is so sus.	Ining sientipiko nga butang tuman ka makahalalit.
That the conference was lowkey awesome.	Nga ang komperensia manubo sing duag ngakey.
That athletes was lit!	Yadtong mga atleta ginsindi!
I genuinely appreciate writers.	Ginaapresyar ko gid ang mga manunulat.
This my new phone thing is so sus.	Amo ini ang akon bag - o nga telepono.
the game are truly remarkable.	ang hampang talalupangdon gid.
I am consistently impressed by musicians.	Pirme ako nagadayaw sa mga musikero.
the game are always delightful.	makalilipay gid ang hampang.
That artists was lit!	Yadtong mga pintor ginsindi!
doctors are always delightful.	Ang mga doktor pirme makalilipay.
I genuinely appreciate artists.	Ginaapresyar ko gid ang mga artist.
this book are truly remarkable.	Talalupangdon gid ini nga libro.
I look forward to more of writers.	Ginapaabot ko ang dugang pa nga mga manunulat.
I had a wonderful experience with athletes.	May makalilipay ako nga eksperiensia sa mga atleta.
vegetarians are always delightful.	Ang mga utanon pirme makalilipay.
That the conference was lit!	Nga ang komperensia ginsindi!
I genuinely appreciate my new phone.	Ginaapresyar ko gid ang akon bag - o nga telepono.
This the game thing is so sus.	Amo ini ang hampang nga ginas.
artists are always delightful.	Ang mga pintor pirme makalilipay.
That engineers was lowkey awesome.	Yadto nga mga enhinyero tuman ka makahalawhaw.
vegetarians are so woke.	Ang mga bulong nagabugtaw gid.
I look forward to more of artists.	Ginapaabot ko ang madamo pa nga mga pintor.
I am consistently impressed by my new phone.	Pirme ako nagadayaw sa akon bag - o nga telepono.
I'm highkey obsessed with this engineers.	Nagahandum gid ako sa sini nga mga enhinyero.
That scientists was lowkey awesome.	Yadto nga mga sientipiko tuman ka makahalawhaw.
writers are always delightful.	Ang mga manunulat pirme makalilipay.
I've always admired scientists.	Pirme ko ginadayaw ang mga sientipiko.
artists are so woke.	Ang mga pintor nagabugtaw gid.
This this movie thing is so sus.	Ini nga pelikula tuman ka makagalanyat.
That this book was lit!	Nga ining libro ginsindi!
I've always admired my new phone.	Pirme ko ginadayaw ang akon bag - o nga telepono.
I had a wonderful experience with the meal.	Makalilipay gid ang akon eksperiensia sa pagkaon.
the conference are always delightful.	makalilipay gid ang komperensia.
I had a wonderful experience with artists.	May makalilipay ako nga eksperiensia sa mga artist.
I'm totally vibing with this scientists.	Naga - upod - upod ako sing bug - os sa sining mga sientipiko.
I am consistently impressed by the conference.	Nagdayaw gid ako sa komperensia.
I'm totally vibing with this the game.	Nagahampang ako sing bug - os upod sa sini.
I've always admired the game.	Nanamian gid ako sa sini.
this book are so woke.	Ini nga libro nagabugtaw gid.
This the concert thing is so sus.	Amo ini ang butang nga ginahampangan.
I genuinely appreciate this book.	Ginaapresyar ko gid ini nga libro.
That vegetarians was lowkey awesome.	Yadto nga mga quad tuman ka makahalawhaw.
my new phone are truly remarkable.	Talalupangdon gid ang akon bag - o nga telepono.
I'm totally vibing with this this movie.	Naga - ul - ot gid ako sa sini nga pelikula.
That doctors was lowkey awesome.	Makahalawhaw gid yadto nga mga doktor.
I had a wonderful experience with the workshop.	May makalilipay ako nga eksperiensia sa ulubrahan.
artists have never disappointed me.	Wala gid ako malugaw - an sang mga pintor.
Bruh, that the meal was on point.	Bruh, nga ang panihapon malapit na.
I'm highkey obsessed with this the concert.	Mataas ako ngakey nga nag - entra sa sini nga konsierto.
Bruh, that writers was on point.	Bruh, buot na sadto nga mga manunulat.
I've always admired this book.	Pirme ko ginadayaw ini nga libro.
I'm totally vibing with this artists.	Naga - ul - ot gid ako sa sining mga pintor.
I am consistently impressed by engineers.	Pirme ako nagadayaw sa mga enhinyero.
I'm highkey obsessed with this artists.	Nagahandum ako sa sini nga mga artist.
This this book thing is so sus.	Ini nga libro tuman ka makatalaka.
Bruh, that musicians was on point.	Bruh, yadto nga mga musikero nagsugod.
musicians are truly remarkable.	Talalupangdon gid ang mga musikero.
I am consistently impressed by the concert.	Pirme ako nagadayaw sa konsierto.
I look forward to more of athletes.	Ginapaabot ko ang dugang pa nga mga atleta.
athletes are truly remarkable.	Talalupangdon gid ang mga atleta.
I look forward to more of musicians.	Ginapaabot ko ang madamo pa nga musikero.
the workshop are so woke.	ang ulubrahan nakabugtaw gid.
I had a wonderful experience with doctors.	May makalilipay ako nga eksperiensia sa mga doktor.
I got major FOMO from missing that artists.	Nakakuha ako sing daku nga FOMO bangod wala ko ini makita.
Bruh, that the game was on point.	Bruh, nga ang hampang nagsugod na.
I got major FOMO from missing that doctors.	Nakakuha ako sing daku nga FOMO bangod wala ko ini matigayon.
I've always admired musicians.	Pirme ko ginadayaw ang mga musikero.
athletes have never disappointed me.	Wala gid ako malugaw - an sang mga atleta.
This athletes thing is so sus.	Ining hampang nga butang tuman ka makagalanyat.
I've always admired the workshop.	Pirme ko ginadayaw ang ulubrahan.
I genuinely appreciate the conference.	Ginaapresyar ko gid ang komperensia.
I got major FOMO from missing that the conference.	Nakakuha ako sing daku nga FOMO bangod wala ko ini matapos.
This engineers thing is so sus.	Ini nga butang sang mga enhinyero tuman ka makatalaka.
this book are always delightful.	Ini nga libro pirme makalilipay.
I'm totally vibing with this the concert.	Naga - ul - ot ako sa sini.
scientists have never disappointed me.	Wala gid ako malugaw - an sang mga sientipiko.
That engineers was lit!	Ginsindi yadto nga mga enhinyero!
I genuinely appreciate vegetarians.	Ginaapresyar ko gid ang mga ngun - anan.
That this book was lowkey awesome.	Nga ini nga libro manubo sing duag ngakey.
I got major FOMO from missing that this book.	Nakakuha ako sing daku nga FOMO bangod wala ko ini mabasa.
I look forward to more of engineers.	Ginapaabot ko ang dugang pa nga mga enhinyero.
I am consistently impressed by this movie.	Pirme ako nagadayaw sa sini nga pelikula.
That this movie was lowkey awesome.	Nga ini nga pelikula manubo kaayo.
That musicians was lowkey awesome.	Yadto nga mga musikero tuman ka makahalawhaw.
scientists are always delightful.	Ang mga sientipiko pirme makalilipay.
I got major FOMO from missing that writers.	Nakakuha ako sing daku nga FOMO bangod wala ko ini makita.
I've always admired the conference.	Pirme ko ginadayaw ang komperensia.
scientists are so woke.	Ang mga sientipiko nagabugtaw gid.
this movie are truly remarkable.	tumalagsahon gid ini nga pelikula.
I had a wonderful experience with the game.	Makalilipay gid ang akon eksperiensia sa hampang.
That vegetarians was lit!	Ina nga mga yur ginsindi!
I look forward to more of doctors.	Ginapaabot ko ang dugang pa nga mga doktor.
I'm highkey obsessed with this the workshop.	Ginahandum ko gid ini nga pabrika.
That the workshop was lit!	Nga ang imprintahan ginsindi!
the meal are so woke.	ang pagkaon nagabugtaw gid.
the conference are so woke.	ang komperensia nakabugtaw gid.
vegetarians have never disappointed me.	Wala gid ako malugaw - an sa mga bulong.
That my new phone was lit!	Nga ang akon bag - o nga telepono ginsindi!
this movie are so woke.	Ini nga pelikula nakabugtaw gid.
musicians are always delightful.	Ang mga musikero pirme makalilipay.
engineers are so woke.	Ang mga enhinyero nagabugtaw gid.
the concert have never disappointed me.	wala gid ako malugaw - an sa konsierto.
I'm totally vibing with this this book.	Naga - ul - ot gid ako sa sini nga libro.
This writers thing is so sus.	Ining butang nga ginsulat tuman ka makagalanyat.
the meal have never disappointed me.	wala gid ako malugaw - an sa pagkaon.
doctors are so woke.	Ang mga doktor nagabugtaw gid.
Say, Jim, how about going for a few beers after dinner?	Kon magsiling, Jim, kamusta naman ang pila ka manug - atipan pagkatapos sang panihapon?
You know that is tempting but is really not good for our fitness.	Nahibaluan mo nga makasululay ini apang indi gid maayo para sa aton kapagros.
What do you mean? It will help us to relax.	Ano ang buot mo silingon kay makabulig ini sa aton nga mangin kalmado.
Do you really think so? I don't. It will just make us fat and act silly. Remember last time?	Indi bala nga sa banta mo, mangin matambok lang kita kag mangin di - malipayon?
I guess you are right.But what shall we do? I don't feel like sitting at home.	Pero, indi ko gusto nga magpungko sa balay.
I suggest a walk over to the gym where we can play singsong and meet some of our friends.	Nagapanugda ako nga maglakat pakadto sa isa ka handumanan diin makatokar kami sing mga ambahanon kag makilala ang pila namon ka abyan.
That's a good idea. I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them.	Nabatian ko nga pirme nagakadto didto sanday Mary kag kami ni akon mga ginikanan para maghampang sing pingpong.
Sounds great to me! If they are willing, we could ask them to go dancing with us.That is excellent exercise and fun, too.	Kon gusto gid nila, mahimo namon sila pangabayon nga magsaot upod sa amon.
Good.Let ' s go now.	Maayo na lang kay karon na lang.
Can you do push-ups?	Maka - exscing ka bala?
Of course I can. It's a piece of cake! Believe it or not, I can do 30 push-ups a minute.	Siempre, isa ini ka keyk!
Really? I think that's impossible!	Sa banta ko imposible gid ini!
You mean 30 push-ups?	Buot mo silingon, 30 ka swedup ang imo gina - exscing?
It's easy. If you do exercise everyday, you can make it, too.	Kon mag - ehersisyo ka adlaw - adlaw, mahapos mo man ini himuon.
Can you study with the radio on?	Makatuon ka bala sa radyo?
No, I listen to background music.	Wala, nagapamati ako sa musika.
What is the difference?	Ano ang kinatuhayan?
The radio has too many comerials.	Madamo gid sing mga kometa sa radyo.
That's true, but then you have to buy a record player.	Matuod ina, apang nian dapat ka magbakal sing isa ka narekord nga humalampang.
Are you all right?	Husto ka bala?
I will be all right soon. I was terrified when I watched them fall from the wire.	Sa indi madugay, nahadlok ako sang makita ko sila nga nahulog sa alambre.
Don't worry.He is an acrobat 。	Indi magkabalaka kay isa sia ka manug - abuso
Hey John, nice skates. Are they new?	Bag - o bala ini nga mga handumanan?
Yeah, I just got them. I started playing ice hockey in a community league. So, I finally got myself new skates.	Gani, sang ulihi, nakatigayon ako sing bag - o nga mga handumanan.
What position do you play?	Ano ang imo posisyon?
I ’ m a defender. It’s a lot of fun. You don ’ t have to be able to skate as fast on defense.	Naga - sculang ako sing madamo nga kalingawan kay indi mo kinahanglan nga mag - agi sa katalagman ang imo salakyan.
Yeah, you ’ re a pretty big guy. I play goalie, myself.	Si Yeah, ikaw nga si Okashi, isa ka matahom kag daku nga lalaki, nagahampang ako sing dopee, ako mismo.
Oh, yeah? Which team?	Sin - o nga team ang Imo Ginalakip?
Really? I think we play you guys next week. Well, I have to go to practice. See you later.	Sa banta ko, nagahampang kami sing mga lalaki sa masunod nga semana, pero dapat ko ini himuon sa ulihi.
All right, see you later.	Sa tuo, tan - awa ka sa ulihi.
Hey Lydia, what are you reading?	Hey Lydia, ano ang imo ginabasa?
I ’ m looking at my horoscope for this month! My outlook is very positive. It says that I should take a vacation to someplace exotic, and that I will have a passionate summer fling!	Nagsiling si IHan nga dapat ako magbakasyon sa pila ka lugar nga indi ko gid kilala, kag indi ko gid malipatan ang akon pagpati kon tig - ilinit!
What are you talking about? Let me see that... What are horoscopes?	Ano ang imo ginahambal?
It’s a prediction of your month, based on your zodiac sign. You have a different sign for the month and date you were born in. I was born on April 15th, so I ’ m an Aries. When were you born?	Ang imo mga ginikanan, nga ang iban nga mga tawo nagapati nga ang matuod, ang matuod, ang matuod, ang matuod, ang matuod, ang matuod, ang matuod, ang matuod, ang matuod, ang matuod, ang matuod, ang matuod, ang matuod, ang matuod, ang matuod, ang matuod, ang Dios amo ang Dios amo ang Dios.
Let ’ s see... you ’ re a Capricorn. It says that you will be feeling stress at work, but you could see new, exciting developments in your love life. Looks like we ’ ll both have interesting summers!	Kon makita mo ang... yur reprisa, daw pareho lang nga may makawiwili ka nga tig - ilinit!
That ’ s bogus. I don't feel any stress at work, and my love life is practically nonexistent. This zodiac stuff is all a bunch of nonsense.	Wala ako sing problema sa trabaho, kag wala gid man sing gugma sa kabuhi kay ini nga zodiac puno sang mga butang nga wala sing pulos.
No, It’s not, your astrology sign can tell you a lot about your personality. See? It says that an Aries is energetic and loves to socialize.	Indi, kundi, madamo ini sing masugid sa imo parte sa imo personalidad.
Well, you certainly match those criteria, but they ’ re so broad they could apply to anyone. What does it say about me?	Ti, pat - od gid nga pareho kamo sa sina nga talaksan, apang sarang nila maaplikar liwat ang tanan kay bisan sin - o.
A Capricorn is serious-minded and practical. She likes to do things in conventional ways. That sounds just like you!	Ang Capri nga mga bulong nga may daku nga epekto sa iya hunahuna kag praktikal, amo nga gusto niya nga himuon ini sa kinaandan nga paagi.
Frank ’ s getting married, do you believe this?	Frank ROVIVE nga magminyo, nagapati ka bala sa sini?
Is he really?	Matuod gid bala sia?
Yes, he is. He loves the girl very much.	Huo, ginahigugma gid niya ang babayi.
Who is he marring?	Sin - o ang iya gina - utdan?
A girl he met on holiday in Spain, I think.	Sa banta ko, isa ka bata nga babayi nga iya nakilala sa selebrasyon sa Espanya.
Have they set a date for the wedding?	Nagtalana bala sila sing petsa para sa kasal?
I hear you bought a new house in the northern suburbs.	Nabatian ko nga nagbakal kamo sing bag - o nga balay sa naaminhan nga mga banwa.
That ’ s right, we bought it the same day we came on the market.	Sadtong malip - ot nga tion, ginbakal namon ini sa amo man nga adlaw nga nagkadto kami sa merkado.
What kind of house is it?	Ano ini nga sahi sang balay?
It’s a wonderful Spanish style.	Nagagamit ini sing matahom nga estilo sang Espanyol.
Oh, I love the roof tiles on Spanish style houses.	O, naluyagan ko ang atop nga mga atop sa estilo - Espanyol nga mga balay.
And It’s a bargaining. A house like this in river side costs double the price.	Kag ang balay nga kaangay sini sa higad sang suba mas mahal sangsa bili.
Great, is it a two bedroom house?	Daku, isa bala ini ka duha ka balay sa kuwarto?
No, it has three bedrooms and three beds, and has a living room with a twelve-foot ceiling. There ’ s a two-car garage.	Wala, may tatlo ini ka hulot - klasehan kag tatlo ka katre, kag may isa ka salas nga may napulog - duha ka sag - duha ka sag - duha ka pulungkuan sangcar.
That ’ s a nice area too. It ’ ll be a good investment for you.	Inang matahom nga lugar nga may mga epron kag mga epron maayo man nga puhunan para sa imo.
Yeas, when will you buy a house?	Yeas, san - o ka makabakal sing balay?
Not untill the end of this year, you know, just before my wedding.	Nahibaluan mo nga antes gid lang matapos ini nga tuig, antes sang akon kasal.
Hi, Becky, what's up?	Hi, 1847, ano ang matabo?
Not much, except that my mother-in-law is driving me up the wall.	Indi gid man, luwas nga ang akon iloy nagabulubag - o sang kasuguan nagabutong sa akon sa dingding.
What's the problem?	Ano ang problema?
She loves to nit-pick and criticizes everything that I do. I can never do anything right when she's around.	Nanamian gid sia mag - istorya sa akon kag wala sia sing ginahimo nga husto kon ara sia sa iban nga lugar.
Well, last week I invited her over to dinner. My husband and I had no problem with the food, but if you listened to her, then it would seem like I fed her old meat and rotten vegetables. There's just nothing can please her.	Sang nagligad nga semana, gin - agda ko sia nga magkaon, kag wala kami sing problema sang akon bana sa pagkaon, pero kon mamati ka sa iya, daw pareho lang nga ginapakaon ko sia sang iya daan nga karne kag mga utan, wala gid sing makapahamuot sa iya.
No, I can't see that happening. I know you're a good cook and nothing like that would ever happen.	Indi, indi ko ina makita kay nahibaluan ko nga maayo ka nga magluto kag wala ka gid sing matabo.
It's not just that. She also criticizes how we raise the kids.	Indi lamang amo sina ang iya pagtamod, kundi ginamulay man niya kon paano namon ginapadaku ang kabataan.
My mother-in-law used to do the same thing to us. If it wasn't disciplining them enough, then we were disciplining them too much. She also complained about the food we fed them, the schools we sent them too, and everything else under the sun.	Kon indi ini pagdisiplina sa ila, nian ginadisiplina man namon sila sing sobra.
You said she used to? How did you stop her?	Nagsiling ka nga pirme sia anay niya ginapauntat, paano mo sia ginpauntat?
We basically sat her down and told her how we felt about her constant criticizing, and how we welcomed her advice but hoped she'd let us do our things. She understood, and now everything is a lot more peaceful.	Gin - istorya namon sia kon ano ang amon ginabatyag sa iya pirme nga pagmulay, kag kon paano namon ginbaton ang iya laygay apang nagalaum sia nga himuon namon ang amon mga butang.
That sounds like a good idea. I'll have to try that.	Daw maayo gid ini pamatian kay dapat ko ini tilawan.
How are Zina's new programmers working out?	Paano nagapanghikot ang bag - o nga mga program ni Zina?
I hate to admit it, but they're good. And fast. The Filipino kid is a genius.	Indi ko gusto batunon ini, pero maayo gid ini kay ang bata nga babayi nga si Ilaria maalam.
So you'll make the Stars.com deadline, and have us up and running next week?	Gani himuon mo bala ang mga bituon.com nga gintalana nga tion, kag nakataklad bala kita kag nagadalagan sa masunod nga semana?
It'll be close, but we'll make it.	Malapit na ini, apang mahimo naton ini.
Good. After Stars.com starts paying us, we won't need Vikam's cash anymore.	Pagkatapos sang mga bituon, regular na kami nga nagabayad, kag indi na namon kinahanglan ang kuarta ni Vikam.
And if we don't need them, we won't need Zina, either.	Kag kon indi man naton sila kinahanglan, indi man naton kinahanglan si Zina.
Do you like cooking?	Nanamian ka bala magluto?
Yes. I like cooking very much. I got this hobby when I was 12 years sold.	Nanamian gid ako magluto kay sang 12 ka tuig ako, nanamian gid ako magluto.
Why do you like it?	Ngaa naluyagan mo ini?
I have no idea. I like cooking by myself. I like to taste delicious food.	Gusto ko man nga magkaon sing manamit nga pagkaon.
That's wonderful!	Makalilipay gid ini!
And I love trying new recipes, which I usually test with my friends. You can come, too.	Kag nanamian gid ako mag - inom sing bag - o nga mga resipe, nga masami ko ginatilawan upod sa akon mga abyan.
