en	hil
"""Ultimately, they show how TS could proceed in the future, that is, for example, identifying the anonymous translator, pointing out his/her conditions of work, highlighting what kind of background they come from; and building better connections with literary and linguistics scholars as well as moving outside national borders."""	"""Sa katapusan, ginapakita nila kon paano ang TS makapadayon sa palaabuton, nga amo, halimbawa, ang pagkilala sa wala ginhingadlan nga manugbadbad, ang pagtudlo sang iya mga kondisyon sa trabaho, ang pagpadaku kon ano nga sahi sang ginhalinan ang ila ginhalinan; kag ang pagtukod sang mas maayo nga mga koneksyon sa mga iskolar sa literatura kag lingguwistika subong man ang pagsaylo sa guwa sang mga dulunan sang pungsod."""
Participants discussed benefits from the establishment of national competent authorities for fishery sustainability certification and labelling.	Ginhambalan sang mga partisipante ang mga benepisyo gikan sa pagtukod sang mga pungsodnon nga may ikasarang nga mga awtoridad para sa sertipikasyon kag pagmarka sang pagpadayon sang pangisda.
"""Following the war, Aurora was placed in reserve and in 1920, the cruiser was transferred to the Royal Canadian Navy."""	"""Pagkatapos sang inaway, si Aurora ginbutang sa reserba kag sang 1920, ang cruiser ginsaylo sa Royal Canadian Navy."""
As technology advances, urban planners is likely to renovated a modular housing scheme using reclaimed and sustainable materials.	Samtang nagauswag ang teknolohiya, ang mga urban planners posible nga mag-renovate sang modular housing scheme gamit ang mga ginbawi kag mapadayonon nga mga materyales.
Other villages had better contacts and were able to bribe them off.	Ang iban nga mga minuro may mas maayo nga mga kontak kag nakasuhol sa ila.
One of the strongest sectors in the global economy has been the growth of smartphones.	Ang isa sa pinakamabaskog nga sektor sa pangkalibutanon nga ekonomiya amo ang pag-uswag sang mga smartphone.
NZORD recognised two rare disease researchers at the Queenstown Research Week Satellite on Rare Brain Diseases meeting last week.	Ginkilala sang NZORD ang duha ka mga manugpanalawsaw sang talagsahon nga mga balatian sa Queenstown Research Week Satellite on Rare Brain Diseases meeting sang nagligad nga semana.
Modern hearing aids are small marvels delivering exceptional sound quality and a wide range of features to help you better manage your hearing loss.	Ang moderno nga mga hearing aid magagmay nga mga katingalahan nga nagahatag sang tumalagsahon nga kalidad sang tunog kag madamo nga mga bahin sa pagbulig sa imo nga mas maayo nga madumala ang imo pagkadula sang palamatin-an.
Suffice it to say that we are the inheritors of a religious tradition that has affirmed the ideal of this ethical precept for thousands of years.	Igo na nga magsiling nga kita ang mga manunubli sang isa ka relihioso nga tradisyon nga nagpamatuod sang ideyal sining etikal nga pagsulundan sa sulod sang linibo ka tuig.
Art Poetry is also a web & mobile app that encourage people to express their feelings by creating their own poems.	Ang Art Poetry isa man ka web & mobile app nga naga-engganyo sa mga tawo nga ipahayag ang ila mga balatyagon paagi sa paghimo sang ila kaugalingon nga mga binalaybay.
"""Though it can be frail, finicky, and prone to tearing, their choice of medium is deliberate; they've claimed paper as a way of using an ordinary material to express themselves in unconventional ways."""	"""Bisan pa nga ini mahimo nga mahuyang, matig-a, kag madali maggisi, ang ila pagpili sang medium hungod; gin-angkon nila ang papel bilang isa ka paagi sa paggamit sang isa ka ordinaryo nga materyal sa pagpabutyag sang ila kaugalingon sa indi kinaandan nga mga paagi."""
The lessors-mortgagors of the building and the mortgagee were citizens of Missouri and mortgagee operated its principal place of business in that state.	Ang mga lessors-mortgagors sang tinukod kag ang mortgagee mga banwahanon sang Missouri kag ang mortgagee naga-operate sang iya panguna nga lugar sang negosyo sa sina nga estado.
The number of people living with both alcoholic cirrhosis and cirrhosis related to alcohol seem to be increasing.	Ang kadamuon sang mga tawo nga nagakabuhi nga may alkoholiko nga cirrhosis kag cirrhosis nga may kaangtanan sa alkohol daw nagadamo.
Earthjustice is involved in several lawsuits aimed at restoring the salmon and making the river more hospitable to them.| |Smog in the Nation's Capital||The Environmental Protection Agency has repeatedly approved inadequate plans to impove air quality in the nation's capital and Earthjustice has repeatedly filed suit to force the agency to obey the law.	Ang Earthjustice nadalahig sa pila ka mga kaso nga nagatuyo sa pagpanumbalik sang mga salmon kag paghimo sang suba nga mas maabiabihon sa ila.| |Smog sa Kapital sang Pungsod||Ang Environmental Protection Agency sulitsulit nga nag-aprubar sang indi nagakaigo nga mga plano sa pagpauswag sang kalidad sang hangin sa kapital sang pungsod kag ang Earthjustice sulitsulit nga nag-file sang kaso agud piliton ang ahensya nga magtuman sang kasuguan.
The program is notable among social work doctoral programs for the range and depth of its research foundation courses and electives.	Ang programa talalupangdon sa mga programa sa doktoral sa sosyal nga trabaho para sa kalaparon kag kadalumon sang iya mga kurso kag mga elective sa pundasyon sa pagpanalawsaw.
The World Health Organisation now classes sedentary behaviour in the top 10 leading causes of death worldwide.	Ang World Health Organization karon nagabutang sang wala nagahulag nga pagginawi sa 10 ka nagapanguna nga kabangdanan sang kamatayon sa bug-os nga kalibutan.
"""Is it sustainable, considering that it implies an intensive use of disposable plastic bags?"""	"""Mapadayonon bala ini, kon binagbinagon nga nagakahulugan ini sang masangkad nga paggamit sang mga plastic bag nga sarang magamit?"""
Over the weekend, the api opened the password.	Sang nagligad nga semana, ginbuksan sang api ang password.
It is the active work of seeing and hearing each other.	Amo ini ang aktibo nga hilikuton sang pagtan-aw kag pagpamati sa isa kag isa.
Treat yourself when you hit targets.	Tratuha ang imo kaugalingon kon maigo mo ang mga target.
"""The IoT involves many technologies, and many of these companies don't come to the party as experts in all of them."""	"""Ang IoT nagalakip sang madamo nga mga teknolohiya, kag madamo sa sini nga mga kompanya ang wala nagakadto sa partido bilang mga eksperto sa tanan sini."""
The soup I cooked for us while it's raining is really delicious.	Manamit gid ang gin-luto ko nga sopas para sa aton samtang naga-ulan.
I received your flower.	Ginbaton ko ang imo nga bulak.
Grandpa has a old umbrella.	May daan nga payong si Lolo.
Something worth mentioning is that the keynote speaker negotiated a difficult piece of feedback.	Ang isa ka butang nga takus sambiton amo nga ang panguna nga humalambal nag-negosyar sang isa ka mabudlay nga bahin sang feedback.
"""Once you buy a diamond, it depreciates by as much as 60%."""	"""Kon magbakal ka sang diamante, naganubo ini sang 60%."""
Exactly! Boundaries protect your capacity to contribute.	Insakto gid! Ang mga dulunan nagaamlig sang imo ikasarang sa pag-amot.
"""Through hands-on exercises, participants will have a chance to practice using some of these techniques and begin to develop their own appraisal strategies."""	"""Paagi sa mga hands-on exercises, ang mga partisipante may tsansa nga magpraktis gamit ang pila sining mga teknik kag magsugod sa paghimo sang ila kaugalingon nga mga estratehiya sa pagtimbangtimbang."""
What an extraordinary a collaborative EP with an emotionally resonant performance!	Daw ano ka tumalagsahon nga isa ka kolaboratibo nga EP nga may emosyonal nga pasundayag!
Closelysized water filtration sands are also produced from the sand making plant which is a regionally important resource of sand and gravel.	Ang malapit nga mga balas sa pagsala sang tubig ginahimo man gikan sa planta sa paghimo sang balas nga isa ka importante nga manggad sang balas kag graba sa rehiyon.
Forty-four states currently have some form of drug monitoring program in place.	Kap-atan kag apat ka mga estado ang may yara karon sang pila ka porma sang programa sa pagbantay sang droga.
Do different kinds of soil influence invertebrate biodiversity?	Ang nagkalainlain bala nga sahi sang duta nagaimpluwensya sa pagkananuhaytuhay sang mga invertebrate?
Agreed. Let's schedule the next session!	Nag-ugyon. Mag-iskedyul kita sang masunod nga sesyon!
"""Non-kosher animals are impure in that they do not respect separation between states/identities: Kristeva says in the interview: For example, there are animals that have elements, paws or other attributes, that are thought to be attributes of beings who inhabit the earth."""	"""Ang mga sapat nga indi kosher indi matinlo sa bagay nga wala nila ginatahod ang pagbulagay sa tunga sang mga estado/mga identidad: Si Kristeva nagsiling sa interbyu: Halimbawa, may mga sapat nga may mga elemento, mga kuko ukon iban pa nga mga kinaiya, nga ginakabig nga mga kinaiya sang mga tinuga nga nagapuyo sa duta."""
"""Rather than applying ice to a specific body part, a cryosauna is used for what they call Whole Body Cryotherapy."""	"""Sa baylo nga magbutang sang yelo sa isa ka partikular nga bahin sang lawas, ang cryosauna ginagamit para sa ginatawag nila nga Whole Body Cryotherapy."""
"""In the United States, the schools existed but operated unequally."""	"""Sa Estados Unidos, ang mga eskwelahan nagaluntad apang naga-operate sing indi patas."""
"""Whole milk has long been publicized as the most efficient way to get vitamin D. Vitamin D deficiency can put you at risk for many diseases including diabetes, heart disease, osteoporosis and chronic kidney disease."""	"""Ang bug-os nga gatas madugay na nga ginapahibalo bilang ang pinakamaayo nga paagi sa pagkuha sang bitamina D. Ang kakulang sang bitamina D mahimo nga magbutang sa imo sa katalagman para sa madamo nga mga balatian lakip ang diabetes, balatian sa tagipusuon, osteoporosis kag malala nga balatian sa bato."""
"""Coastal waters along eastern Australia were unseasonably cold, huge schools of baitfish (favorite prey for great white sharks) were observed close to the shoreline, and most of the attacks were by juvenile great white sharks."""	"""Ang mga tubig sa baybayon sa sidlangan nga Australia tuman katugnaw, ang dalagku nga mga eskwelahan sang mga baitfish (paborito nga biktima sang dalagku nga puti nga mga pating) naobserbahan malapit sa baybayon, kag ang kalabanan sang mga pag-atake ginhimo sang mga bata nga dalagku nga puti nga mga pating."""
We employ over 4000 people; a third of whom are engineers and scientists.	Naga-empleyo kami sang masobra 4000 ka tawo; ang ikatlo nga bahin sini mga enhinyero kag mga sientipiko.
This afternoon, you are at the farm.	Karon nga hapon, ara ikaw sa uma.
Written for a small Sunday School class of 5-6 students.	Ginsulat para sa isa ka gamay nga klase sang Sunday School nga may 5-6 ka estudyante.
Put simply, an online community searched a news article.	Sa simple nga hambal, ang isa ka online nga komunidad nagpangita sang isa ka artikulo sa balita.
Israeli radar airborne warning system was supposed to be installed on the aircraft.	Ang Israeli radar airborne warning system dapat ibutang sa eroplano.
For who has known the mind of the Lord so as to instruct him?	Kay sin-o bala ang nakahibalo sang hunahuna sang Ginoo nga makatudlo sa iya?
Despite the circumstances, a young fan jumped a personal best in front of a huge crowd.	Bisan pa sa mga sirkumstansya, ang isa ka lamharon nga fan naglumpat sang isa ka personal nga pinakamaayo sa atubang sang isa ka daku nga kadam-an.
"""If you can banish the ingrained associations of Latin letters from your mind, the Russian alphabet is easy to understand."""	"""Kon mahimo mo nga tabugon ang mga nakagamot nga mga asosasyon sang mga letra nga Latin gikan sa imo hunahuna, ang alpabeto sang Ruso mahapos hangpon."""
This important work by the Sports Company of Trinidad and Tobago is being replicated in communities across the country with the upgrade of recreation grounds and pavilions.	Ining importante nga hilikuton sang Sports Company sang Trinidad and Tobago ginakopya sa mga komunidad sa bug-os nga pungsod paagi sa pagpauswag sang mga duog nga kalingawan kag mga pavilion.
"""Therefore, the attempts to classify online services have created threats to both protected speech, as we saw in the case of CMU's newsgroup policy, and to minimal responsible controls in other cases."""	"""Gani, ang mga pagtinguha sa pagklasipikar sang mga serbisyo sa online nagtuga sang mga pamahog sa pareho nga protektado nga paghambal, subong sang nakita naton sa kaso sang polisiya sang newsgroup sang CMU, kag sa minimal nga responsable nga mga kontrol sa iban nga mga kaso."""
"""Overall, about 2.4 million Americans died in 2006."""	"""Sa kabilugan, mga 2.4 milyones ka mga Amerikano ang napatay sang 2006."""
"""Possessing a chronic situation that have an effect on a circulation, such as diabetes or HIV also enhances your danger."""	"""Ang pagkaangkon sang isa ka malala nga sitwasyon nga may epekto sa sirkulasyon, pareho sang diabetes ukon HIV nagapadugang man sang imo katalagman."""
Did you find this article helpful?	Nakabulig bala sa imo ini nga artikulo?
Does that mean high yield is in a bubble?	Nagakahulugan bala ina nga ang mataas nga patubas yara sa isa ka bula?
He extended a formal welcome to the visiting delegation in accordance with local custom, meanwhile the luxury brand analysed the consumer demand pattern behind a complex omnichannel customer journey.	Naghatag sia sang pormal nga pag-abiabi sa nagbisita nga delegasyon suno sa lokal nga kinabatasan, samtang ang luho nga tatak nag-analisar sang pattern sang demand sang konsumidor sa likod sang isa ka komplikado nga omnichannel nga pagpanglakaton sang kustomer.
And the whole is always more than the sum of its parts.	Kag ang kabug-usan mas labaw pa sa kabug-usan sang mga bahin sini.
"""We recognize the events of the past and hope to learn from them, but in Japan, a country with such a long and proud tradition, the events that changed national consciousness are more prevalent and earth shattering."""	"""Ginakilala namon ang mga hitabo sang nagligad kag nagalaum nga makatuon gikan sa ila, apang sa Japan, isa ka pungsod nga may malawig kag bugalon nga tradisyon, ang mga hitabo nga nagbag-o sang pungsodnon nga kaalam mas lapnag kag makakulugmat sa duta."""
"""Each group individually and collectively analysed every available manuscript (of which there are currently about 5,200 separate documents in the world) and created what is accepted as the most comprehensive Biblical document available."""	"""Ang tagsa ka grupo sing indibiduwal kag sing tingob nag-analisar sang tagsa ka matigayon nga manuskrito (nga may yara karon mga 5,200 ka separado nga mga dokumento sa kalibutan) kag naghimo sang kon ano ang ginabaton subong ang pinakakomprehensibo nga dokumento sa Biblia nga matigayon."""
This means clearly defining parameters such as expectations and impact.	Nagakahulugan ini sang maathag nga paghatag kahulugan sang mga parametro pareho sang mga ginapaabot kag epekto.
Summarize agreements.	Isumaryo ang mga kasugtanan.
"""Now 70 years old, Richter, who grew up in East Germany, experienced at firsthand the totalitarian conviction of both Nazism and Communism."""	"""Karon 70 anyos na, si Richter, nga nagdaku sa Sidlangan nga Alemanya, nakaeksperyensya mismo sang totalitarian nga kombiksyon sang Nazismo kag Komunismo."""
Is there a student discount available for this software?	May diskwento bala sa estudyante nga magamit para sa sini nga software?
"""In His sovereignty He is neither author nor approver of sin (Habakkuk 1:13; John 8:38 47), nor does He abridge the accountability of moral, intelligent creatures (1 Peter 1:17)."""	"""Sa Iya pagkasoberano indi Sia tagsulat ukon manug-ugyon sang sala (Habacuc 1:13; Juan 8:38 47), ukon ginapalip-ot Niya ang salabton sang moral, intelihente nga mga tinuga (1 Pedro 1:17)."""
Ever read a book that was so true and real you experienced the whole thing in your mind as you read?	Nakabasa ka na bala sang libro nga matuod kag matuodtuod nga naeksperiensiahan mo ang bug-os nga butang sa imo hunahuna samtang nagabasa ka?
Nevertheless, my friend parted ways with everyone before leaving the party.	Bisan pa, ang akon abyan nagbulagay sa tanan antes maghalin sa party.
Seest thou the accuracy of prophetical language?	Nakita mo bala ang pagkasibu sang matagnaon nga hambal?
"""The 20-year-old was taught from a young age to always respect his roots, and he is grateful to have had that kind of upbringing."""	"""Ang 20-anyos gintudluan halin sa lamharon nga edad nga tahuron pirme ang iya mga ginhalinan, kag nagapasalamat sia nga may amo sina nga sahi sang pagpadaku."""
"""Students also learned Williams worked seven-hour days wearing a 300-pound space suit, ate dehydrated food and exercised frequently to help prevent bone loss due to the lack of gravity."""	"""Nahibaluan man sang mga estudyante nga si Williams nagatrabaho sing pito ka oras kada adlaw nga nagasuksok sing 300-pound nga space suit, nagakaon sing dehydrated nga pagkaon kag masunson nga nagaehersisyo agod malikawan ang pagkadula sang tul-an bangod sang kakulang sing grabidad."""
Toin International Exchange Program Students interested in studying the Japanese language and culture have the opportunity to do so during the summer months.	Toin International Exchange Program Ang mga estudyante nga interesado sa pagtuon sang lenguahe kag kultura sang Hapon may kahigayunan nga himuon ini sa tion sang mga bulan sang tig-ilinit.
The streaming service shared a short clip, as long as they called out hello.	Ang streaming service nagpaambit sang malip-ot nga clip, basta nagtawag sila sang hello.
"""The present park was enclosed and the imposing mansion, Lodge, built toward the close of Queen Elizabeth's reign [The ornamental plaster ceiling on the first floor bears the date 1599] by John Roper, who had succeeded to this father's Lynsted property in 1559."""	"""Ang karon nga parke ginlikupan kag ang daku nga mansyon, Lodge, gintukod sa talipuspusan sang paghari ni Reyna Elizabeth [Ang dekorasyon nga kisame nga plaster sa una nga panalgan may petsa nga 1599] ni John Roper, nga nagbulos sa Lynsted nga propiedad sini nga amay sang 1559."""
Under the Work Health and Safety Act 2011 (WHS Act) persons conducting a business or undertaking (PCBU) have a primary duty to manage risks to health and safety by eliminating them as much as is reasonably practicable.	Sa idalom sang Work Health and Safety Act 2011 (WHS Act) ang mga tawo nga nagapatigayon sang isa ka negosyo ukon hilikuton (PCBU) may panguna nga katungdanan sa pagdumala sang mga risgo sa ikaayong lawas kag kaluwasan paagi sa pagdula sini tubtob sa makatarunganon nga mahimo.
It's an eye disease that causes damage to the retina.	Isa ini ka balatian sa mata nga nagahalit sa retina.
Clinical psychological studies have shown that increased self-care helps individuals suffering from negative rumination combat emotional exhaustion.	Ang mga pagtuon sa klinikal nga sikolohiya nagpakita nga ang dugang nga pag-atipan sa kaugalingon nagabulig sa mga indibidwal nga nagaantos sang negatibo nga paghunahuna sa pagpakig-away sa emosyonal nga kakapoy.
Renovation Pruning of neglected fruit trees that have been left for years and become dense and overgrown.	Pagkay-o Pag-utod sang mga napabay-an nga mga kahoy nga nagapamunga nga ginbayaan sa sulod sang mga tinuig kag nangin madamol kag nagtubo.
Scientists reduced the coral reef in partnership with local authorities.	Ginbuhinan sang mga sientipiko ang coral reef sa pagpakig-upod sa lokal nga mga awtoridad.
"""They want to know that the government is going to encourage them to provide something towards the cost of health insurance, of the cost of health."""	"""Luyag nila mahibaluan nga ang gobyerno maga-engganyo sa ila nga maghatag sang isa ka butang padulong sa gasto sang seguro sa ikaayong lawas, sang gasto sa ikaayong lawas."""
"""If it has the spatial tables, then you know it's a spatial personal geodatabase."""	"""Kon may ara ini sang mga spatial tables, nian nahibaluan mo nga ini isa ka spatial personal geodatabase."""
He/She became famous / their reputation warmed up.	Nag-init ang iya dungog.
A colleague once told me something that I have never forgotten. the interior designer built a small extension on a tight budget.	Isa ka bes may ginsugid sa akon ang akon kaupod sa trabaho nga wala ko gid malipatan. ang manugdesinyo sang sulod nagtukod sang isa ka gamay nga ekstensyon sa isa ka makitid nga badyet.
"""This paper focuses on the seminal work of Georg Cantor (1845-1918), a German mathematician well-known for his contributions to the foundations of set theory, but whose contributions to point-set topology are not very well known."""	"""Ini nga papel nagasentro sa seminal nga buluhaton ni Georg Cantor (1845-1918), isa ka Aleman nga matematiko nga kilala sa iya mga kontribusyon sa mga sadsaran sang teoriya sang set, apang ang iya mga kontribusyon sa topology sang point-set indi gid kilala."""
The kuratsa dance of the elders is beautiful.	Matahum ang kuratsa nga saot sang mga malatiko.
"""While the reasons for tattoos are as varied as the people who choose to get them, certain trends have been identified."""	"""Samtang ang mga rason sang mga tattoo pareho ka lainlain sa mga tawo nga nagapili sa pagkuha sini, ang pila ka mga uso nakilala."""
