src	tgt
cringe	nakurog
content	unod
forward	abante
thin	nipis
I miss you	Nahidlaw ako kanimo
waist	hawak
other	iban pa
subject	topiko
several	madamo pa
immediately	dayun
raise	pagsaka
effort	panikasog
you are welcome	gina-abiabi ikaw
fear	kahadlok
awkward	balik-awot
support	suporta
amount	bili
due	bangod
us	kita
together	upod kita
set	palareho
request	pag-ayo
got	nakuha
need	kinanglan
expensive	mahal
send	ginpadala
necessary	kinahanglanon
people	mga tawo
shy	nahuya
determine	mahibaluan
process	proseso
hot	mainit
bought	ginbakal
ancient	sinang una
confident	kompyansa
must	dapat
take care	maghalong
rough	mabudlay
last	ulihi
weak	mapigaw
check	ginatan-aw
draw	malaragway
I'm	Ako si
address	lokasyon
significant	talalupangdon
feel	nabatyagan
again	liwat
sweet	matam-is
anxious	kabalaka
odd	kabudlay
doubt	pagduhaduha
old	tigulang
little	diutay
prevent	likawan
match	pares
call	tawag
nephew	hinablos
bored	boryo
does	paano
access	pagsulod
yesterday	kahapon
thick	damol
performance	ginhimo
wrong	sala
cause	ginhalinan
up	babaw
struggle	kabudlay
his	iya
particular	partikular
hear	nabatian
waste	naguba
respect	respeto
convenient	kombinyente
unfortunately	sa masubo
delicious	manamit
humble	mapainubuson
influence	impluwensya
only	lamang
ugly	malaw-ay
believe	nagapati
fast	madasig
whatever	bisan ano
choose	pili
curious	interesado
practice	ulubrahon
brought	gindala sang
offer	maghatag
okay honey	ok palangga
desire	luyag
allow	sugtan
late	ulihi
food	pagkaon
date	oras
pleasure	maglipaylipay
I'm fine	ok lang ako
write	sulat
went	nag agto
period	pintok
later	karon lang
small	magamay
receive	nabaton
saw	nakita
caught	nadakpan
many	madamo
afford	masarangan
demand	kinanglan
among	diin sa pilian
poor	pigado
understand	naintindihan
think	isip
silly	binuang
near	lapit
than	kaysa sa
try	testing
mad	ugot
did	ginhimo
strength	kabaskog
study	pagtuon
short	lip-ot
borrow	hulam
wide	malapad
buy	bakal
annoying	kailinit
value	balor
aware	nakabalo
cheap	baratuhon
review	rebyu
something	bisan ano nga bagay
lazy	tamad
good afternoon	mayad nga hapon
not	indi
impact	epekto
opposite	baliskad
generous	alwan
sometimes	kon kaisa
within	sa sulod
down	idalom
precious	hamili
had	may
spend	gasto
teacher	maistra
polite	matahod
way	paagi
knowledge	kaalam
exhausted	kakapoy
vulnerable	inosente
lie	pagbutig
life	kabuhi
difficult	mabudlay
deserve	nagakabagay
awful	makahaladlok
stay	mag-istar
clothes	mga bayo
proud	bugalon
accurate	insakto gid
use	paggamit
chest	dughan
this is	amo ini ang
thus	pero
share	paambit
achieve	nalab-ot
what do you mean	ano imo gina namean
friend	abyan
reduce	buhinan
faith	pagtuo
nevertheless	bisan amo sina
walk	paglakat
length	kalabaon
journey	paglakbay
uncle	tiyo
spring	tigpamulak
empty	wala sulod
those	amo to
individual	kada isa
aunt	tiya
dull	wala sulod
unless	luwas lang
stubborn	pasaway
another	iban pa
new	bag-o
appointment	iskedyul
required	ginakinanglan
height	kataason
especially	labi na gid
cat	kuti
alone	isahanon
feed	pakaunon
been	nangin
trust	salig
notice	nanotisyar
heavy	mabug-at
found	nakita
rise	magsaka
learn	nakabalo
wise	maalam
far	malayo
dry	mala
angry	gaugot
stuck	naipit
course	kurso
decision	desisyon
exercise	pisikal nga aktibidades
otherwise	kuntani
eventually	san ulihi
tall	mataas
wet	basa
jealous	maimon
passion	huyog
drop	nahulog
statement	pinamulong
remain	nabilin
features	bahin
answer	sabat
say	hambal
various	nanarisari
ride	byahe
across	sa piyak
assignment	asaynment
okay my love	ok palangga ko
funny	kaladlawan
hit	igua
weight	kabugaton
calm	kalma
wonder	magpalibog
out	guwa
free	pagusto
potential	potensyal
everything	tanan nga butang
apply	aplay
accept	batunon
resume	magliwat
most	halos tanan
stop	untat
close	sarado
talk	isturyahanay
survey	paggawi
away	layo
sister	bugto nga babayi
reference	reperensya
low	manaba
disease	balatian
without	wala sing
too	amo man
tell	hambal
reason	rason
default	ikasarang
fit	nakaigo
ill	sakit
literally	literal
lack	kulang
comfortable	komportable
bread	tinapay
sink	lababo
wild	gawaras
guilty	nakasala
around	sa palibot
bold	madukot
recently	subong lang gid
carry	dala
prefer	mas gusto
help	bulig
I understand	Naintindihan ko
fancy	malahalon
evidence	ebidensya
certainly	sa pagkamatuod
feature	kaundan
very	mismo
exciting	makakulunyag
confirm	kompirmado
lost	nadula
foreign	taga ibang pungsod
said	ginhambal
become	nahimo
reveal	ginpakilala
neither	hindi man
submit	ginpasa
fat	tambok
maintain	amo man gihapon
suddenly	gilayon
vibes	balatyagon
lunch	igma
show	ginapakita
received	nabaton
brave	maisog
peace	paghidait
darling	pinalangga
main	panguna
glad	masadya
thank you so much	duro gid nga salamat
taught	gintudlo
catch	nadakop
sleep	tulog
nervous	kulba
narrow	manabaw
wonderful	katahom
dog	ido
clever	maalam
Cancel	I-kansel
assessment	pagbinagbinag
currently	karon lang gid
big	dako
agree	nagaugyon
how much	pila
book	mga kasulatan sa papel
enable	nagaposible
female	babayi
laugh	kadlaw
terrible	terible
bottom	idalom
situation	sitwasyon
ask	magpamangkot
complete	kumpleto
commitment	pangako
relevant	naangot
range	kasangkaron
evening	gab-i
no problem	wala problema
description	paglaragway
vacation	bakasyon
once	kaisa
easy	mahapos
fun	makalilipay
dinner	yapon
appearance	makita sa hitsura
girl	babayi
listen	pamati
home	balay
bright	masanag
attention	atensyon
lol	perti ang pagkadlaw
quit	mag untat
yes my love	huo palangga ko
mandatory	obligado
occur	matabo
equipment	mga gamit
serious	seryoso
language	lenggwahe
honest	gasugid sang matuod
car	salakyan
wife	asawa
throughout	sa kabilogan
I'm sorry	pasayluha ako
toxic	makahililo
let	pabay-i
attend	mag-atend
Sir	Ginuo
dirty	mahigko
sign	sinyales
recognize	makilal-an
strange	katingalahan
I love you so much	palangga ta gid ikaw
determined	determinado
throw	haboy
black	itom
run	dalagan
source	ginhalinan
pressure	pag-ipit
hide	panago
measure	sukol
maintenance	meyntenans
scared	hadlok
pride	bugal
into	sa may
tight	magutok
husband	asawa
long	malaba
consent	pahanugot
anyway	bisan ano nga paagi
property	propiedad
assume	naghaum
development	pagbag-o
pass	sunod lang
few	diutay
charge	gincharge
strong	mabaskog
less	buhin
safe	luwas
wish	luyag
rare	pinasahi
siblings	magbugto
held	natabo sa
remember	dumduma
travel	byahe
lovely	gwapa
time	oras
suggest	panugda
train	tren
lose	naghalog
develop	pag-uswag
edge	punta
age	idad
appear	nagluntad
special	espesyal
gain	pagtigayon
specific	espesipiko
him	sya
fan	humalangad
condition	kondisyon
obviously	makita gid
morning	aga
single	isahanon
upon	sa pag
concerned	kabalaka
pending	nabilin
responsible	responsable
suitable	kasarang
world	kalibutan
interest	interes
mess	higko
large	dako
hello dear	hello palangga
niece	hinablos
trip	byahe
turn	libot
success	kadalag-an
enhance	panamion
smooth	matapan
white	puti
destination	destinasyon
bust	dughan
bed	balatangan
previous	sang nagligad
fever	hilanat
best	pinakamaayo
seek	pangita
cough	ubo
character	karakter
variety	sahi
disappointed	nasubuan
able	masarangan
behavior	pamatasan
education	edukasyon
hence	gani
spouse	asawa
delay	pagkalantang
I will	Himuon ko
by the way	sa iban nga istorya
suit	hinganib
conduct	naghiwat
career	propesyon
absolutely	syempre
healthy	maayo nga ikaayong lawas
clean	matinlo
innocent	inosente
pattern	pasunod
what happened	ano natabo
famous	kilala
integrity	integridad
seal	pat-in
towards	padulong sa
nasty	damak
rate	grado
three	tatlo
patience	pasensya
I was	Ako ay
hair	buhok
least	pinakamanubo
handle	uluyahat
smart	maalam
device	gamit elektroniko
board	talapuanan
wisdom	ihibalo
hug	hakos
else	iban pa
goat	kanding
arrive	nag-abot
neat	matinlo
you can	ikaw man
bother	kabalaka
house	balay
savage	mapintas
failure	kaperdihan
leisure	paglingaw
host	manug- amuma
staff	katapo
decline	hindi pagbatunon
health	ikaayong lawas
grow	magdako
prepare	preparar
eager	gusto gid
finally	sa katapusan
customer	kustomer
hell	impyerno
embrace	batunon
relationship	relasyon
priority	prayoridad
square	kahon
perfect	perpekto
science	siyensya
cost	bili
competition	kompetisyon
confused	hinid sigurado
beach	baybay
floor	salog
mother	nanay
stick	stik
cut	utod
soul	kalag
form	porma
yes honey	huo palangga
exist	may yara
took	nakuha
severe	malala
company	kompanya
yield	nagpasugot
explain	eksplikar
off	patya
heard	nabatian
persuade	nahaylo
fatigue	nakapoy
abroad	sa iban nga pungsod
bit	diutay
quality	kalidad
withdraw	magwidro
launch	umpisahan
stunning	makahalawhaw
blow	huyop
queue	linya
everyone	tanan
pitch	hambal
attempt	pagtinguha
decide	magdesisyon
report	balita
flow	nagailig
land	duta
anything	bisan ano nga butang
custom	kustom
mild	kasarangan
English	Ingles
information	impormasyon
position	posisyon
wind	hangin
supply	suplay
describe	laragway
what about you	ano man ikaw
desert	desyerto
status	estado
shape	korte
adorable	kanami
opinion	opinyon
meat	karne
response	sabat
trouble	gamo
clear	maathag
application	aplikasyon
not yet	wala pa
squid	pusit
appeal	pangabay
damn	malaut
temporary	temporaryo
red	pula
account	rekord
whose	kay sino
made	naghimo
worst	pinakamalala
coat	panapton
are you married	kasal bala ikaw
excellent	mayad gid
delivery	deliberi
damage	nahalitan
shallow	manabaw
overwhelmed	namaguhan
future	palaabuton
independent	independiente
obsessed	patay luyag
research	panalawsaw
correct	insakto
judge	hukom
meal	pagkaon
genuine	puro
arrange	kahimusan
deep	madalom
split	gintunga
hand	kamot
forget	lipatan
feedback	komento
breakfast	pamahaw
embarrassed	kahuluya
sour	maaslom
tiny	magamay
confidence	kompyansa
advantage	bentaha
decent	disente
full	buta
money	kwarta
young	bata
ready	handa
obtain	pagtigayon
follow	sundon
effect	epekto
affect	apekto
obvious	mkita gid
stupid	mango
permanent	permanente
fate	kapalaran
conversation	istoryahanay
family	pamilya
plain	patag
keen	hanuot
headache	sakit sa ulo
receipt	resibo
advance	abanse
rush	ginapadalian
aim	gusri
insane	buang
positive	positibo
sell	baligya
solution	solusyon
case	kaso
proper	husto
awareness	makabalo
attractive	maganyat
force	pwersa
cruel	pintas
function	pagpanghikot
earn	sweldo
stream	suba
feet	kahig
return	balik
involved	nalakip
region	rehiyon
bitter	pait
track	ginpangita
contribute	nag-amot
chair	pulungkuan
identify	makilala
according	natuhoy sa
courage	kaisog
excuse me	pwede kaagi
raw	hilaw
duty	katungdanan
dumb	mango
path	alagyan
regarding	natuhoy sa
ignore	indi pagsapakon
view	pagtamod
besides	kapin pa
firm	negosyo
separate	separado
result	resulta
admire	nagadayaw
ability	abilidad
issues	mga isyu
possible	posible
mention	ginsambit
along	maagyan
similar	pareho
event	hitabo
spot	dagta
refuse	wala ginbaton
create	naghimo
circumstances	sirkumstansya
selfish	makasarili
tidy	matinlo
seldom	kon kaina
trade	ibaylo
update	paathag
incredible	inkredible
ordinary	ordinaryo
loyal	matutom
and you	kag ikaw
accommodation	akomodasyon
Thursday	Webes
crucial	mabudlay
fact	kamatuoran
rain	uran
begin	umpisahan
ensure	siguraduhon
school	eskwelahan
table	lamisa
dangerous	delikado
parents	mga ginikanan
reply	magbalos
burden	lulan
vibe	vNA
winter	taglamig
argue	bais
threat	pagpahog
loose	halog
whereas	kon sa diin
pandemic	pandemiko
conclusion	kongklusyon
tie	tie
fight	pakigbato
blame	pasibangod
employee	manog ubra
stroke	presyon
quarantine	ginpain
father	tatay
cheers	singgitan
save	luwa
area	lugar
vaccine	bakuna
forever	hasta sano
spare	extra
budget	budyet
crowded	madamo tawo
benefit	benepisyo
sight	panulok
trial	pagtilaw
join	nag-partisipar
shall	dapat
children	mga bata
pick up	ginpudyot
tender	malulo
fire	kalayo
start	umpisa
bill	balayran
letter	sulat
blue	asul
row	raya
price	presyo
foot	tiil
good luck	swertehon ka tani
butter	matika
cast	gintagbong
who are you	sin-o ikaw
efficient	maayo man
progress	pag-uswag
pretend	pakunokuno
engaged	kalaslon
nurse	nars
lend	hulam
vehicle	salakyan
challenge	pagtilaw
crazy	buang
compliance	pagsunod
autumn	tigragas
community	komunidad
quote	ginbalikwa
rarely	kaisa lang
there is	may yara
considered	konsiderar
type	sahi
called	natawag
worse	pinakamalala
I can	Ako man
lift	pasaka
much	madamo
loud	matudo
suffer	pag-antos
okay dear	okay palangga
tongue	dila
bag	bag
sufficient	insakto
degree	kasangkaron
race	palumba
nope	indi pagsapakon
hate	dumot
enormous	dako gid
procedure	proseso
soft	mahumok
favorite	paborito
dress	bistida
belong	ginapanagiyahan ni
bite	kagat
nature	palibot
barely	diutayan lang
escape	naka halin
night	gab-i
random	gintantsa lang
cook	kagat
abuse	abuso
furniture	pagkabutang
continue	magpadayon
width	kalapadon
person	tawo
pursue	sigehon
outside	sa guwa
power	gahom
perception	paghantop
stomach	busong
fail	napaslawan
sense	balatyagon
flood	baha
move	hulag
dude	meg
deposit	deposito
express	magpabutyag
successful	madinalag-on
lawyer	abogado
willing	gusto gid
bow	magduko
desk	lamisa
admit	nagaako
outstanding	talalupangdon
pity	kaluoy
discuss	pag istorya
regardless	luwas sa
relief	paumpaw
add	dugangan
means	kunsaydn
virtual	makita
wealth	manggad
week	semana
related	naangot sa
culture	kultura
plot	plano
shift	magsaylo
desperate	desperado
figure	panglawason
native	tumandok
popular	damo nakakilala
owe	utang
tell me	ihambal sa akon
green	berde
private	pribado
brief	mugo
dump	basurahan
general	kabilogan
explore	usisaon
communication	komunikasyon
rice	kan-on
stand	pagtindog
drive	drayb
adequate	bastante
dedicated	dedikado
urgent	ginadalian
revenue	buhis
iron	salsalon
praise	ginadayaw
chicken	manok
pleasant	manami
thank you very much	duro gid nga salamat
casual	kaswal
purple	purpura
negative	negatibo
trigger	trigo
afternoon	hapon
target	ginapuntirya
treatment	pagbulong
alternative	alternatibo
display	ginpakita
hip	hawak
mouth	baba
conscious	pangalibutan
eligible	pwede gid
medicine	medisina
comprehensive	komprehensibo
permission	permiso
deny	wala ginamin
ate	kaon
surface	kadaygan
you are	ikaw ay
next	sunod
bias	may ginadampigan
inevitable	di malikawan
acknowledge	ginkilala
taste	sabor
real	matuod
lay	ibutang
sore	masakit
court	kort
include	lakip
fool	mango
cover	tabon
build	maghimo
summary	sumaryo
plant	tanom
sophisticated	sopistikado
entire	kabilogan
pay	bayad
approximately	ginabanta sa
beard	burangos
complain	reklamo
rich	manggaranon
perform	magpasundayag
miserable	makaluluoy
remove	kuhain
pull	butungon
gratitude	pagpasalamat
things	mga bagay
blood	dugo
arrived	nag abot
city	syudd
perspective	paglantaw
I have	May yara ako
heaven	langit
initial	una
government	gonyerno
dead	patay
manage	pagdumala
guide	giya
engagement	pagpakigbahin
poverty	kapigaduhon
coach	naga tudlo
introvert	gusto nga isahanon
frightened	nahadlok
friendly	maabyanon
swing	duyan
design	disensyo
apple	mansanas
society	katilingban
sensitive	sensitibo
space	espasyo
worried	kabalkaa
promise	promisa
ring	singsing
month	bulan
chase	lagas
contact	kontak
ship	barko
exposure	pagbuyagyag
lean	sandig
complicated	komplokado
plenty	bugana
properly	insakto
urge	kagustuhan
inside	sa sulod
plan	plano
lonely	masubo
discipline	disiplina
building	estraktura
recommend	ginrekomenda
physical	pisikal
top	ibabaw
ridiculous	kaladlawan
strike	naigo
hesitate	gaduhaduha
gross	makasuluka
stock	stak
restaurant	restawran
fell	mmahulog
chores	mga ulubrahon
dessert	pangyam-is
conflict	problema
someone	isa ka tawo
two	duha
law	layi
encounter	pagtubangay
neck	liog
greedy	kauhaw
holiday	kapyestahan
name	ngalan
material	materyal
thank	salamat
departure	paghalin
credit	utang
count	isip
sharp	matalom
dark	madulom
entrepreneur	negosyante
gather	magkuha
face	itsura
he is	sya ay
introduce	pakilala
branch	sanga
cross	krus
valid	balido
convince	kombinsido
estimate	ginbulubanta
consistent	nahisanto
I mean	Ang akon ginanamean
you're welcome	ginaabiabi ka namon
dream	handum
task	ulubrahon
harm	halit
occasionally	kon kaisa
store	tago
hungry	gutom
grateful	pasalamat
balance	balanse
death	kamatayon
satisfied	kaayawam
require	kinanglan
sea	baybay
stress	ugtas
expression	ekspresyon
shelter	balay
apparently	apang
frequently	permi
focus	sentro
established	ginpat-os
reluctant	natahap
never mind	wala na lang
child	bata
structure	straktura
boy	lalaki
distinguish	ginkilala
critical	kritikal
executive	ehukutibo
entertainment	kalingawan
arrogant	arogante
open	bukas
soil	lupa
fake	peke
strict	strikto
shut up	maghipos
vital	importante
fish	isda
moreover	sa dugang pa
ear	talinga
summer	tag-ilinit
legacy	legasiya
felt	nabatyagan
distinct	distikto
thread	hilo
suppose	kuno
broken	nabuka
quantity	kadamuon
sun	adlaw
job	ubra
happiness	kasadyahan
post	poste
accident	aksidente
picture	laragway
scale	eskala
gender	kasarian
noun	nombre
happy new year	malipayon nga bagong tuig
fraud	daya
exchange	baylo
cure	bulong
drink	pag inom
street	kalye
word	tinaga
solve	sulbar
point	punto
suspicious	madudahon
engineer	enhinyero
thirsty	uhaw
heritage	palanublion
visit	pag duaw
legend	sugilanon
even though	bisan pa
ground	duta
envy	kahisa
miss you	nahidlaw ako sa imo
spirit	espirito
intelligent	maalam
realize	reyalisar
surname	apilido
implement	magpatuman
regular	naandan
principal	prinsipal
interested	interesado
town	banwa
where are you now	diin ka na subong
piece	bilog
useful	magamit
fragile	kahuyang
wood	kahoy
wake up	bugtaw na
meanwhile	sa di magdugay
obey	magpati
god	ginoo
women	babayi
impressive	nagadayaw
hustle	kasako
prompt	maabtik
core	sentro
bowl	yahong
consumption	konsumo
imagine	handurawa
couple	pares
swallow	tunla
partner	pares
I can't	Indi ako
draft	plano
overall	sa kabilogan
shirt	bayo
idiot	gago
numb	palaminhod
beef	baka
question	pamangkot
resolution	resolusyon
fascinating	makatilingala
tip	punta
wall	dingding
prior	antes pa
engage	pagpakigbahin
depression	depresyon
scratch	karos
glass	baso
consequences	silot
love you	palangga ta ikaw
Wednesday	Myerkules
capacity	kapasidad
compulsory	obligado
acquire	matugayon
traditional	tradisyonal
refund	ibalik nga kwarta
truth	kamatuoran
responsibility	responsibilidad
promote	pagsakdag
very good	maayo gid
decided	nakadesisyon
breathe	ginhawa
body	lawas
second	segundo
leg	paa
obligation	obligasyon
cheerful	masinadyahon
dispute	pagsuay
title	titulo
fix	pagkay-o
compromise	kompromiso
treasure	kayamanan
species	espesyi
blind	bulag
sing	kanta
lamb	kornero
pace	kadasigon
proof	ebidensya
wheat	trigo
switch	buluksan sang suga
plane	eroplano
smile	pagngirit
brown	kaki
meaning	buot silingon
village	baryo
mistake	sala
flour	harina
boost	pag-uswag
fault	sala
sustainable	masustenir
plate	plato
owner	tag-iya
hilarious	kaladlawan
mom	nanay
witness	nakakita
past	nagligad
adjust	pagbag-o
grab	agawon
regard	pag-ulikid
fill	butangan
give up	magsuko
goal	tinutuyo
convey	magpabutyag
hire	pagpangita sang manog-ubra
ahead	una sa naiskedyul
term	termino
colleague	kaupod
record	pagsulat
proposal	panugda
elaborate	ipaathag
establish	pamatud-an
grief	kasubo
temperature	temperatura
introduction	introdyksyon
meeting	miting
manager	manugdumala
crew	tinawo
strain	salaon
slightly	medyo
salary	sweldo
smell	amoy
contain	naga unod sang
enthusiastic	nakunyag
loan	utang
heal	mag-ayo
object	bagay
day	adlaw
refer	magpatuhoy
extend	itanyag
construction	konstraksyon
fridge	ref
apologize	magpangayo pasaylo
allowed	ginpasugtan
primary	una
noise	gahod
thigh	paa
are you	ikaw bala
disaster	gamo
ambitious	ambisyoso
speak	hambal
Tuesday	Martes
protect	protekta
facilities	mga pasilidad
disturb	distorbo
training	paghanas
climb	magsaka
capable	masarangan
fee	balayran
spell	tigbato
I see	Nakita ko
shoes	sapatos
chance	chansa
extremely	tuman
chaos	magamo
woman	babayi
tear	luha
none	wala
hello how are you	hello, kamusta ka
expected	ginaekspektar
constant	dalayon
charity	kaluoy
involve	lakip ang
intention	intensyon
every	kada
evil	yawa
arm	braso
urban	siudad
forecast	pagbanabana
bargain	baratilyo
dad	tatay
service	serbisyo
fly	lupad
blanket	kapay
rural	uma
whom	si
dignity	dignidad
sold	nabaligya na
are you there	ara ka pa da
ok my love	ok, palangga ko
rely	magsalig
four	apat
west	katundan
diversity	dibersyo
recent	subong lang gid
lettuce	letsugas
college	kolehiyo
goodbye	paalam
grass	hilamon
half	tunga
retail	tingi nga baligya
pick	puluton
following	naga sunod
lake	linaw
purse	kahita
front	tubang
don't	indi
intense	sobra
disgusting	makasuluka
accomplish	natapos
skip	laktawan
deer	usa
insurance	insyurans
wrist	pulso
sacrifice	sakripisyo
harsh	mapintas
produce	maghimo
careful	mahalong
quickly	maabtik
observe	obserba
problem	problema
rug	trapo
scam	skam
pollution	polusyon
archive	arkayb
daily	kada adlaw
shower	palaliguan
tap	gripo
settle	magpuyo
freedom	kahilwayan
remote	pilindutan
valuable	mapuslanon
kitchen	kusina
fierce	wala emosyon
round	bilog
prominent	prominente
subtle	malimbungon
I'm good	Ok ako
proceed	padayon
east	sidlangan
audience	tumalan-aw
tree	puno
nose	irong
concept	konsepto
contract	kontrata
rear	pagpadaku
spam	pasayod
my name is	ang ngalan ko ay
creative	pagpanuga
bridge	tulay
furthermore	dugang pa
initiative	inisyatibo
minor	diutay
lying	pagbinutig
definition	depinisyon
due to	tungod sa
message	mensahe
vague	indi maathag
at least	sa gamay
pen	pang sulat
steal	magtakaw
domestic	domestiko
survive	nakaluwas
speech	pagsugilanon
simple	simplehon
management	nagadumala
library	librarya
leaves	mga dahon
ceiling	atop
test	pagtilaw
rubber	goma
district	distrito
attached	na lakip
literature	literatura
cheese	keso
booster	nagapauswag
aspect	aspeto
noisy	magahod
method	pamaagi
cupboard	platera
touch	uyatan
leather	panit
trash	basura
leverage	argumentohanay
faint	nalipong
background	sa likod
objective	tulumuron
represent	representa
joy	kasadya
lame	piang
trunk	sanga sang kahoy
article	artikulo
invoice	pelirmahan
indicate	indikado
clumsy	pungay
middle	sa tunga
unusual	indi kinaandan
st	st
anniversary	anibersaryo
gone	nadula
former	sang una
south	bagatnan
label	etiketa
shame	kahuluya
author	nagsulat
relax	magpahunayhunay
orange	suha
gift	regalo
skirt	palda
participate	partisipar
action	aksyon
repair	kidanon
I want	Gusto ko
natural	kinaugali
tail	ikog
blessed	ginpakamaayo
reckless	pagpatumbaya
burst	pagsilabo
dizzy	lingin
thing	bagay
sit	pungko
weed	gamhon
river	suba
ease	hapos
win	daog
going	makadto sa
professional	propesyonal
sheep	karnero
commercial	komersyal
sentence	dinalan
search	magpangita
grade	grado
boss	amo
knee	tuhod
salt	asin
earth	kalibutan
