Mabaskog ang tunog sang motór sang amon bangka.,The sound of our boat's motor is loud.
Nagmaneho sia sang motorsíklo pakadto sa banwa.,He drove a motorcycle going to town.
Kuhaa ang bayo mu sa katre.,Get your shirt on the bed.
Nagmú’-ad ang íla mánggad.,Their wealth increased.
Nagmúklat ang matá ni Juán.,Juan’s eyes opened.
Sunod pirme sa bag-o nga múda ang iya mga bayo.,Her clothes always follow the new fashion.
Nagpamugún ang Tátay ku sa kafetérya.,My Father worked in the cafeteria.
Namúg’ut si María kay José.,Maria held a grudge for Jose.
Gintan-aw niya sing maayo para ma-mulálung ang nawong sang tawo.,He looked carefully to perceive clearly the person's face.
Indi ko gusto maghatag sang muléstya sa inyo pamilya.,I do not want to cause a bother to your family.
Nagbayad sia sang múlta tungod sa paglapas sa laye sa kalsada.,He paid a fine for breaking the traffic law.
Ginkadtoan namon ang munisípyo para magkuha sang papel.,We went to the municipal town hall to get a document.
"Ma’áyu iná”, múnu ni Juán.","“That’s good”, said Juan."
Nagpangitlog na ang mungá’ sa iya pugad.,The hen already laid eggs in its nest.
Nagasakripisyo kag nagapangamuyo ang múngha sa sulod sang kumbento.,The isolated nun sacrifices and prays inside the convent.
Murahág ang iya mga mata pagbugtaw niya kaina.,His eyes were red-eyed when he woke up earlier.
Nahadlok ang mga bata magwa kon gab-i tungod sa múrto.,The children are scared to go out at night because of the ghost.
Gingamit niya ang muskitéro para indi pagkagton sang lamok.,He used the mosquito net so he wouldn't be bitten by mosquitoes.
Ginbutangan niya sang muskobádo ang iya kape para magtam-is.,He put unrefined sugar in his coffee to make it sweet.
Paborito niya pamatian ang dumaan nga músika sa radyo.,He favorites listening to old music on the radio.
Ginmusingán niya ang íya dungúg.,He disgraced himself.
Isa lang ako ka músmus nga mamumugon sa uma.,I am just a poor laborer on the farm.
Gin-sugo sang agalon ang iya mutsátso nga maglimpyo.,The master ordered his man servant to clean.
Gingamit nila ang mutún sa pagbatak sang semento sa ibabaw.,They used the pulley to hoist the cement up.
Nakit-an niya ang isa ka matahum nga mútya’ sa idalom sang dagat.,He found a beautiful pearl under the sea.
Ginpakita niya ang mwéstra sang iya produkto sa mga bumalakal.,He showed a sample of his product to the buyers.
Isa sia ka aktibo nga myémbro sang amon organisasyon.,He is an active member of our organization.
Sa Myerkolés pa maabot ang aton mga bisita.,Our guests will arrive on Wednesday.
Alás dos na.,It is already two o’clock.
Nakúha’ nilá ang prémyo.,They won the prize.
Ibutang na’ sa ibabaw sang lamesa.,Put that on top of the table.
Nakadtu’án na ni Lucílle ang Ameriká.,Lucille has been to America already.
Ma-nábaw lang ang tubig sa suba subong gani luwas tabukon.,"The water in the river is shallow now, so it's safe to cross."
Nakasulát na akú.,I have written already.
Ini nga lapis amo ang ginbakal nákun.,This pencil is what was bought as mine.
Kinsénal ang swéldo námun.,We get our salary every fifteen days.
Ako naláng ang mabilin sa balay para magbantay.,I will just be the one to stay at home to watch over.
Ma-námit gid ang paborito mo nga linuto ni lola.,Your favorite cooking by grandma is very delicious.
"Amon ini nga duta, indi inyo, ini nga duta námun.","This land is ours, not yours, this land is ours."
Ma-nanám ang sabaw sang batchoy nga amon ginkaon.,The batchoy broth we ate is tasty.
Palangga ko gid si nánay kag nagabulig ako sa iya.,I love my mother very much and I help her.
Ginhulám nánday Cárlos kag María ang mangá líbro.,"Carlos, Maria (and others) borrowed books."
Nánu ang imo ginasiling parte sa natabo?,What are you saying about what happened?
Nangín milyonáryo si José.,Jose became a millionaire.
Napúlugsiyám ang mangá líbro sa lamésa.,There are nineteen books on the table.
Nagkaon sia sang preska kag matam-is nga naranghíta.,He ate a fresh and sweet nectarine.
Mabuot ang nárs nga nag-atipan sa akon sa ospital.,The nurse who took care of me in the hospital is kind.
Dapat nátun halungan ang palibot sa komunidad.,We should take care of our surroundings in the community.
Naná’ug akú.,I went down.
Daw may daku sia nga problema base sa iya nawúng.,It seems he has a big problem based on his countenance.
"Nay, mauli na ako halin sa eskwelahan.","Mom, I am coming home from school."
Ma-nayánáya gid ang dalaga nga nagtambong sa imo kasal.,The young lady who attended your wedding is very well-dressed.
Didto dampi náyun ang amon uma makita.,Our farm can be seen over there beyond that area.
Nanganak na ang amon nayún sang lima ka idik kagab-i.,Our sow gave birth to five piglets last night.
Mauswagon ang ila gamay nga negósyo sa banwa.,Their small business in town is prosperous.
Ginhatagan ko sang bag-o nga hampangan si Néne’.,I gave a new toy to Nene.
Ginsumpong sia sang nérbyos sang nakita ang daku nga damang.,He was attacked by nervousness when he saw the large spider.
"Akon ni nga bag, indi ina sa imo.","This bag is mine, that is not yours."
Ang paborito niya nga basketbolista isa ka maayo nga nígru.,His favorite basketball player is a good black-complexioned person.
Ini ang desisyon níla para sa palaabuton sang proyekto.,This is their decision for the future of the project.
Ginpanilágan ku kun anú ang ímu buhátun.,I observed what you were going to do.
Ginbasa ko sing maayo ang sulat nímu para sa akon.,I carefully read your letter to me.
Kagustuhan nínyu bala nga magkadto sa baybay subong?,Is it your preference to go to the beach now?
Human sa nípa ang atop sang amon gamay nga payag.,The roof of our small hut is made of nipa palm.
Ma-nipiś ang tela sang iya ginasuksok nga bayo.,The cloth of the shirt she is wearing is thin.
Ma-nipúlun ang porma sang bola nga ginahampangan nila.,The shape of the ball they are playing with is round.
Ma-níwang ang ido nga nagasaag diri sa dalan.,The dog wandering here on the street is thin.
Ginkuha níya ang kwarta nga nabilin sa lamesa.,He took the money left on the table.
Nag-inom kami sang preska nga sabaw sang niyúg.,We drank the fresh juice of the coconut.
Nobyémbre n November.,
Si Mark ang pinalangga nga nóbyo sang akon abyan.,Mark is the beloved sweetheart of my friend.
Ginpadala ko kay Nónong ang sulat pakadto sa lola.,I sent the letter to grandma through Nonong.
Gintawag ni lola si Nónoy para magkaon na sang panyapon.,Grandma called Nonoy to eat dinner now.
"Matuod ang tanan nga iya ginsugid kaina, nú?","Everything he told earlier is true, isn't it?"
Ma-nubú’ sia kumpara sa iya magulang nga nagtangkad na.,He is short in height compared to his older sibling who grew tall.
Ano ang número sang imo telepono para matawgan ko ikaw?,What is your telephone number so I can call you?
Ginúsnus ku ang trápo sa salúg.,I rubbed the rag on the floor.
Alas nwébe sang aga kami magalarga pa-probinsya.,We will depart for the province at nine o'clock in the morning.
Wala sing nyébe diri sa Pilipinas.,There is no snow here in the Philippines.
Ngá’a wala ka nagkadto sa amon balay kahapon?,Why didn't you go to our house yesterday?
Ano ang ngálan sang imo paborito nga libro?,What is the name of your favorite book?
Nagngásal si María sang di’ ma’áyu.,Maria chattered nonsense.
Puno sang ngáwa ang iya nawong sang makita ako.,His face was full of surprise when he saw me.
Nangídlis akú.,I was horrified.
Nangíl’-ad si María kay Gloría.,Maria was disgusted with Gloria.
Masakit ang akon ngípun gani makadto ako sa dentista.,My tooth hurts so I will go to the dentist.
Makita ang daku nga ngísi sa iya nawong.,A big grin can be seen on his face.
Nagapula ang iya ngíslu’ tungod sa impeksyon.,His gums are red because of an infection.
Nagngúrab si Cármen.,Carmen complained to herself.
Nabatian namon ang ngúrub sang sapat sa kagulangan.,We heard the growl of the animal in the forest.
Gusto mo bala sang kape o tsaa?,Do you want coffee or tea?
Nagbisita ang obíspo sa amon parokya kaina.,The bishop visited our parish earlier.
ónse num eleven.,
Gin’operahán si Vída.,
Masako ang mga tawo sa sulod sang opisína.,The people inside the office are busy.
Nagpagwa sang opisyál nga pahayag ang gobyerno.,The government released an official statement.
Pila na ang óras sa imo relo?,What time is it on your watch?
Nagapangamuyo kami kon mag-orasyón na.,We pray when it is already time for the angelus.
Ginhanda sang pari ang iya órden antes ang misa.,The priest prepared his cincture before the mass.
Matahum pamatian ang tunog sang órgano sa simbahan.,The sound of the organ in the church is beautiful to hear.
Gindala ang pasyente sa pinakamalapit nga ospitál.,The patient was brought to the nearest hospital.
Madamo sang mga osyóso nga tawo sa gwa sang balay.,There are many nosy people outside the house.
Nag-tinir kami sa isa ka barato nga otél.,We stayed in a cheap hotel.
Maayo ang iya óbra sa amon kumpaniya.,His work in our company is good.
Wala pa sia kaabot halin sa iya byahe.,He has not arrived yet from his trip.
PaManíla’ ka?,Will you go to Manila?
Ma’áyu iná’ nga pa’ági.,That seems to be a good method.
NagpaManíla’ si Níta.,Nita went to Manila.
Masakit ang akon pá’a sa sige dalagan.,My thigh hurts from constantly running.
Nag-pa’álam sia sa akon antes sia naglakat.,He warned/told me before he left.
Pa’ánu mo ini ginhimo sing madasig?,How did you do this quickly?
Ginpa’ayún ku ang rebólber sa íya.,I pointed the gun at him.
Amo ini ang akon paboríto nga pagkaon.,This is my favorite food.
Madamo sang naga-obra sa sulod sang pábrika.,Many are working inside the factory.
Nagluto kami sang pábu para sa panyapon.,We cooked turkey for dinner.
Nagatunog ang mga paká’ kon nagaulan.,The frogs make sound when it rains.
Si Maria ang akon paborito nga paka’isá.,Maria is my favorite first cousin.
Nagpakarás akú sang talámnan.,I harrowed the field.
Gunitan mo ang pákaw sang kutsilyo.,Hold the handle of the knife.
Nakabaton ako sang isa ka pakéte halin sa koreo.,I received a package from the mail.
Gintipon nila ang mga páklang sang saging.,They gathered the stems of the banana.
Matahum ang mga pákpak sang sining pispis.,The feathers of this bird are beautiful.
May pákris sia sa iya bukton tungod sa aksidente.,He has a bruise on his arm due to the accident.
Ginpáksi’ ku ang búlak.,I plucked the flower.
Malaba ang pakú’ sang iya ginasuksok nga bayo.,The sleeves of the shirt he is wearing are long.
Husto ang imo pakút parte sa sekreto.,Your guess about the secret is correct.
Gin-pákyaw niya ang tanan nga tinda sa merkado.,He bought all the goods in the market in bulk.
Salamat sa imo padalá nga mga bayo.,Thank you for the clothes you sent.
Nagpadáyun si Noél sa pagtu’ún.,Noel continued his studies.
Mataas ang padér sa palibot sang ila balay.,The concrete wall around their house is high.
Ginpadíhut sang Máyor ang pyésta.,The Mayor organized the fiesta.
Ginpadúgi’ ni Sebastián sang ma’áyu ang íla negósyo.,Sebastian managed their business very well.
Nagpadúlung si Ricárdo sa Iloílo.,Ricardo was headed for Iloilo.
Nakakuha sia sang daku nga pádya’ sa paindis-indis.,He got a big prize in the contest.
Pagbakál sang bulúng.,Buy some medicine.
Ma’áyu ang íya paghámbal.,His speech was good.
May mga pagáno pa nga nabilin sa malayo nga bukid.,There are still pagans left in the far mountain.
"Pagkatápus sya maghámbal, naglíngkud sya.",He sat down after speaking.
Ang íya pagkatámad ang nagdalá sang kasubú’.,His laziness brought him sadness.
Bugana ang pagká’un sa amon lamesa.,The food on our table is abundant.
Ma-págsik ang bata nga nagahampang sa gwa.,The child playing outside is active.
Ma-pág’un ang sapatos nga akon ginbakal.,The shoes I bought are durable.
Nagpágut si Éster kagáb’i.,Ester gnashed her teeth last night.
Gin-hugtan niya ang iya páha sa hawak.,He tightened his belt around his waist.
Nagpáhid si Rosíta sang íya ti’íl.,Rosita wiped her feet.
Ano ang imo pahítu’ para madasig matapos ang obra?,What is your technique to finish the work quickly?
Matam-is ang páhu’ nga ginalako sa dalan.,The mango being sold on the street is sweet.
Ginpahúg ni Noél si Susána.,Noel frightened Susana.
Ginpahulám ku ang líbro.,I lent the book.
Kinahanglan naton sang pahúway pagkatapos sang semana.,We need rest after the week.
Nagpa’-ílub si Mára kay Yolánda.,Mara gave the chance to Yolanda.
Maayo ang imo pa’ínu’ínu para sa aton proyekto.,Your idea for our project is good.
Ma-pa’ít ang sabor sang amargoso.,The taste of the bitter gourd has bitterness.
Nagpa’íway si Nánay sa disgrásya.,Mother was very careful not to get into an accident.
Gamita ang pála sa pagkali sang buho.,Use the shovel to dig the hole.
Ginpála ku ang sulát.,I erased the writing.
Palahúbug iná’ nga táwu.,That man is a drunkard.
Mabaskog ang palákpak sang mga tawo sa teatro.,The clapping of the people in the theater was loud.
Mabudlay pakuton ining imo palaktakún.,This riddle of yours is hard to guess.
Nakasulat sa imo pálad ang imo palaabuton.,Your future is written in your palm/fate.
Nagpalamanúg ang ti’íl ku.,My foot swelled.
Punuon mo sang tubig ang palangána.,Fill the basin with water.
Palángga’ ko gid ang akon pamilya.,I truly love my beloved family.
Nag-obra sia sang pálapála para sa iya mga tanom.,He made a trellis for his plants.
Importante ining palasárun para sa aton banwa.,This project is important for our town.
Nagapuyo ang hari sa sulod sang palásyu.,The king lives inside the palace.
Madamo sang pálay sa amon uma subong.,There are many rice plants in our farm now.
Ginbutangan nila sang paláyas ang bintana para indi mainitan.,They put an awning on the window to keep the heat out.
Nagpálhit ang píntor sang pínta sa díngding.,The painter painted the wall.
Ma-limyo ang aton palíbut sa eskwelahan.,Our surroundings in school are clean.
Ginpálid sang hángin ang papél.,The wind blew the paper away.
Nag-paligu’ kami sa suba kaina sang aga.,We bathed in the river earlier this morning.
Palíhug kuha sang akon libro sa lamesa.,Please get my book on the table.
Nagpangita sia sang palítu pagkatapos kaon.,He looked for a tooth pick after eating.
Ginpálpag ku ang lánsang.,I drove the nail.
Nagpálsu ang plánu námun.,Our plan failed.
Nagpálta si Victória sa kláse.,Victoria was absent in class.
Ang paltéra ang nagbulig sa pagbata ni Maria.,The midwife helped in Maria's childbirth.
Mataas ang pálu sang sakayan nga nag-abot.,The masthead of the boat that arrived is high.
Ginpálung ku ang kaláyu.,I extinguished the fire.
Napalús ang higút.,The knot slipped off.
Namit ang amon pamáhaw kaina sang aga.,Our breakfast earlier this morning was delicious.
May pamángkut ako parte sa aton leksyon.,I have a question about our lesson.
Ang mga pamatán’un ang paglaum sang aton pungsod.,The youth are the hope of our nation.
Ginpamatbatán ang kriminál sang tátlu ka tú’ig sa prisohán.,The criminal was sentenced to three years in prison.
Mag-památi’ kamo sing maayo sa akon ginasiling.,Listen carefully to what I am saying.
Nagpamugún akú sa Maníla’.,I worked in Manila.
Nagpamulúgsu’ si Tátay sa ámun.,Father was furiously angry at us.
Nag-pamús’un sia sa banyo.,He moved his bowels in the bathroom.
Gingamit sang mangangayam ang iya paná’.,The hunter used his bow and arrow.
Kompleto ang panákut sang amon ginaluto.,The ingredients of what we are cooking are complete.
Nagpanakáyun silá paCebú.,They sailed for Cebu.
Nagbakal kami sang mainit nga tinapay sa panaderíya.,We bought hot bread at the bakery.
Nagpanag’íya silá sang madámu’ nga baláy.,They owned so many houses.
Nagbakal kami sang mainit nga tinapay sa panaderíya.,We bought hot bread at the bakery.
Maayo ang panahún subong para mag-biyahe.,The weather is good today for traveling.
Nagapuyo kami sa ikaduha nga panálgan sang apartment.,We live on the second storey of the apartment.
Nagpanambítun silá sa íla Lólo.,They mourned for their grandfather.
Nagpanámkun si Nánay sang páhu’.,Mother craved for mango.
"Pananglítan mag-ulan, indi na kita magdayon.","Supposing it rains, we won't proceed anymore."
Matahum ang panáptun sang iya ginasuksok nga bayo.,The cloth of the dress she is wearing is beautiful.
Ginpánas ku ang pisára.,I wiped the board.
Nagpaná’ug si Albérto ka’ína.,Alberto went down a while ago.
Nabatian ko ang panihúl sang pulis sa kanto.,I heard the whistle of the policeman at the corner.
"Base sa akon paní’id, maulan gid subong nga hapon.","Based on my observation, it will really rain this afternoon."
Nagpanílag ang principál sa mangá estudyánte.,The principal observed the students.
Ma-pula ang pánit sang bata sa sobra nga init.,The child's skin is red from too much heat.
Ano ang aton pani’údtu sa balay?,What is our lunch at home?
Namit ang pánsit nga gindala ni Maria.,The cooked noodles Maria brought are delicious.
Bag-o ang iya ginasuksok nga pantalón.,The pair of pants he is wearing is new.
May pantálya sa sulod sang department store.,There is a dummy inside the department store.
Salamat sa imo panúgyan para sa amon negosyo.,Thank you for your suggestion for our business.
Indi kita magpadaug sa mga panuláy.,Let us not let temptation overcome us.
Nag-imbitar sia sa amon para sa panyága.,He invited us for lunch.
Tilipon ang pamilya kon mag-panyápun na.,The family gathers when it is time for supper.
Trapuhi ang imo balhas gamit ang pányu’.,Wipe your sweat using the handkerchief.
Panghúgas sang ímu kamút.,Wash your hands.
Pulá ang íyang pang’ibábaw.,Her blouse is red.
Nagpanglabá ang labandéra.,The laundrywoman washed clothes.
Ginpangumústa akú ni Presidénte Márcos.,President Marcos shook my hand.
Nagpangabáy si Élsa nga magpadalá sang líbro kay Gil.,Elsa requested (someone) to bring a book to Gil.
Nakatapos sia eskwela tungod sa pangabúdlay sang iya ginikanan.,He finished school because of his parents' hard work.
Simple lang ang amon pangabúhi’ sa uma.,Our way of life on the farm is simple.
Tumanon mo ang imo pangáku’ sa akon.,Fulfill your promise to me.
Ang pangádyi’ amo ang aton komunikasyon sa Ginoo.,Prayer is our communication with the Lord.
Ginsabat sang Ginoo ang akon pangamúyu’.,God answered my prayer.
Madamo sang madulom nga pangánud sa langit.,There are many dark clouds in the sky.
Nagpangáyaw silá sa Cebú.,They moved to Cebu.
Ginhatag niya ang akon pangáyu’ nga libro.,He gave the book I requested.
Nagpánggas akú sang ma’ís.,I sowed corn seeds.
Namit gid magkaon sang panginhásun sa higad sang baybay.,It is very delicious to eat clams by the seaside.
Gamay lang ang iya pangíta’ sa pag-obra sa talamnan.,His earnings from working in the field are small.
Nagahampang ang mga bata sa pángpang sang suba.,The children are playing on the edge of the river.
Mabuot ang aton bag-o nga pangúlu sa barangay.,Our new leader in the barangay is kind.
Nag-bisita ang pápa sa amon pungsod.,The pope visited our country.
Si papá ang nagatrabaho para sa amon pamilya.,Father is the one working for our family.
Ginpá’pa’ ku ang lánsang.,I hammered the nail.
Nagpápas akú sang úlud sa talámnan.,I exterminated worms in the field.
Hatagi ako sang isa ka panid nga papél.,Give me one sheet of paper.
Ini nga regalo pára sa imo kaadlawan.,This gift is for your birthday.
Gingamit sang piloto ang iya parakáyda.,The pilot used his parachute.
sín’u,
Wala sing paráda sa sining kalsada.,There is no parking on this street.
Daw isa ka para’ísu ang sining isla.,This island is like a paradise.
Nabudlayan sia mag-giho tungod sa paralísis.,He has difficulty moving due to paralysis.
Nagabulig kami sa tawo nga paralítiku.,We help the crippled person.
Basaha ang una nga párapu sang istorya.,Read the first paragraph of the story.
Parého kamo sang kolor sang bayo.,You have the same color of clothes.
Maayo mag-sermon ang amon pári’.,Our priest gives good sermons.
Ibutang ang isda sa ibabaw sang parílya.,Put the fish on top of the broiling grill.
Nagbakal sia sang bag-o nga páris sang sapatos.,He bought a new pair of shoes.
Magbakal ka sang bulong sa parmásya.,Buy medicine at the pharmacy.
Kuhaa ang imo párti sa sining pagkaon.,Take your part of this food.
Ano ang imo ginasuportahan nga partído?,What political party are you supporting?
Nagsab-it kami sang parúl sa bintana.,We hung a lantern on the window.
Nagparút ang ákun baráha.,My cards are missing.
Malapit namon nga paryénte ang tag-iya sining balay.,The owner of this house is our close relative.
Madamo sang pasák sa malandong nga bahin sang hardin.,There are many ferns in the shady part of the garden.
Nagpásad silá sang eskwelahán sa bánwa.,They established a new school in town.
Pasagí’ lang ang disenyo sang iya balay.,The design of his house is just simple.
Pila ang pasáhe pakadto sa Iloilo?,How much is the fare (trip) to Iloilo?
Ginbutangan niya sang bulak ang pasamáno.,She put flowers on the window sill.
Nagpás’an akú sang ísa ka búlig nga ságing.,I carried one bunch of bananas on my shoulder.
Gin-pasápása nilá ang líbro.,They passed the book around.
Kinahanglan mo ang pasapórte para makalarga sa gwa.,You need a passport to travel abroad.
Nagpasár na ang bágyu.,The typhoon is over.
Ma-duagon ang mga dahon sang pasáw.,The leaves of the croton plant are colorful.
Ginpasáy ku ang súd’an.,I ate the meat alone.
Ginpasáylu ku si Lucílle.,I forgave Lucille.
Nakita ko ang imo ngalan sa paskíl.,I saw your name on the placard.
Masadya ang pamilya kon mag-páskwa na.,The family is happy when it's already Christmas.
Mangayo ako sang pasénsya sa akon sala.,I ask for forgiveness for my mistake.
Mag-agi kamo sa malaba nga pasílyo.,Pass through the long corridor.
Nagpasimpálad akú nga ára’ ang direktór.,I took the chance of seeing the director (without knowing if he is in or not).
May pásis kami para sa sine.,We have a free pass for the movie.
Ginpaslawán si Pilíta sa íya negósyo.,Pilita was unsuccessful in her business venture.
Nagpáspas ang táwu sang káhuy sa búkid.,The man cut down many trees in the mountain.
Nagpakadto sia sa dentista para sa iya pásta.,He went to the dentist for his filling.
Ang pastór ang nagatuytoy sa mga karnero.,The shepherd guides the sheep.
May pásu’ ang akon tudlo sa init nga kolon.,My finger has a burn from the hot pot.
Ginpasulábi ni José si Nóra.,Jose gave priority to Nora.
Puno sang bugas ang isa ka pásung.,One native sack is full of rice.
Gusto namon mag-pásyar sa plaza karon sa hapon.,We want to stroll in the plaza later this afternoon.
Gina-atipan sang nars ang pasyénte.,The nurse is taking care of the patient.
Nagsuksok si lola sang iya patadyúng.,Grandma wore her wrap-around skirt.
Ma-pátag ang duta sa sining lugar.,The land in this area is level.
Nagluto si Nanay sang ginisa nga patáni’.,Mother cooked sautéed pea pods.
Patarásak ang iya paglihog sa mga tawo.,His way of treating people is eccentric.
Gintunga namon ang kwarta sing pátas.,We divided the money equally.
Nangayo sia sang patáwad sa iya ginhimo.,He asked for a pardon for what he did.
Ginalubong na ang patáy kaina sang aga.,The dead person was buried earlier this morning.
Nagpáti si Néna sa ákun.,Nena believed me.
Dál’un ku tanán patí’ ang mangá dá’an.,I will bring everything including the old ones.
Nagpát’in si Lóurdes sang líbro.,Lourdes signed in the list.
Naglupad ang mga patíng sa kahanginan.,The pigeons flew into the air.
Butangi sang patís ang imo ginakaon.,Put fish sauce on what you are eating.
Ginpátpat sang misyonéro ang Biblíya.,The missionary interpreted the Bible.
Madamo sang mga pátu sa sulod sang punong.,There are many ducks inside the pond.
Nagpátuk akú sang grúpu.,I started an organized group.
Napát’ud nga nagpa’úli’ na si José.,It is sure that Jose has gone home.
Wala sia sing patugsíling sa iya isigkatawo.,He has no consideration for his fellow man.
Nagpatumbayá’ si Líto sa íya trabáho.,Lito neglected his job.
Naghatag sila sang patúnda’ antes ang bagyo.,They gave a warning before the storm.
Patúpátu lang ang tanan niya nga ginsugid.,Everything he told was just a fabrication.
Nagpatúyang silá sang íla mánggad.,They showed off their wealth.
Malapit ang amon balay sa pátyu.,Our house is near the cemetery.
Oras na para mag-pa’úli’ sa aton balay.,It's time to go home to our house.
Nagpa’úmud kamí sa kárne.,We abstained from eating meat.
Gingamitan niya sang pa’ún ang iya taga.,He used bait on his fishhook.
Ginpá’un ku ang dunút nga ságing.,I separated the rotten banana.
Ginpa’idálum ni José ang papél.,Jose moved the paper underneath.
Ginpa’-úna ku si Victór sa sinihán.,I made Victor go to the theatre first.
Nakakita kami sang daku nga pawíkan sa dagat.,We saw a big sea turtle in the sea.
Indi ka mag-paya’ún sa imo edad subong.,Don't be childish at your age now.
Nagpahuway kami sa sulod sang payág.,We rested inside the small hut.
Nagpáypay akú kay magín’ut.,I fanned myself because it was warm.
Magdala ka sang páyung kay basi mag-ulan.,Bring an umbrella because it might rain.
May pelígro sa pag-agi sa sining madulom nga dalan.,There is danger in passing through this dark road.
Nakabaton na si Lolo sang iya pensyón kaina.,Grandpa has already received his pension earlier.
Matam-is ining péras nga ginbakal ko sa merkado.,This pear I bought at the market is sweet.
Madamo sang peregríno ang nagkadto sa balaan nga lugar.,Many pilgrims went to the holy place.
Mahal ang kwintas nga pérlas nga iya ginasuksok.,The pearl necklace she is wearing is expensive.
"Gusto ko mag-upod, péro wala ako sang kwarta.","I want to come along, but I don't have money."
Indi ko gusto isugid kay isa ini ka personál nga butang.,I don't want to tell it because it is a personal matter.
Ginabasa ni Tatay ang peryódiko kada aga.,Father reads the newspaper every morning.
Nakapulot ako sang pesétas sa higad sang kalsada.,I picked up a twenty centavo coin on the side of the road.
Ano ang pétsa sang imo kaadlawan?,What is the date of your birthday?
Nabudlayan maglakat ang ido kay pi’áng ini.,The dog has difficulty walking because it is lame.
Masyado na ka pikít sang imo ginasuksok nga pantalon.,The pants you are wearing are already too tight.
Ginpíkpik sang Mayor ang abága ku.,The Mayor patted my shoulder.
Indi ka maghampang sa iya kay pikún sia.,Don't play with him because he is short-tempered.
Nagahambal ang amon pikúy sa sulod sang halwa.,Our parrot inside the cage is speaking.
Nagkaon sia sang isa ka pidáso nga bibingka.,He ate one piece of bibingka.
Ma-pígaw na ang iya panlawason halin sang nagmasakit sia.,His body has been frail since he got sick.
Ginpígaw ang mangá sakáda.,The sugar planters were exploited.
