Hiligaynon,English
Matambok ang dúta’ sa amon uma.,The soil on our farm is fertile.
Matahum ini nga dú’ug para magpahuway.,This location is beautiful for resting.
Nadula ang dú’ul sang botelya sang bino.,The cork of the wine bottle is lost.
Nagakatulog ang bata sa sulod sang dúyan.,The child is sleeping inside the hammock.
Dúyu gid ang iya nawong sang nabatian niya ang balita.,His face was very dejected when he heard the news.
dyés num ten.,
Puno na ang dyíp nga amon ginsakyan.,The jeepney we rode is already full.
Magpangamuyo kita sa Dyús nga makagagahum.,Let us pray to God the Almighty.
Dyútay lang ang akon nakuha nga isda kaina.,I only caught a small amount of fish earlier.
Ginbasa sang pari ang ebanghélyo sa misa.,The priest read the gospel during the mass.
Natabo ang eklípsi sang adlaw sang nagligad nga tuig.,The solar eclipse happened last year.
Mabudlay ang amon eksámin sa eskwelahan subong.,Our examination at school today is difficult.
Pareho kita sang edád.,We are of the same age.
"Eh, wala na ako sing mahimo dira.","Oh, I can't do anything about that anymore."
Madamo nga tawo ang magaboto sa eleksyón.,Many people will vote in the election.
"embalsamár v /mag-, -un/ to embalm.",
Namit ang meat empanáda nga ginluto ni Lola.,The meat native pie Grandma cooked is delicious.
Isa sia ka maayo nga empleyádo sang gobyerno.,He is a good government employee.
Nagbakal sia sang bulong para sa iya empýene.,He bought medicine for his ringworm.
Sa bulan sang Enéro ginasahiwat ang amon piesta.,Our fiesta is celebrated in the month of January.
Gusto niya mangin enhenyéro pagdako niya.,He wants to be an engineer when he grows up.
Nagkaon kami sang preska nga ensaláda kaina.,We ate a fresh salad earlier.
Nagsaka ang manug-amba sa entabládo.,The singer went up the stage.
Nag’éntra akú sa prográma.,I participated in the program.
Na’intyendihán ku ang íya bu’út silingún.,I understood what he wanted to say.
Basuréro si Ricárdo.,Ricardo is a garbageman.
Madasig maglupad ang eropláno sa kahawaan.,The airplane flies fast in the sky.
Daku nga eskándalo ang natabo sa ila pamilya.,A big scandal happened in their family.
Naglusot sia sa madulom nga eskiníta.,He passed through the dark alleyway.
Gingamit niya ang eskóba para limpyohan ang sapatos.,He used the brush to clean the shoes.
Bantug ang eskultór nga nag-obra sini nga rebulto.,The sculptor who made this statue is famous.
Madamo nga eskwéla ang nag-absent subong nga adlaw.,Many students are absent today.
Malapit lang ang amon balay sa eskwelahán.,Our house is just near the school.
Makahaladlok ang eséna sa sining pelikula.,The scene in this movie is scary.
Malaba kag matalom ang espáda sang soldado.,The soldier's sword is long and sharp.
Gusto ko magbiyahe sa Espánya balang adlaw.,I want to travel to Spain someday.
Ang amon lolo nakahibalo maghambal sang Espanyól.,Our grandfather knows how to speak Spanish.
Ang espíritu sang Paskwa ara na gid sa palibot.,The spirit of Christmas is truly around.
Nadakpan sang mga pulis ang isa ka espíya.,The police caught a spy.
Gamita ang espóngha sa paghugas sang mga pinggan.,Use the sponge for washing the plates.
Nakaistar ako sa estádo sang California sang una.,I lived in the state of California before.
Unídos,
Puno sang mga libro ang amon estánte.,Our bookcase is full of books.
Nag’estar kamí sa Iloílo sang ísa ka tú’ig.,We lived in Iloilo for a year.
Maghulat ka sa amon sa estasyón sang bus.,Wait for us at the bus station.
"estranghéro n foreigner, stranger.",
Ang mga estudyánte nagapamati sing maayo sa maestra.,The students are listening well to the teacher.
Bag-o ang fálda nga ginsuksok sang bata.,The skirt worn by the child is new.
Malipayon ang amon pamílya diri sa probinsya.,Our family is happy here in the province.
Ang adlaw sang mga tagipusuon ginasahiwat sa Febréro.,Valentine's day is celebrated in February.
Ibutang ang mga preska nga bulak sa floréra.,Put the fresh flowers in the flower vase.
Matahum ang mga makasaysayan nga lugar sa Fránsya.,The historical places in France are beautiful.
Nagtanom si Lolo sang gábi sa likod sang balay.,Grandpa planted taro at the back of the house.
Madulom gid ang gáb’i kon wala sing bulan.,The night is very dark when there is no moon.
Ang gabinéte sang presidente naghiwat sang miting.,The president's cabinet held a meeting.
Indi magsakay sa baruto nga gabúk ang kahoy.,Do not ride in a canoe with rotten wood.
Gingábut ku ang hilamún.,I pulled the weed.
Gingáhit ku ang mangá hilamún sa dálan.,I cut off the grass on the path.
Magáhud ang mga salakyan sa gwa sang balay.,The vehicles outside the house are noisy.
Ang hari may daku nga gahúm sa iya nasasakupan.,The king has great power over his territory.
Gingá’id ku ang ang kárbaw sa póste.,I tied the carabao to the post.
Naggálab ang mangungúmaqsang humáy.,The farmer gathered rice.
Galánte sia sa pag-atipan sang iya mga bisita.,He is gallant in taking care of his guests.
Nagbuong ang galapún sang mahulog ini sa salog.,The bottle broke when it fell on the floor.
Magkuha ka sang galatúng para magamit sa dapog.,Get some firewood to use in the stove.
Ikaw galí’ ang nagkuha sang akon lapis kaina.,So it was really you who took my pencil earlier.
Gingáling ku ang karne.,I ground the meat.
Gindala nila ang inani nga palay sa galingán.,They brought the harvested rice to the mill.
Nagbakal ako sang isa ka galón nga tubig mainom.,I bought one gallon of drinking water.
"Maitum ang mga gál’um sa langit, daw maulan.","The rain clouds in the sky are black, it seems it will rain."
Namit ipares ang galyétas sa mainit nga kape.,Crackers are delicious paired with hot coffee.
Gamáy pa ang akon manghod nga lalaki.,My younger brother is still small.
Madamol ang gámhun sa bukid kaina sang aga.,The fog was thick on the mountain earlier this morning.
Nag-gámit sia sang martilyo para itaud ang lansang.,He used a hammer to install the nail.
Mahumok ang tela nga gamósa sang iya bag-o nga bayo.,The velvety fabric of her new dress is soft.
May natabo nga gamú sa tunga sang duha ka pamilya.,A conflict happened between the two families.
Madalom gid ang gamút sang sining daku nga kahoy.,The roots of this large tree are very deep.
Wala ako sing gána magkaon subong tungod sa hilanat.,I don't have an appetite to eat now because of the fever.
Daku ang amon ganánsya sa pagbaligya sang mga prutas.,Our gain in selling the fruits is large.
"In fact, I have not read because I did not have time.; therefore, so that, so… Gáni’ makádtu nalanǵ kamí.",Therefore we will go.
Gingánit ku ang mangá putí’ kung buhúk.,I pulled my white hairs.
Hatagi ako sang isa ka gántang nga bugas.,Give me one ganta of rice.
Puno na ang gantángan sang ginpa-galing nga bugas.,The measuring box is already full of milled rice.
Ang matahum nga gánsa nagalangoy sa punong.,The beautiful goose is swimming in the pond.
Magansál ang tunog sang radyo sang amon silingan.,The sound of our neighbor's radio is deafening.
Gingánuy ku ang báka pa’uli’.,I dragged the cow home.
Gin-kandaduhan nila ang ganghá’an sang umahan.,They padlocked the gate of the farm.
Gingápas námun ang mangá púnu’ sang ságing.,We cut down the banana plants.
Gingápus si Juán sang mangá tulisán.,Juan was bound by the robbers.
Naggárab akú sang humáy.,I cut some rice.
Gingará’ si Ágnes ni Márta sa síni.,Martha persuaded Agnes to go to the movie with her.
Ibutang ang awto sa sulod sang garáhi kay nagaulan.,Put the car inside the garage because it's raining.
May isa ka tuig nga garantíya ining bag-o nga tv.,This new TV has a one-year guarantee.
Nadakpan sa ulihi ang garúk nga pulitiko.,The corrupt politician was caught eventually.
Magarút nga tawo ang naga-istar sa pikas balay.,A rowdy person lives in the other house.
Madamo kami sang gástos para sa balayran sa kuryente.,We have many expenses for the electricity bills.
Butangi sang gatá’ ang linuto nga gabi para mas namit.,Put coconut milk in the cooked taro so it's more delicious.
Ang bata nagainom sang gátas sa botelya antes magtulog.,The baby drinks milk from the bottle before sleeping.
Mahanghang ang gatúmbal nga nadugang sa sud-an.,The pepper added to the dish is spicy.
I-gátung ko ining mga uga nga sanga sa dapog.,I will burn these dry branches as firewood in the stove.
May isa ka gatús ka pesos pa ako nga nabilin.,I still have one hundred pesos left.
Gingamit niya ang ga’úd para mag-andar ang sakayan.,He used the paddle to make the boat move.
Gingáwad ku ang ginprénda kung síngsing.,I redeemed my pawned ring.
Butangi sang gáwgaw ang linabhan nga bayo para magpilit.,Put starch on the washed clothes to make them stiff.
Magayún gid ang dalaga sa iya ginasuksok nga bisti.,The young lady is very gorgeous in the dress she is wearing.
Madamo nga inosente nga tawo ang napatay tungod sa géra.,Many innocent people died because of the war.
Naggíkan iní sa Mindanáo.,This came from Mindanao.
Daku gíd ang akon pasalamat sa inyo bulig.,My gratitude for your help is very big.
Ikaw gihápun ang akon pinakasuod nga abyan.,You are always my closest friend.
Gingíhu’ ku ang lamésa.,I moved the table.
Dal-a ang pasyente sa ospital sa gilayún.,Bring the patient to the hospital immediately.
Ginbása ku ang sulát.,I read the letter.
Ginabása ku ang sulát.,I am reading the letter.
Ginasulatán ku sya.,I am writing to him.
Ginsulatán ku sya.,I wrote to him.
Namit gid ipares ang ginamús sa hilaw nga mangga.,Fish sauce is very delicious paired with green mango.
Mabug-at ang iya ginháwa tungod sa hapo.,His breath is heavy because of asthma.
Kinahanglan naton palanggaon ang aton mga ginikánan.,We need to love our parents.
Magín’ut ang panahon subong nga hapon.,The weather is warm this afternoon.
"Maayong aga sa imo, ginú’u.","Good morning to you, sir."
Magpasalamat kita sa kaayo sang aton Ginú’u.,Let us give thanks to the goodness of our God.
Gingisá sang kusinéro ang áhos kag sibúyas.,The cook sauted the garlic and the onions.
Gisa ang karne nga may lakot nga gisántes.,Saute the meat mixed with peas.
Gingísi’ ni Líto ang papél.,Lito tore the paper.
Gingíray sang babáyi ang dáhun.,The woman cut the banana leaf into smaller pieces.
Manami sia magtokar sang gitára kon may okasyon.,He plays the guitar well when there is an occasion.
Grábe ang sakit nga ginabatyag niya sa iya tiyan.,The pain he is feeling in his stomach is serious.
Mataas gid ang akon grádo sa English subong nga tuig.,My grade in English is very high this year.
Ma-grádwar na sia sa kolehiyo sa dason nga tuig.,He will graduate from college next year.
Ginatun-an namon sing maayo ang gramátika sang Ingles.,We are studying English grammar well.
May grása ang iya kamot halin sa pagkay-o sang makina.,His hands have grease from fixing the machine.
Daku gid nga grásya ang pag-abot sang ulan.,The arrival of rain is a very big blessing.
Ang pagkaon sa piesta ay grátis para sa tanan.,The food at the fiesta is free for everyone.
Saraduha ang grípo kon wala na ginagamit.,Close the faucet when it's no longer in use.
Ang mga gruméte sang barko naga-preparar sa pag-layag.,The ship's crew is preparing for the voyage.
Isa lang kami ka grúpu sa amon proyekto.,We are only one group for our project.
Gingubá’ námun ang baláy.,We demolished the house.
Nakita namon ang isa ka gubán sang mga negosyante.,We saw a caravan of merchants.
Madamo ang nag-antos tungod sa gúbat.,Many suffered because of the war.
Ang gúgma sang iloy wala sing katapusan.,A mother's love has no end.
Gingúhab ku ang díngding.,I tore the wall down.
"Sa sining gúlang, dapat responsable ka na.","At this age, you should be responsible already."
Gingúlgul ku ang lí’ug sang manúk.,I cut off the neck of the chicken.
Gingúlub sang mananáhi’ ang téla.,The dressmaker cut the cloth.
Gingulút ku ang téla.,I cut the cloth.
Kinahanglan na islan ang gúma sang sining bisiklita.,The tire of this bicycle needs to be changed.
Gin-gúmuk ko ang papel sa akon kamot.,I crushed the paper in my hand.
Gingúmun sang kuríng ang hílu.,The cat entangled the thread.
Gamita ang matalom nga gúnting sa pag-utod sang tela.,Use the sharp scissors for cutting the fabric.
Nagsuksok sia sang itum nga gúra.,He wore a black cap.
Nag-guráb ang hardinero sang hilamon sa ugsaran.,The gardener pulled out some grass in the yard.
Gingurípat ku si Noél kay sutíl.,I boxed Noel’s ears because he was naughty.
Gústo ko magkaon sang panyaga sa gwa.,I want to eat lunch outside.
Nasalapay ang iya gúsuk sang sia nahulog.,His rib was hit when he fell.
Gingúlpi nya akú ka’ína.,He jolted me a while ago.
Gingúlu’ ku ang ákun túdlu’ sa galapún.,I put my finger inside the bottle.
Gingútrab ku ang téla.,I cut the cloth.
Gutúk na ang sapatos sang bata.,The child's shoes are already tight.
Nabatyagan ko ang gútum pagkatapos sang obra.,I felt hunger after work.
Naggúyud akú sang kánding.,I pulled a goat.
Maghulat ka sa gwá’ sang pirtahan.,Wait outside the door.
Gwápo gid sa iya.,he's handsome
Nagháblug si Mário sang dúyan.,Mario was swinging the swing to and fro.
Ginhábnus sang makáwat ang báskit sang babayi.,The thief snatched away the basket of the woman.
Naghábuk ang lóbo.,The balloon was inflated.
Naghábug ang báta’ sa dúyan.,The child is swinging.
"habúl adj /ma-/ of edged or pointed tools, dull, blunt.",
Gamit ka sang habón sa paghugas sang imo kamot.,Use soap for washing your hands.
Indi mo pag-habúy ang basura sa suba.,Do not throw the trash into the river.
"hakáb adj ravenous, greedy.",
Nagháklu’ akú sang láb’as nga hángin.,I inhaled fresh air.
Nag-hákruy sia tungod sa kabug-at sang obra.,He complained because of the heaviness of the work.
Nagkuha sia sang isa ka hákup nga bugas.,He took one handful of rice.
Hatagi ako sang mainit nga hakús.,Give me a warm embrace.
Ginhákut námun ang ámun mangá kárga.,We transported out bags.
Naghákwat kamí sang ámun líbro.,We carried our books.
Ang hádluk ang nagpugong sa iya sa paglakat.,Fear prevented him from going.
Ginhágad ni Córa akú sa íla baláy.,Cora invited me to their house.
Ginhágbas sang táwu ang hilamún.,The man cut the grass.
Halong sa pagsaka sa hagdan.,Be careful climbing the stairs.
Naghágis si Rosíta sang rósas.,Rosita trimmed the rose plant.
Nag-hágmak sia sa kalsada kaina.,He fell down on the road earlier.
Ginhagúphágúp ku ang ákun kuríng.,I patted my cat.
Halá ka!,See what you did!
Naghálab ang báka.,The cow pastured.
Mabatian ang iya halákhak sa bilog nga balay.,Her laughter can be heard throughout the house.
Ining kanta ay ang akon hálad para sa inyo.,This song is my offering for you.
Naghaláy ang labandéra sang mangá linábhan nya.,The laundrywoman hung her wash.
Ginhál’id ku ánay ang mangá papél sa higád kay ári na ang bisíta.,I hurriedly put the papers aside because the visitor is already here.
Human sa matig-a nga kahoy ang halígi sang balay.,The pillar of the house is made of hard wood.
Maghatag ka sang halimbáwa’ sang isa ka maayo nga buhat.,Give an example of a good deed.
Naghalín akú sa opisína.,I came from the office.
Naghálin kamí sang baláy.,We moved to another house.
Yari na sia sa ikatatlo nga halíntang sang iya pagtuon.,He is already at the third grade of his studies.
Ginhalítan sang úlud ang tanúm.,The worm has damaged the plant.
Namit ang halíya nga hinimo sang akon iloy.,The coconut jelly made by my mother is delicious.
Gamita ang hál’u sa pag-durog sang mga panamas.,Use the pestle to crush the spices.
Ginhálu’ ku ang mangá útan.,I mixed the vegetables together.
Nakakuha sila sang daku nga halu’án sa punong.,They caught a large freshwater fish in the pond.
Naghatag sia sang halúk sa iya lola.,He gave a kiss to his grandmother.
Ginhalúnhun sang laláki ang isá ka ságing.,The man swallowed one whole banana.
I-hálung mo ining baso kay mabuong ini.,Handle this glass with care because it might break.
Ginhámak ni Márcos ang gobernadór.,Marcos scorned the governor.
Maayo ang iya hámbal sa publiko.,His public speech is good.
Naghámbuy si Lóurdes sa abága ku.,Lourdes supported herself on my shoulder.
Ginhámpak ang sutíl nga báta’ sang íya amáy.,The naughty child was beaten by his father.
Malipayon ang mga bata nga naga-hámpang.,The children are happy while playing.
Ano ang paborito mo nga hampángan?,What is your favorite toy?
Ibutang ang hámpul sa iya pilas.,Put the plaster on his wound.
Nahámtang ang baláy sa ma’ayung lugár.,The house is in an ideal location.
Nagpakita sia sang hámtung sa iya mga desisyon.,He showed maturity in his decisions.
"hamút adj /ma-/ sweet smelling, fragrant, odorous.",
Nahumú’ut ang Lólo sa íya mangá apú.,The Grandfather was pleased with his grandchildren.
Ginhámyang ang patáy sa punerárya.,The body lay in state at the funeral parlor.
Naghánas ang mangá soldádo.,The soldiers drilled.
Naghánda’ silá sang madámu’ nga pagká’un.,They prepared so much food.
Ang akon hándum ay mangin manunudlo.,My ambition is to be a teacher.
Magpahuway kita sa hándung sang kahoy.,Let's rest in the shade of the tree.
Ang iya handuráwan ay puno sang mga handum.,Her daydream is full of wishes.
Gin-hándus niya ang kawayan sa duta.,He thrust the bamboo into the ground.
Nag-haníg ako sang dahon sang saging sa kalaha.,I lined the pan with banana leaves.
Ginhántal ku ang káhuy sa idálum sang baláy.,I piled the wood under the house.
Nahántup ku ang silíng mu.,I understood what you said.
Ang hánut sang hangin ay mabaskog subong.,The lash of the wind is strong now.
Nag-hangád sia sa katahum sang bulan.,He looked up at the beauty of the moon.
Nanghángbas ang hardinéro san hilamún.,The gardener cut the grass.
Ginbaton niya ang hángkat sang iya kontra.,He accepted his opponent's challenge.
Ginhángdu’ ku ang imbitasyón.,I accepted the invitation.
Mabugnaw ang hángin halin sa dagat.,The wind from the sea is cool.
Nahangúp ku ang silíng nya.,I understood what he said.
Naghángus sya pag’abút nya.,He was panting when he arrived.
Naghapá’ ang pári’ sa áltar.,The priest prostrated before the altar.
Ginhapáwan sang tindéro ang bugás.,The salesman skimmed the top of the rice.
Nag-hápay ang mga tanom tungod sa bagyo.,The plants bent low because of the storm.
Isli ang hapi’n sang bata.,Change the baby's diaper.
Ginhápit námun si Ána.,We passed by for Ana.
Ginháplak ku ang dáhun sang ságing sa lamésa.,I put the banana leaf flat on the table.
Ginhaplasán ku sang Vicks ang likúd nya.,I rubbed Vicks vaporub on his back.
Ginháplay ni Cecile ang íya buhúk.,Cecile let her hair hang down her back.
Ginháplik ku ang basá’ nga papél.,I flicked the wet piece of paper.
Gin-háplit sang hangin ang amon payag.,The wind struck our hut.
I-háplus ang bulong sa iya masakit nga lawas.,Rub the medicine on his aching body.
Gin-hápu’ sia pagkatapos sang malaba nga dalagan.,He was exhausted after the long run.
Gusto ko magkadto sa Hapún.,I want to go to Japan.
Maayong hápun sa inyo tanan.,Good afternoon to all of you.
Ang hára ay nagasuksok sang bulawan nga korona.,The queen is wearing a gold crown.
Mabatian ang iya harákhak sa gwa sang kwarto.,His guffaw can be heard outside the room.
May nag-harána sa dalaga kaina sang gab-i.,Someone serenaded the young lady last night.
"harásharás adj harsh in manner, lacking in social refinement.",
Madamo sang matahum nga bulak sa amon hardín.,There are many beautiful flowers in our garden.
