ahénte	Ginpares niya ang ahénte sa iya bayo.	He/She matched the agent with his/her clothes.
áhos	Nakita ko ang áhos sa bintána.	I saw the garlic by the window.
álak	Ginahatagan niya siya sang álak.	He/She gave him/her a hard drink.
alágad	Nag’alágad sya sang báta’ nga laláki.	She adopted a baby boy.
aláhas	Ginsugo siya nga kuhaon ang aláhas.	He/She was told to get the jewelry.
álam	Nagdala siya sang álam para sa ila.	He/She brought the wisdom, knowledge for them.
alámbre	Ginpangita niya ang alámbre sa balay.	He/She looked for the wire at home.
alangáy	Ginpili niya ang alangáy nga dalan.	He/She chose the equal path.
alás	Alás tres na.	It is already three o’clock.
álat	Ginbutang niya ang álat sa aparador.	He/She put the saltiness in the cabinet.
alát	Nabalaka siya tungod sa alát.	He/She was worried because of the native basket made of woven bamboo strips.
álay	Nag’aláy’ay si Manuel kag si Jose kay Noel.	Manuel and Jose carried Noel.
alkálde	Ang alkálde nahulog sa salog.	The mayor fell on the floor.
alkánse	Ginkuha niya ang alkánse sa iya bag.	He/She took the loss in terms of money from his/her bag.
alkansíya	Ginpautang niya ang alkansíya sa iya amigo.	He/She lent the coin bank to his/her friend.
alkítran	Ginbasa niya ang tungol sa alkítran.	He/She read about the tar.
alibángbang	Gindilaab niya ang alibángbang sa kalayo.	He/She placed the butterfly near the fire.
aligútgut	Ginhinay-hinay niya ang aligútgut.	He/She handled the rage gently.
alimángu	Ang alimángu nabulad sa alon.	The crab was left out in the sun.
alipúlus	Ginbuksan niya ang alipúlus sing hinay.	He/She carefully opened the cyclone.
alíntun	Gin’alíntun ni José ang balíta’ kay Joséfa.	Jose related the incident to Josefa.
alísto	Ginpili niya ang alísto nga dalan.	He/She chose the alert path.
almasín	Ginahatagan niya siya sang almasín.	He/She gave him/her a store.
almidól	Ginbili niya ang almidól sa merkado.	He/She bought the starch at the market.
almiránte	Ginsugo siya nga kuhaon ang almiránte.	He/She was told to get the of the navy.
alpabéto	Nagdala siya sang alpabéto para sa ila.	He/She brought the alphabet for them.
alpómbra	Ginpangita niya ang alpómbra sa balay.	He/She looked for the carpet at home.
álsa	Gin’álsa nya ang báskit.	He lifted the basket.
alúm	Ang alúm ara sa ibabaw sang kahon.	The mole is on top of the box.
áman	Gin’-áman ni nánay ang pagká’un sa bisíta.	Mother prepared the food for the visitor.
amargóso	Nag’ámat’ámat na silá.	They left one by one.
amáy	Ginbantayan niya ang amáy sing maayo.	He/She took good care of the father.
ámba	Nag’ámba si Artúro.	Arturo sang.
ámbit	Gin’ámbit nya ang kadunggánun.	He shared in the honor.
ámbung	Ginpautang niya ang ámbung sa iya amigo.	He/She lent the radiance, beauty to his/her friend.
ámbut	Ang ámbut makita sa daghan nga pahayag.	The particle i don’t know appears in many expressions.
Amérika	Gindilaab niya ang Amérika sa kalayo.	He/She placed the america near the fire.
amerikána	Ginhinay-hinay niya ang amerikána.	He/She handled the formal coat for men gently.
Amerikáno	Ang Amerikáno nabulad sa alon.	The american citizen was left out in the sun.
amidúl	Ginbuksan niya ang amidúl sing hinay.	He/She carefully opened the variant of almidúl.
amígo	Ginpares niya ang amígo sa iya bayo.	He/She matched the friend with his/her clothes.
amimíluk	Nakita ko ang amimíluk sa bintána.	I saw the eyelash by the window.
amínhan	Ginahatagan niya siya sang amínhan.	He/She gave him/her a north.
ámlig	Gin’-amligán ni Élsa ang íyang bág’ung líbro.	Elsa was careful with her new book.
ámu	Ginsugo siya nga kuhaon ang ámu.	He/She was told to get the boss.
amú	Ang amú ginagamit sa pagsugod sang estorya.	The particle it is used to begin a story.
amúma	Nagsugod na siya nga to be hospitable.	He/She has already begun to to be hospitable.
ámun	Ang ámun makita sa daghan nga pahayag.	The particle our appears in many expressions.
ámut	Ang ámut ara sa ibabaw sang kahon.	The subscription, donation, contribution is on top of the box.
ámyun	Sulatan mu si José.	You write to Jose.
anák	Nag’anák si Lucille sa búnyag.	Lucille stood as a godmother for a baptism ceremony.
anád	Naghandum siya sang anád nga kinabuhi.	He/She dreamed of a usual, sophisticated, accustomed to life.
ánay	Gintuon nila ang paggamit sang ánay.	They studied the use of please, wait a minute.
-ánay	Ang -ánay makita sa daghan nga pahayag.	The particle variant of -ánan appears in many expressions.
ánaw	Ginpautang niya ang ánaw sa iya amigo.	He/She lent the deluge to his/her friend.
ándam	Nag’ámdam sa pagmaného si Pedro.	Pedro was cautious with his driving.
andámyu	Gindilaab niya ang andámyu sa kalayo.	He/She placed the gangplank near the fire.
ándar	Nag’ándar ang motor.	The motor worked.
anhíng	Ang anhíng nga tubig gin-inom niya.	He/She drank the late water.
áni	Ginbuksan niya ang áni sing hinay.	He/She carefully opened the harvest, produce.
aningál	Gin’aningál nya ang tíngug ní nánay.	She seemed to hear mother’s voice.
ántes	Nagpangabuhi siya ántes nga walay reklamo.	He/She lived earlier without complaint.
antígu	Nagpanghimos siya agod to know.	He/She prepared so he/she could to know.
antipatikú	Ginpili niya ang antipatikú nga dalan.	He/She chose the unsympathetic path.
ántud	Dako ang iyang ántud nga tagipusuon.	He/She has a fetid heart.
ántus	Ginkinahanglan nila ang magántus.	They needed to to bear.
antyúhus	Ginpangita niya ang antyúhus sa balay.	He/She looked for the spectacles at home.
anu	Ginagamit ang anu sa pagpahayag sang pagbati.	The word what is used to express feelings.
ánud	Gin ánud ang baláy pagbahá’.	The house was towed away during the flood.
ánum	Manggaránun si Conchita.	Conchita is rich.
anúnsyo	Nabalaka siya tungod sa anúnsyo.	He/She was worried because of the announcement, broadcast.
ányag	Ginsuportahan nila ang ányag nga kabataan.	They supported the beautiful youth.
ányo	Ang ányo nahulog sa salog.	The year fell on the floor.
áng	Ang líbro ára’ sa lamésa.	The book is on the table.
ángay	Ang iyang ángay nga ngirit nagpasadya sa amon.	His/Her appropriate, becoming smile made us happy.
ángkab	Gin’ángkab sang idú’ ang báta’.	The dog bit the child.
ángkla	Gindilaab niya ang ángkla sa kalayo.	He/She placed the anchor near the fire.
ángkun	Nag’ángkun sya sang kwárta.	He acquired some money.
ánggid	Nag’ánggid ang íya hitsúra sa íya amáy.	He looks like his father.
angút	Gindumdom niya nga to join together agad.	He/She remembered to to join together right away.
ápa	Ginpares niya ang ápa sa iya bayo.	He/She matched the cone with his/her clothes.
ápang	Ang ápang ginagamit sa pagsugod sang estorya.	The particle but is used to begin a story.
aparadór	Ginahatagan niya siya sang aparadór.	He/She gave him/her a closet.
ápas	Ginkinahanglan nila ang magápas.	They needed to to follow.
ápat	Ginsulat niya ang ápat sa iyang papel.	He/She wrote the word four on his/her paper.
ápdu	Nagdala siya sang ápdu para sa ila.	He/She brought the gall bladder for them.
apelyédo	Ginpangita niya ang apelyédo sa balay.	He/She looked for the surname at home.
ápin	Naghulat siya agod to support.	He/She waited in order to to support.
apínas	Nag’aplá’ag ang florera.	The flower vase scattered into pieces.
apú	Ginbutang niya ang apú sa aparador.	He/She put the grandchild in the cabinet.
ápuk	Nagdesisyon siya nga to throw.	He/She decided to to throw.
ápug	Ginbantayan niya ang ápug sing maayo.	He/She took good care of the lime.
apurá	Ginplano nila nga to make haste sa Sabado.	They planned to to make haste on Saturday.
arádu	Nag’arádu si Pedro kahápun.	Pedro plowed the field yesterday.
árko	Ginpautang niya ang árko sa iya amigo.	He/She lent the arch to his/her friend.
aresgádo	Ang aresgádo nga balay ginpalit nila.	They bought the adventurous, daring, foolhardy house.
aritmétika	Gindilaab niya ang aritmétika sa kalayo.	He/She placed the arithmetic near the fire.
arítus	Ginhinay-hinay niya ang arítus.	He/She handled the earring gently.
ármas	Ang ármas nabulad sa alon.	The weapon was left out in the sun.
árte	Ginbuksan niya ang árte sing hinay.	He/She carefully opened the art, design, decoration; actor, actress.
artíkulo	Ginpares niya ang artíkulo sa iya bayo.	He/She matched the article with his/her clothes.
arúy	Ang arúy makita sa daghan nga pahayag.	The particle ouch appears in many expressions.
-aryo	Milyonaŕyo na si López.	Lopez is already a millionaire.
ásab	Palangga nila ang ásab nga lugar.	They love the voracious place.
asál	Nag asál kamí sang bábuy.	We roasted a pig.
ásang	Nagdala siya sang ásang para sa ila.	He/She brought the fish gill for them.
asáwa	Ginpangita niya ang asáwa sa balay.	He/She looked for the wife at home.
aséro	Ginpakita niya ang aséro sa amon.	He/She showed us the steel.
asílo	Ang asílo ara sa ibabaw sang kahon.	The sanctuary is on top of the box.
asikáso	Nahadlok siya nga to take care of.	He/She was afraid to to take care of.
asín	Nabalaka siya tungod sa asín.	He/She was worried because of the salt.
áslum	Ginbantayan niya ang áslum sing maayo.	He/She took good care of the sourness.
asú	Nag’asú ang kaláyu.	The fire smoked.
asúkar	Ginkuha niya ang asúkar sa iya bag.	He/She took the refined sugar from his/her bag.
asúgi	Ginpautang niya ang asúgi sa iya amigo.	He/She lent the mercury to his/her friend.
asúl	Kilala siya bilang asúl nga tawo.	He/She is known as a blue person.
asúntu	Gindilaab niya ang asúntu sa kalayo.	He/She placed the lawsuit near the fire.
áswang	Ginhinay-hinay niya ang áswang.	He/She handled the witch gently.
asyendéro	Ang asyendéro nabulad sa alon.	The big landowner was left out in the sun.
atataró	Ginbuksan niya ang atataró sing hinay.	He/She carefully opened the caterpillar.
atáke	Gin’atáke sang mangá soldádo ang mangá tulisán.	The soldiers attacked the bandits.
atáy	Nakita ko ang atáy sa bintána.	I saw the liver by the window.
atendér	Malipay siya kon makaatendér siya.	He/She is happy when able to to attend to.
aténsyon	Ginbili niya ang aténsyon sa merkado.	He/She bought the attention at the market.
áthag	Nagtamaya siya sang áthag nga bunga.	He/She enjoyed the clear fruit.
atí	Nag’atí ang mangá Huk sa búkid.	The Huks plundered the mountain area.
atipán	Nagdesisyon siya nga to take care of.	He/She decided to to take care of.
atipuyúng	Nahadlok siya nga to be dizzy.	He/She was afraid to to be dizzy.
átras	Ginplano nila nga to go behind sa Sabado.	They planned to to go behind on Saturday.
atráso	Kilala siya bilang atráso nga tawo.	He/She is known as a late person.
atsára	Nabalaka siya tungod sa atsára.	He/She was worried because of the pickled green papaya.
atúbang	Sa atubángan sang kapitólyo ang tindáhan.	The store is in front of the capitol.
átun	Ginsulat niya ang átun sa iyang papel.	He/She wrote the word our on his/her paper.
atúp	Ginkuha niya ang atúp sa iya bag.	He/She took the roof from his/her bag.
atutúli	Na’áwa’ si Alfónso kay Ana.	Alfonso pitied Ana.
áwas	Gin-agda siya nga to overflow sang iya pamilya.	His/Her family invited him/her to to overflow.
awát	Gin’awát mu lang akú.	You just wasted my time.
áway	Nag’áway si Mariáno kag si Cárlos.	Mariano and Carlos had a fight.
áwto	Ang áwto nabulad sa alon.	The car was left out in the sun.
áy	Ginagamit ang áy sa pagpahayag sang pagbati.	The word oh is used to express feelings.
-ay	Ang -ay halos pirme makita sa estorya.	The word variant of -an is almost always found in stories.
ayág	Naghulat siya agod to sift.	He/She waited in order to to sift.
ayám	Nangayám silá sang usá.	They hunted for deer.
ayáp	Wala siya sang gana nga to adopt.	He/She had no desire to to adopt.
ayáw	Na’ayáwan si Pédro sang pagká’un.	Pedro was more than satisfied with the food.
áyhan	Sigúro ang kandidáto ku áyhan ang mada’úg.	Perhaps my candidate will win.
áyu	Nag’áyu ang masakítún sang hináli’.	The sick person got well rapidly.
babáyi	Ginpakita niya ang babáyi sa amon.	He/She showed us the female.
bábuy	Ang bábuy ara sa ibabaw sang kahon.	The pig is on top of the box.
báka	Nag’báka’ si José.	Jose walked under weight.
bakág	Nagtinguha siya nga to get annoyed sing husto.	He/She tried hard to to get annoyed properly.
bakál	Gindumdom niya nga to buy agad.	He/She remembered to to buy right away.
bakasyón	Ang bakasyón nahulog sa salog.	The vacation, leisure trip fell on the floor.
bákbak	Gin-agda siya nga to strip off sang iya pamilya.	His/Her family invited him/her to to strip off.
bákhaw	Nagbákhu’ silá sang pagkamatáy sang íla amáy.	They mourned the death of their father.
báknal	Ginsuportahan nila ang báknal nga kabataan.	They supported the burdensome youth.
báknit	Wala pa siya nakatuon nga magbáknit.	He/She has not yet learned to to nudge.
bákud	Kilala siya bilang bákud nga tawo.	He/She is known as a strong, stiff person.
bákul	Ginbákul si Juán sang mangá hurúng.	Juan was badly beaten by some goons.
bakúlud	Ginbuksan niya ang bakúlud sing hinay.	He/She carefully opened the slope.
bakúna	Ginpares niya ang bakúna sa iya bayo.	He/She matched the vaccination with his/her clothes.
bádlung	Wala siya sang gana nga to point out a fault or mistake.	He/She had no desire to to point out a fault or mistake.
bága	Ginahatagan niya siya sang bága.	He/She gave him/her a ember.
bagáhe	Ginbili niya ang bagáhe sa merkado.	He/She bought the luggage at the market.
bagáng	Ginplano nila nga to heat sa Sabado.	They planned to to heat on Saturday.
baganíhan	Nagdala siya sang baganíhan para sa ila.	He/She brought the hero for them.
bagásu	Ginpangita niya ang bagásu sa balay.	He/She looked for the bagasse at home.
bagátnan	Ginpakita niya ang bagátnan sa amon.	He/She showed us the south.
bágay	Ang bágay ara sa ibabaw sang kahon.	The thing is on top of the box.
bágid	Gindumdom niya nga to rub together agad.	He/She remembered to to rub together right away.
bágrung	Nabalaka siya tungod sa bágrung.	He/She was worried because of the roaring sound, thunderous sound.
bágrut	Nagbágrut ang ngípun mu kagáb’i.	You ground your teeth (in your sleep) last night.
bágsak	Ang bágsak nahulog sa salog.	The bedbug fell on the floor.
bágting	Nagbágting ang lingánay.	The bell rang.
bágtung	Nagbágtung kamí sang mangá kamátis.	We wrapped some tomatoes.
bágu	Nagbág’u ang ímu batásan.	You have changed your ways.
bagúl	Gindilaab niya ang bagúl sa kalayo.	He/She placed the hard shell of the coconut near the fire.
bágyu	Nagbágyu sa Maníla.	There was a storm in Manila.
báhin	Ginbáhin ang lóte sa mangá anák nya.	The lot was divided among the children.
báhit	Wala siya sang gana nga to take something out from the fire.	He/She had no desire to to take something out from the fire.
báhu	Ginpares niya ang báhu sa iya bayo.	He/She matched the of music, bass with his/her clothes.
bahúg	Nakita ko ang bahúg sa bintána.	I saw the food for pigs by the window.
bahúl	Ang bahúl nga dalaga naglakat sing hinay.	The coarse young woman walked slowly.
bahún	Ginbá’is nya si Rubén.	He argued with Ruben.
bála	Ginsugo siya nga kuhaon ang bála.	He/She was told to get the bullet.
balá	Ang balá makita sa daghan nga pahayag.	The particle question particle to express doubt or uncertainty; tag question particle appears in many expressions.
balábag	Nagbalábag ang áwto sa kálye.	The car blocked the street.
baláka	Ginbaláka sya sang hitabú.	He felt concerned about the incident.
balágun	Ang balágun ara sa ibabaw sang kahon.	The vine is on top of the box.
balahíbu	Ginbutang niya ang balahíbu sa aparador.	He/She put the of animals, fur in the cabinet.
balának	Nabalaka siya tungod sa balának.	He/She was worried because of the mullet.
balánse	Nagbalánse si Juán sa bángku.	Juan balanced himself on top of the bench.
balangáw	Ang balangáw nahulog sa salog.	The rainbow fell on the floor.
balás	Ginkuha niya ang balás sa iya bag.	He/She took the sand from his/her bag.
balása	Malipay siya kon makabalása siya.	He/She is happy when able to to shuffle.
balasúbas	Nagbalatí’an si Ricárdo sang kolerá.	Ricardo was sick of cholera.
baláy	Gindilaab niya ang baláy sa kalayo.	He/She placed the house, home, dwelling, building near the fire.
bálaybálay	Ginbaláybaláy nilá ang báryu.	They went to every house in the barrio.
baláybay	Ang baláybay nabulad sa alon.	The verse was left out in the sun.
balbolá	Ginbuksan niya ang balbolá sing hinay.	He/She carefully opened the valve.
bálda	Baldádo ang láwas ni Glória.	Gloria is very sickly.
báldi	Nakita ko ang báldi sa bintána.	I saw the bucket by the window.
baldúsa	Ginahatagan niya siya sang baldúsa.	He/She gave him/her a concrete pavement.
bále	Bále ánum ka písos ang ímu útang.	Your debt amounts to six pesos.
bálhas	Ginbálhas si Artúro pagkatápus maghámpang sang basketból.	Arturo perspired after playing basketball.
bálhin	Gindumdom niya nga to change agad.	He/She remembered to to change right away.
balíbad	Ginpangita niya ang balíbad sa balay.	He/She looked for the excuse, reason, refusal at home.
balík	Gin-agda siya nga to come back sang iya pamilya.	His/Her family invited him/her to to come back.
balikawáng	Ang balikawáng ara sa ibabaw sang kahon.	The hip is on top of the box.
balikíd	Nagabalikíd si Noél pára makíta’ nya ang dalága nga matahúm.	Noel looked back so that he could see the beautiful lady.
balískad	Nagbalískad ang papél sa hángin.	The paper overturned in the wind.
bálu	Ginbantayan niya ang bálu sing maayo.	He/She took good care of the widow, widower.
balúd	Ang balúd nahulog sa salog.	The ocean wave fell on the floor.
bálun	Ginkuha niya ang bálun sa iya bag.	He/She took the provisions, a stock of needed materials or supplies collected beforehand from his/her bag.
balúta	Ginpautang niya ang balúta sa iya amigo.	He/She lent the ballot to his/her friend.
bálsa	Ginbasa niya ang tungol sa bálsa.	He/She read about the raft.
bálus	Gindilaab niya ang bálus sa kalayo.	He/She placed the answer, reply, revenge, reprisal, reward, vendetta near the fire.
balúskay	Nahadlok siya nga to rummage.	He/She was afraid to to rummage.
balút	Ang balút nabulad sa alon.	The unhatched embryo of duck or chicken was left out in the sun.
balyéna	Ginbuksan niya ang balyéna sing hinay.	He/She carefully opened the whale.
bána	Ginpares niya ang bána sa iya bayo.	He/She matched the husband with his/her clothes.
banás	Nakita ko ang banás sa bintána.	I saw the path by the window.
bánda	Ginahatagan niya siya sang bánda.	He/She gave him/her a cord or strip of material serving chiefly for decoration.
bandehádo	Ginbili niya ang bandehádo sa merkado.	He/She bought the platter at the market.
bandéra	Ginsugo siya nga kuhaon ang bandéra.	He/She was told to get the flag.
bándo	Nagdala siya sang bándo para sa ila.	He/She brought the announcement, broadcast, declaration for them.
bánhaw	Nabánhaw si Krísto.	Christ resurrected.
baníg	Ginpakita niya ang baníg sa amon.	He/She showed us the native mat made from strips of palm leaves woven together.
baníhut	Ang iyang baníhut nga ngirit nagpasadya sa amon.	His/Her stubborn, obstinate, persistent, unyielding smile made us happy.
bántal	Ginbantála’ sa rádyo nga napatáy si Kennedy.	It was announced on the radio that Kennedy was assassinated.
bántay	Nabalaka siya tungod sa bántay.	He/She was worried because of the watchman, watcher, guard, observer.
bánting	Naghulat siya agod to brace or tie together with a rope.	He/She waited in order to to brace or tie together with a rope.
bántug	Ginbántug si Teodóro nga ma’áyung doktór.	Teodoro was well-known as a good doctor.
bánwa	Ginkuha niya ang bánwa sa iya bag.	He/She took the town, community, a compactly settled area usually larger than a village but smaller than a city from his/her bag.
bányo	Ginpautang niya ang bányo sa iya amigo.	He/She lent the bathroom to his/her friend.
bángkay	Ginbasa niya ang tungol sa bángkay.	He/She read about the corpse.
bangkéta	Gindilaab niya ang bangkéta sa kalayo.	He/She placed the sidewalk near the fire.
bangkéte	Ginhinay-hinay niya ang bangkéte.	He/She handled the banquet gently.
bángko	Ang bángko nabulad sa alon.	The bank was left out in the sun.
bangdánan	Ginbuksan niya ang bangdánan sing hinay.	He/She carefully opened the reason.
bángday	Nagbángday ang púnu’ sang ságing sa padér.	The banana tree leaned against the wall.
bángig	Ginbángig ni Lóla si Lólo.	Grandmother quarreled with Grandfather.
bangís	Ang iyang bangís nga ngirit nagpasadya sa amon.	His/Her brutal smile made us happy.
bangúd	Bangúd sang aksidénte, nabúlag si Córa.	Cora became blind because of the accident.
bángun	Nagsugod na siya nga to arise.	He/She has already begun to to arise.
bapór	Nagdala siya sang bapór para sa ila.	He/She brought the boat for them.
bará	Wala pa siya nakatuon nga magbará.	He/She has not yet learned to to clog.
bára	Ginpakita niya ang bára sa amon.	He/She showed us the bar.
baráha	Ang baráha ara sa ibabaw sang kahon.	The deck of playing cards is on top of the box.
barandílya	Ginbutang niya ang barandílya sa aparador.	He/She put the railing made of iron serving as a guard or support in the cabinet.
baratílyo	Nabalaka siya tungod sa baratílyo.	He/She was worried because of the bargain sale.
baráto	Nagbaráto na ang présyo sang bugás.	The price of rice has gone down.
bárbas	Ginbarbasán si José ni Mário.	Carlos shaved off Mario’s beard.
barbéro	Ginkuha niya ang barbéro sa iya bag.	He/She took the barber from his/her bag.
barílis	Ginpautang niya ang barílis sa iya amigo.	He/She lent the barrel to his/her friend.
barína	Ginbasa niya ang tungol sa barína.	He/She read about the awl.
barukán	Gindilaab niya ang barukán sa kalayo.	He/She placed the urinary bladder near the fire.
barútu	Ginhinay-hinay niya ang barútu.	He/She handled the canoe gently.
báryu	Ang báryu nabulad sa alon.	The a unit of local government and area division having the status of a village was left out in the sun.
bása	Gindumdom niya nga to read agad.	He/She remembered to to read right away.
baság	Dako ang iyang baság nga tagipusuon.	He/She has a of sound heart.
básbas	Gin-agda siya nga of plants and trees sang iya pamilya.	His/Her family invited him/her to of plants and trees.
báskit	Ginahatagan niya siya sang báskit.	He/She gave him/her a basket.
báskug	Ang báskug nga balay ginpalit nila.	They bought the of sound, loud; of force, strong house.
báso	Ginsugo siya nga kuhaon ang báso.	He/She was told to get the drinking glass.
básta	I said so.	Makádtu akú sa Lunéta básta hapítun nínyu akú.
bástun	Ginpangita niya ang bástun sa balay.	He/She looked for the walking stick at home.
bástus	Ginsuportahan nila ang bástus nga kabataan.	They supported the rude youth.
básul	Ginsugo siya nga to scold.	He/She was told to to scold.
basúra	Ginbutang niya ang basúra sa aparador.	He/She put the garbage in the cabinet.
básya	Nagbásya kamí sang túbig sa dálan.	We threw water into the street.
báta	Ginbantayan niya ang báta sing maayo.	He/She took good care of the a loose garment usually worn in bed, nightgown.
bátak	Ginplano nila nga to pull upward sa Sabado.	They planned to to pull upward on Saturday.
batás	Nagbátas ikáw sang dakúng kasákit.	You endured a great affliction.
batásan	Ginpautang niya ang batásan sa iya amigo.	He/She lent the manner to his/her friend.
batí	I can hear the talk in the next room.	Cora sa balíta’ ni Josefína.
batíd	Ang batíd nga hangin naghuyop gikan sa amihon.	A clever wind blew from the north.
batinggílan	Ang batinggílan nga balay ginpalit nila.	They bought the flirt house.
bátsi	Ang bátsi nabulad sa alon.	The hole on the road was left out in the sun.
batú	Ginbuksan niya ang batú sing hinay.	He/She carefully opened the rock, stone, pebble.
batúbatú	Nagsugod na siya nga to spell.	He/She has already begun to to spell.
bátuk	Ginkinahanglan nila ang magbátuk.	They needed to to resist.
bátug	Ginahatagan niya siya sang bátug.	He/She gave him/her a egg yolk.
bátun	Ginahinumduman niya ang pagbátun sa una.	He/She remembered to receiveing before.
batúta	Ginsugo siya nga kuhaon ang batúta.	He/She was told to get the police club.
bátyag	Nagdala siya sang bátyag para sa ila.	He/She brought the feeling, sense for them.
bawtisár	Nagbawtisár ang pári sang mangá báta.	The priest baptized the children.
bayábas	Ginpakita niya ang bayábas sa amon.	He/She showed us the guava.
báyad	Ang báyad ara sa ibabaw sang kahon.	The payment is on top of the box.
bayáw	Ginbutang niya ang bayáw sa aparador.	He/She put the sister-in-law in the cabinet.
báyaw	Ginplano nila nga to elevate sa Sabado.	They planned to to elevate on Saturday.
báybay	Ginbantayan niya ang báybay sing maayo.	He/She took good care of the beach.
baylíhan	Ang baylíhan nahulog sa salog.	The dancehall fell on the floor.
báylu	Nagpugos sila sa iya nga to exchange.	They forced him/her to to exchange.
bayú	Nagbayú kamí sang humáy.	We pounded some rice.
bérde	Ginsuportahan nila ang bérde nga kabataan.	They supported the green youth.
bersíkulu	Gindilaab niya ang bersíkulu sa kalayo.	He/She placed the verse near the fire.
beteráno	Ginhinay-hinay niya ang beteráno.	He/She handled the veteran gently.
béynte	Gintuon nila ang paggamit sang béynte.	They studied the use of twenty.
bíbi	Ginbuksan niya ang bíbi sing hinay.	He/She carefully opened the duck.
bibíg	Ginpares niya ang bibíg sa iya bayo.	He/She matched the lip with his/her clothes.
Bíbliya	Nakita ko ang Bíbliya sa bintána.	I saw the bible by the window.
Bikoláno	Ginahatagan niya siya sang Bikoláno.	He/She gave him/her a language spoken principally in albay.
biktíma	Ginbili niya ang biktíma sa merkado.	He/She bought the victim at the market.
bigúti	Ginsugo siya nga kuhaon ang bigúti.	He/She was told to get the moustache.
bíhag	R/ captivating, attractive.	Makabibíhag ang matá ni Lucille.
bílang	Nagdesisyon siya nga to consider.	He/She decided to to consider.
bilánggu	Ginpakita niya ang bilánggu sa amon.	He/She showed us the prisoner.
bilás	Ang bilás ara sa ibabaw sang kahon.	The the affinal relation of husbands or wives of siblings is on top of the box.
bilí	Nagbilí ang síngsing sang mahál.	The ring is worth much.
bilíd	Gintudluan siya kon paano magbilíd.	He/She was taught how to to hold with the hands so as to inspect closely.
bílin	Ginbantayan niya ang bílin sing maayo.	He/She took good care of the request, last words.
bilín	Ang bilín nahulog sa salog.	The balance account fell on the floor.
bílug	Ginkuha niya ang bílug sa iya bag.	He/She took the piece from his/her bag.
bilúg	Ang bilúg nga pagkaon ginhan-ok niya.	He/She savored the round food.
bílyar	Ginbasa niya ang tungol sa bílyar.	He/She read about the billiard.
bilyéte	Gindilaab niya ang bilyéte sa kalayo.	He/She placed the ticket near the fire.
binágbinág	Ginkinahanglan nila ang magbinágbinág.	They needed to to consider.
binágun	Ang binágun nabulad sa alon.	The native machete was left out in the sun.
