Hiligaynon,English
"Gikapoy na ako, apang kinahanglan ko pa magluto.","I am already tired, but I still need to cook."
Hugasi ang mga panyas pagkatapos naton kaon.,Wash the plates after we eat.
Ano ang aton sud-an para sa panihapon?,What is our viand for dinner?
Gusto ko maghigop sang mainit nga sabaw.,I want to eat/sip warm soup.
Magtan-aw kita sang pelikula subong nga gab-i.,Let's watch a movie tonight.
Makadto na ako sa tululugan agod maghigda.,I am going to the bedroom to lie down.
Ginyabihan mo bala ang pwertahan?,Did you lock the door?
Nagaturog na sia.,He/She is already asleep.
Masako naman nga adlaw buwas.,Tomorrow is another busy day.
Nangin manami gid ang akon adlaw subong.,I had a really good day today.
Salamat gid sa pagbulig mo sa akon kagina.,Thank you so much for helping me earlier.
Ano ang gin-ubra mo sa bilog nga adlaw?,What did you do the whole day?
Nagtinir lang ako sa balay kag nagpaninlo.,I just stayed at home and cleaned.
Magaturog ako sang temprano subong nga gab-i.,I will sleep early tonight.
Indi pagkalimti nga i-charge ang imo telepono.,Don't forget to charge your phone.
Kinahanglan ko manglaba buwas.,I need to wash my clothes tomorrow.
Nabatian mo bala ang balita subong?,Have you heard the news today?
Nagbayad ako sang bill sa kuryente kagina.,I paid the electricity bill earlier.
Medyo nagasakit ang akon ulo.,My head hurts a little bit.
Uminom ka sang imo bulong agod mag-ayo ang imo pamatyag.,Take your medicine so you will feel better.
Nagaplano ako nga magbisita sa uma subong nga tapos sang semana.,I am planning to visit the farm this weekend.
Nagapanaghol ang mga ido sa gwa.,The dogs are barking outside.
Patya ang mga suga antes ka magturog.,Turn off the lights before you sleep.
"Maayo nga gab-i, halong ka.","Good night, take care."
Kinahanglan sang seryoso nga pagpanghanda para sa board exam agud makakuha sang lisensya.,Serious preparation is needed for the board exam to obtain a license.
Ang Iloilo kilala bilang sentro sang edukasyon sa Nakatundan nga Kabisay-an.,Iloilo is known as the center of education in Western Visayas.
Importante nga mahibaluan ang husto nga pamaagi sang pag-assess sa pasyente nga may trauma.,It is important to know the correct way to assess a patient with trauma.
Ang pag-ugyon sang mga ginikanan kag manunudlo importante para sa pag-uswag sang mga kabataan.,The cooperation of parents and teachers is vital for the development of children.
Diin ka subong?,Where are you now?
Kadto ta sa mall karun.,Let's go to the mall later.
Ano sud-an nyo haw?,What's your viand/food?
Namit gid sang inasal subong.,Inasal sounds really good right now.
Libre mo ko bi.,"Treat me, please. / Buy me food, please."
Wala ko kwarta subong eh.,I don't have money right now.
Pila plete sa jeep?,How much is the jeepney fare?
Grabe nga traffic sa Jaro!,The traffic in Jaro is terrible!
Ma-late na ko sa ubra.,I'm going to be late for work.
Ano gina-ubra mo da?,What are you doing there?
Ga-ulan dira sa inyo?,Is it raining there?
Perti kainit subong nga adlaw!,It's extremely hot today!
Nakakaon ka na?,Have you eaten?
Bakli ko to bi kape.,Please buy me some coffee.
"Sige, mauna na ko.","Alright, I'll go ahead."
Ay ambot sa imo.,"Oh, I don't know with you. / Whatever."
Tuod man?,Is that true? / Really?
Dugay ka pa?,Will you take much longer?
"Lapit na ko, hulata lang ko.","I'm near, just wait for me."
May klase kamo subong?,Do you have classes today?
"Wala ah, holiday man.","No, it's a holiday."
Diin nami lagawan karun?,Where is a nice place to hang out later?
Mapuli na ko kay gina-ulan na.,I'm going home because it's starting to rain.
Din ka nayon?,Where exactly are you?
Diri lang ko sa kilid.,I'm just right here on the side.
Gikapoy gid ko bilog nga adlaw.,I was really tired the whole day.
Aga pa ko mabugtaw buwas.,I will wake up early tomorrow.
"Te, ano plano ta subong?","So, what's our plan today?"
lantaw ta sine!,Let's watch a movie!
Damo tawo sa mall subong.,There are a lot of people at the mall today.
Namit ila kape di ba.,Their coffee here is delicious.
Palihog ko kuha sang plato sa lamesa.,Please get the plate on the table.
Ibutang mo lang da sa kilid.,Just put it there on the side.
Pila ni tanan?,How much is all of this?
Tag-pila inyo baligya sini?,How much are you selling this for?
Wala na ko load.,I don't have phone load anymore.
Na-lowbat ang cellphone ko kagina.,My cellphone's battery died earlier.
Tawgi ko karun ha.,"Call me later, okay?"
I-chat ta ka lang.,I'll just chat with you.
Kalimot ko sang hambalon ko tani.,I forgot what I was supposed to say.
Tani hindi mag-ulan karun.,I hope it doesn't rain later.
Sin-o sa inyo ma-una puli?,Who among you is going home first?
"Dali lang, may baklon ko.","Just a moment, I have to buy something."
May dala ka nga payong?,Did you bring an umbrella?
Damo pa salakyan sa dalan.,There are still a lot of vehicles on the road.
Lakat lang ta para makatipid.,Let's just walk so we can save money.
Kaon ta anay bag-o mapuli.,Let's eat first before going home.
Ikaw nalang da mahimos?,Will you be the one to clean that up?
Gakadlaw gid ko sa ila.,I am really laughing at them.
"Sige, bwas naman!","Alright, see you tomorrow!"
Kinahanglan i-check ang expiration date sang mga pagkaon antes ini baklon sa supermarket.,The expiration date of food must be checked before buying it at the supermarket.
Ang paghampang sang mga tradisyunal nga hampang sang mga kabataan isa ka paagi para mapreserbar ang aton kultura.,Children playing traditional games is one way to preserve our culture.
"Sa pihak sang mga pagtilaw sa kabuhi, dapat magpabilin kita nga mapisan kag may paglaum sa bwas-damlag.","Despite the trials in life, we must remain hardworking and hopeful for the future."
Tag-pila ang kilo sang palamas-an?,How much is a kilo of [rice/paddy]?
Lab-as pa ni inyo isda?,Is your fish still fresh?
Pila ang bugkos sini nga kangkungg?,How much for a bundle of this water spinach?
Wala na ni ayu?,Can I get a discount? / Is there a lower price?
"Ayuha man ko bi, suki man ko nyo.","Please give me a discount, I'm a regular customer."
Pila tanan ang balayran ko?,How much is my total bill?
Pila ka kilo ang isa ka sako?,How many kilos are in one sack?
May ara kamo di baligya nga luy-a?,Do you sell ginger here?
Palihog ko timbang sang isa ka kilo nga baboy.,Please weigh one kilo of pork for me.
Pwede ni matunga?,Can this be halved?
Tuman na ka mahal sang mga panyaga subong.,Food prices are so expensive nowadays.
Diin dapit ang section sang mga de-lata?,Where is the canned goods section located?
May plastic kamo ukung eco-bag?,Do you have plastic or an eco-bag?
I-repack lang ni palihog.,Please repack this.
Kulang ang kambyo mo sa akon.,Your change for me is short/incorrect.
May sinsilyo ka nga lima?,Do you have a five-peso coin?
Pila ang presyo sang itlog subong?,What is the price of eggs right now?
Pili lang kamo sang maayo nga klase.,Just choose the good quality ones.
Daw wala na ni unod inyo kapayas.,This papaya seems like it has no meat/flesh.
I-plastic lang ni tanan palihog.,Please just put all of these in a plastic bag.
Sin-o ang tindera diri?,Who is the vendor/saleslady here?
"Malakat na kami, sa sunod naman.","We’re leaving now, see you next time."
Nami ang klase sang inyo bugas.,Your rice quality is good.
Pila ka adlaw ini malata?,How many days until this gets overripe/spoiled?
Wala kamo sang gagmay nga lamas?,Don't you have smaller spices/ingredients?
"Barato na gid na, ’no?","That's already very cheap, right?"
Iban na lang nga brand ang baklon ko.,I'll just buy a different brand.
Diin diri ang bayaran sang mga grocery?,Where is the checkout counter for the groceries?
May discount bala kung damo baklon?,Is there a discount if I buy in bulk?
Pakitadtad lang ang baboy palihog.,Please chop the pork for me.
Sabat lang sa akon kung tapos na timbang.,Just let me know when the weighing is done.
Pila ang isa ka tray sang itlog?,How much for one tray of eggs?
Pwede na ni sa kinilaw?,Is this good for kinilaw (ceviche)?
Pila ang plete sang traysikel pakadto sa palengke?,How much is the tricycle fare to the market?
Dugangi man gamay ang timbang bi.,Please add a little more to the weight.
Kaon ta anay sa carinderia sa gwa.,Let's eat first at the eatery outside.
May baligya kamo nga mantika?,Do you sell cooking oil?
"Tapos na ko pamalaklon, mauli na ko.","I'm done shopping, I'm going home."
Ihatag mo na lang ni sa akon sang barato.,Just give this to me at a cheap price.
Daw perti gid kamahal sang manok subong.,Chicken seems so expensive right now.
Pila ang kilo sang dako nga pasayan?,How much is a kilo of large shrimp?
Diin dapit ang baligyaan sang mga bayo?,Where is the area for selling clothes?
Pwede ka-isog sang inyo suka?,Is your vinegar strong/sour?
"Sige, mabalik lang ko karun hapon.","Alright, I'll just come back this afternoon."
Pila ang bayad sa parkingan?,How much is the parking fee?
Pakitestingan bi kung naga-andar.,Please test it to see if it's working.
May ara kamo nga mas gamay pa sini?,Do you have something smaller than this?
Ano ang pinaka-barato nyo nga klase?,What is your cheapest variety?
I-box lang ni palihog kay madamo.,Please just put this in a box because it's a lot.
"Salamat gid, suki!","Thank you so much, regular customer!"
May assignment ka na sa Math?,Do you already have the Math assignment?
Diin kita mapa-photocopy sini?,Where are we going to have this photocopied?
"Grabe, ka-iduk gid sang exam kagina.","Wow, the exam earlier was really difficult."
Ano oras ang next nga klase ta?,What time is our next class?
"Wala kuno si Ma’am, absent sya subong.",Ma'am is reportedly absent today.
Ma-library lang ko anay para mag-research.,I'll just go to the library first to do research.
"Pass na ta sang project, deadline na karun.","Let's submit the project, the deadline is today."
"Pautang bi sang ballpen, nadula ang akon.","Can I borrow a pen, I lost mine."
Sin-o ang groupmates mo sa Science?,Who are your groupmates in Science?
Tag-pila ang tuition subong nga semester?,How much is the tuition this semester?
Ma-cutting kita karun?,Are we going to cut classes later?
Bal-an mo kung ano ang coverage sang quiz?,Do you know what the quiz coverage is?
Ka-strikto gid sang guard sa gate.,The guard at the gate is so strict.
Diin kita manyaga karun?,Where are we eating lunch later?
Wala pa ko ka-review para sa finals.,I haven't reviewed for the finals yet.
Palihog ko pirma sang attendance sheet.,Please sign the attendance sheet for me.
"Nano, pasado ka sa board exam?","So, did you pass the board exam?"
Ma-shift ko guinto sa iban nga course.,I might shift to another course.
Daw wala ko sang may na-intindihan sa lesson.,I feel like I didn't understand anything from the lesson.
Sin-o ang president sang council subong?,Who is the council president now?
Pakitun-an bi sa akon ini nga part.,Please teach this part to me.
Grabe ka-pila sa cashier subong.,The line at the cashier is so long right now.
May extra ka pa nga yellow paper?,Do you have any extra yellow paper?
"Kadto ta sa canteen, gapang-libre si Juan.","Let's go to the canteen, Juan is treating everyone."
Ma-apply ko para sa scholarship.,I'm going to apply for a scholarship.
"Sige lang, bawi lang ta sa midterm.","It's okay, let's just make up for it in the midterms."
Diin dapit ang room sang Section A?,Where is the room for Section A located?
Pakipasa sang papel ko sa unhan.,Please pass my paper to the front.
May meeting kuno ang mga teachers karun.,The teachers supposedly have a meeting later.
Gin-check na bala ang mga grades?,Have the grades been checked already?
I-print ko lang anay ang report ko.,I'll just print my report first.
Sin-o ang adviser nyo subong nga year?,Who is your adviser this year?
Nakulbaan ko mag-defense buwas.,I'm nervous about the [thesis] defense tomorrow.
Diin kita mapungko?,Where are we going to sit?
Bal-an mo ang password sang school Wi-Fi?,Do you know the school Wi-Fi password?
"Hulat lang, ma-CR lang ko kadali.","Wait, I'm just going to the restroom for a second."
Tambong ka sa school program karun hapon?,Are you attending the school program this afternoon?
Pa-check bi sang akon grammar kung husto.,Please check my grammar if it's correct.
I-save lang ang file sa flash drive.,Just save the file on the flash drive.
tam-an gid ka-stressful sang thesis.,Thesis is really stressful.
Ma-graduate gid kita sini sa sunod nga tuig.,We will definitely graduate next year.
Sin-o ang nag-top sa quiz kagina?,Who topped the quiz earlier?
Pila ang score mo sa English?,What was your score in English?
Daw indi na ko gusto mag-skwela.,I feel like I don't want to go to school anymore.
"Kaya ta na, gamay na lang gid.","We can do this, just a little more."
Nag-brownout kagina samtang ga-exam kami.,There was a power outage earlier while we were having an exam.
Kinahanglan ko na magpauli kay gab-i na.,I need to go home because it's already late/night.
Kitaay lang ta sa gym karun.,Let's just meet at the gym later.
Nagpirma ka na sang clearance mo?,Have you signed your clearance already?
Good luck sa aton tanan!,Good luck to all of us!
Ano oras ang duty mo subong?,What time is your shift today?
Nag-out ka na bala sa biometrics?,Have you clocked out already on the biometrics?
Sin-o ang supervisor nga on-duty subong?,Who is the supervisor on-duty right now?
May meeting kita sa conference room karun alas diyes.,We have a meeting in the conference room later at ten o'clock.
Pakipasa lang ang report sa akon email.,Please send the report to my email.
Ma-leave ko tani sa masunod nga semana.,I’m planning to take a leave next week.
"Sige lang, i-follow up ko lang na sa ila.","It’s okay, I’ll just follow up with them about that."
Wala pa na-approve ang akon overtime.,My overtime hasn't been approved yet.
Kinahanglan na naton i-submit ini bwas.,We need to submit this tomorrow.
Sin-o ang nag-receive sang package kagina?,Who received the package earlier?
"Pakiprint bi sining documents, lima ka copies.","Please print these documents, five copies."
Naguba ang printer sa second floor.,The printer on the second floor is broken.
Pila ang sahod mo subong nga kinsenas?,How much is your salary this payday/cutoff?
Wala pa kamo nakabaton sang bonus?,Haven't you received your bonus yet?
Masako gid kami sa opisina sining mga tinuig.,We are really busy at the office these days.
I-cc lang ko sa email mo sa boss naton.,Just cc me in your email to our boss.
Ma-apply ako para sa promotion sa sunod nga bulan.,I'm going to apply for a promotion next month.
Sin-o ang nag-handle sining account?,Who handled this account?
Pakipirmahan bi ini nga voucher.,Please sign this voucher.
Nag-resign na kuno si Ma’am Jane.,Ma’am Jane has reportedly resigned.
Diin kita manyaga karun nga lunch break?,Where are we eating lunch this lunch break?
I-send ko sa imo ang link para sa Zoom meeting.,I'll send you the link for the Zoom meeting.
May extra ka pa nga clips ukung stapler?,Do you have any extra clips or a stapler?
Daw wala ga-andar ang aircon sa opisina.,The air conditioner in the office doesn't seem to be working.
Tuman gid ka-strikto sang aton manager.,Our manager is really strict.
Pakihatag lang ini kay Sir Ben pag-abot nya.,Please just give this to Sir Ben when he arrives.
Ma-file ako sang sick leave kay wala ko gapamatyag.,I’m going to file a sick leave because I’m not feeling well.
Pila na ka tuig ang tenure mo diri sa kumpanya?,How many years is your tenure here in the company?
I-save lang ang file sa shared folder.,Just save the file in the shared folder.
Wala na kita sang stock sang bond paper.,We are out of stock of bond paper.
Ma-late ko gamay kay trapik sa dalan.,I’ll be a little late because of the traffic on the road.
Sin-o ang naka-assign sa front desk karun?,Who is assigned to the front desk later?
Pakidala bi sining folder sa accounting.,Please bring this folder to accounting.
Ma-extend ko sang ubra para matapos ini.,I’ll extend my work [hours] to finish this.
Wala gasiga ang monitor sang computer ko.,My computer monitor isn't turning on.
"Sige, ma-collaborate kita sa sini nga project.","Alright, we will collaborate on this project."
Sin-o ang nag-assist sa client kagina?,Who assisted the client earlier?
Pakitawgan bi ang HR tuhoy sa akon benefits.,Please call HR regarding my benefits.
Ma-attend ako sang seminar sa Iloilo City.,I’m going to attend a seminar in Iloilo City.
I-update lang ko kung may balita na.,Just update me if there’s any news already.
Pila ka oras ang lunch break naton?,How many hours is our lunch break?
Nag-brownout kagina samtang ga-encode ko.,There was a power outage earlier while I was encoding.
Kinahanglan ko na mag-time out kay tapos na ubra.,I need to clock out now because work is finished.
Kitaay lang ta sa lobby karun hapon.,Let’s just meet at the lobby this afternoon.
May kape kamo da sa inyo department?,Do you have coffee there in your department?
Nagpirma ka na sang imo contract?,Have you signed your contract already?
Good job sa aton tanan sa sining project!,Good job to all of us on this project!
Diin kita mapa-set sang meeting?,Where are we going to set the meeting?
I-check ko lang anay ang akon schedule.,I’ll just check my schedule first.
Salamat gid sa pagbulig mo sa akon ubra.,Thank you so much for helping me with my work.
Diin ka makadto?,Where are you going?
Pila ang plete pakadto sa Iloilo City?,How much is the fare to Iloilo City?
"Palihog ko bayad, isa lang.","Here is my payment, just for one."
Sa unhan lang ko manaog.,I’ll be getting off just up ahead.
"Lugar lang, Boss!","Pull over/Stop here, driver!"
Pila ka oras ang biyahe halin diri?,How many hours is the trip from here?
May ara pa bala sang bus pakadto sa Estancia?,Are there still buses going to Estancia?
Diin dapit ang terminal sang mga van?,Where is the van terminal located?
Malakat na ang salakyan?,Is the vehicle leaving already?
Pila pa ka tawo ang ginahulat?,How many more people are we waiting for?
"Puno na ang jeep, sa sunod na lang ko.","The jeepney is full, I’ll just take the next one."
Ma-book ko tani sang ticket para sa bwas.,I’m planning to book a ticket for tomorrow.
Ano oras ang flight mo pakadto sa Manila?,What time is your flight to Manila?
Ara na sa airport ang aton sundo.,Our ride/service is already at the airport.
Tuman gid ka-trapik sa Diversion Road.,The traffic on Diversion Road is very heavy.
May dala ka nga dako nga bagahe?,Are you bringing heavy luggage?
Palihog ko bulig karga sini sa babaw.,Please help me load this on top.
"Diin kita masakay, sa bus ukung sa fastcraft?","Where should we ride, the bus or the fastcraft?"
Na-late ko sa barko kagina.,I missed the boat/ship earlier.
Pila ang plete sang estudyante?,How much is the student fare?
I-check bi ang itinerary naton.,Please check our itinerary.
Malayo pa bala ang aton destinasyon?,Is our destination still far?
Malipong ko kung malawig ang biyahe.,I get motion sickness when the trip is long.
May ara kamo di sang parkingan?,Do you have a parking space here?
Buksi bi ang ventana kay kinit-an ko.,Please open the window because I feel suffocated.
Paandara na ang aircon palihog.,Please turn on the air conditioner.
Diin kita ma-stopover para manyaga?,Where are we having a stopover for lunch?
Pila ang bayad sa terminal fee?,How much is the terminal fee?
I-secure lang ang inyo nga mga gamit.,Just secure your belongings.
"Sige, ma-drive na ko, tawgan ta lang ka.","Alright, I’m going to drive now, I’ll just call you."
Diin dapit ang pinakamalapit nga gasolinahan?,Where is the nearest gas station located?
Naguba ang amon salakyan sa tunga sang dalan.,Our vehicle broke down in the middle of the road.
Pila ang plete sang traysikel pakadto sa plaza?,How much is the tricycle fare to the plaza?
Sin-o ang upod mo magbiyahe?,Who are you traveling with?
Mag-halong kamo sa inyo biyahe!,Take care on your trip!
I-present lang ang inyo ID sa guard.,Just present your ID to the guard.
May discount bala ang mga senior citizen?,Is there a discount for senior citizens?
Diin kita mapa-refund sang ticket?,Where can we have the ticket refunded?
Na-cancel kuno ang biyahe tungod sa malain nga tyempo.,The trip was reportedly canceled due to bad weather.
Ano oras kita maabot sa Iloilo?,What time will we arrive in Iloilo?
Pwede ka-renta sang salakyan diri?,Can we rent a vehicle here?
Diin dapit ang ticket outlet?,Where is the ticket outlet located?
Pakidala bi sang akon passport.,Please bring my passport.
Ma-check-in na kami sa hotel karun.,We are going to check-in at the hotel later.
Pila ka kilo ang allowance sang bag?,How many kilos is the bag allowance?
Nagabantay ako sang taxi sa gwa.,I am waiting for a taxi outside.
I-send sa akon ang location mo.,Send me your location.
"Malakat na kami, see you sa Iloilo!","We’re leaving now, see you in Iloilo!"
Grabe ka-pila sa terminal subong.,The line at the terminal is very long right now.
Salamat gid sa pag-hatod sa akon.,Thank you so much for dropping me off.
Diin dapit ang terminal sang jeep pa-Jaro?,Where exactly is the jeepney terminal for Jaro?
Pila ang plete halin diri pakadto sa airport?,How much is the fare from here to the airport?
"Bayad palihog, isa lang ni sa SM.","Fare please, just one [person] for SM."
"Lugar lang sa unhan, sa may kanto.","Just pull over up ahead, by the corner."
Pila ka oras ang biyahe halin Iloilo pakadto Bacolod?,How many hours is the trip from Iloilo to Bacolod?
May ara pa bala sang last trip karun nga gab-i?,Is there still a last trip tonight?
Pakisaka bi sang bagahe ko sa babaw sang bus.,Please put my luggage on top of the bus.
"Huwat lang, mapuno pa ang salakyan.","Just wait, the vehicle is still filling up [with passengers]."
Grabe gid ka-trapik sa Diversion Road subong.,The traffic at Diversion Road is really bad right now.
Nag-book na ko sang Grab para indi ta ma-late.,I already booked a Grab so we won't be late.
"Diin kita masaka, sa fast craft ukung sa Roro?","Where are we riding, on the fast craft or the Roro?"
Pila ang bayad sa parkingan sang mall?,How much is the mall parking fee?
Ma-check-in na kami sa hotel pag-abot namon.,We will check into the hotel when we arrive.
Wala na nagadalagan ang mga tricycle diri.,Tricycles aren't operating/running here anymore.
Pakitawag bi sang taxi para sa akon.,Please call a taxi for me.
Sin-o ang driver sang salakyan kagina?,Who was the driver of the vehicle earlier?
I-update lang ko kung ara ka na sa terminal.,Just update me when you're already at the terminal.
Malayo pa bala ang aton kaladtuan?,Is our destination still far?
I-double check bi kung nadala mo ang imo ticket.,Please double-check if you brought your ticket.
Naguba ang makina sang bus samtang sa dalan kami.,The bus engine broke down while we were on the road.
Pila ang plete kung estudyante ukung senior citizen?,How much is the fare for students or senior citizens?
Pakisuyod bi sang dalan kung may gasunod sa aton.,Please check the road if someone is following us.
Ma-arkila kita sang van para sa aton tour.,We will rent a van for our tour.
Wala ko kabalo kung diin kita manaog.,I don't know where we should get off.
Daw wala ga-andar ang metro sining taxi.,This taxi's meter doesn't seem to be running.
Pila ang bayad sa terminal fee sa airport?,How much is the airport terminal fee?
I-save lang ang QR code sang imo boarding pass.,Just save the QR code of your boarding pass.
Ma-late ang flight namon tungod sa malain nga panahon.,Our flight will be late due to bad weather.
Diin dapit ang pinakalapit nga gasolinahan diri?,Where is the nearest gas station around here?
Pakihutik bi sa driver nga manaog na ko sa sunod.,Please whisper to the driver that I'm getting off next.
May bakante pa nga pungko sa luyo sang driver?,Is there still an empty seat beside the driver?
I-check bi kung may nabilin ka nga gamit sa jeep.,Check if you left any belongings in the jeepney.
"Sige, ma-angkla na ang barko karun sa pier.","Alright, the ship will drop anchor at the pier shortly."
Pila ka kilo ang allowance sang bagahe sa eroplano?,How many kilos is the baggage allowance on the plane?
Ma-commute lang ko para makatipid.,I’ll just commute to save money.
