Hi!,Kamusta!
How do we get there?,Paano kita makakadto didto?
Take the blue line.,Kuhaa ang asul nga linya.
"Got it, thanks!","Nakuha ko na, salamat!"
Is this the right stop?,Amo bala ini ang husto nga pag-untat?
"Yes, this is it.","Huo, amo ini."
Let's get off here.,Manaug kita diri.
Watch your step.,Bantayi ang imo tikang.
Thanks for the heads-up.,Salamat sa mga heads-up.
Where is the nearest ATM?,Diin ang pinakamalapit nga ATM?
There's one around the corner.,May isa sa palibot sang kanto.
"Perfect, I need cash.","Perpekto, kinahanglan ko ang kuwarta."
How much do you need?,Pila ang kinahanglan mo?
Just fifty dollars.,Singkwenta dolyares lang.
That should be enough.,Dapat igo na ina.
Do you accept cards?,Nagabaton ka bala sang mga kard?
"Yes, we take all major cards.","Huo, ginakuha namon ang tanan nga mayor nga mga kard."
"Great, I'll pay by card.","Maayo, magabayad ako paagi sa kard."
Please insert your card.,Palihog isulod ang imo kard.
"Enter your PIN, please.","Isulod ang imo PIN, palihog."
Transaction approved.,Gin-aprubahan ang transaksyon.
Here's your receipt.,Ari ang imo resibo.
"Thank you, have a nice day!","Salamat, maayong adlaw!"
You too!,Ikaw man!
Can I get a refund?,Makakuha bala ako sang refund?
"Sure, do you have the receipt?","Sigurado, may ara ka bala sang resibo?"
"Yes, here it is.","Huo, yari ini."
We'll process it right away.,Iproseso namon ini dayon.
How long will it take?,Daw ano kalawig ini?
About three to five business days.,Mga tatlo tubtob lima ka adlaw nga negosyo.
"Okay, I understand.","Okay, nahangpan ko."
Is there anything else I can help with?,May iban pa bala ako nga mabuligan?
"No, that's all, thanks!","Indi, amo lang ina, salamat!"
Have a wonderful day!,Maayo nga adlaw!
You as well!,Ikaw man!
I need to make an appointment.,Kinahanglan ko maghimo sang appointment.
What day works for you?,Ano nga adlaw ang nagakaigo para sa imo?
How about Thursday afternoon?,Kamusta ang Huwebes sang hapon?
Let me check availability.,Tuguti ako nga tan-awon ang pagka-available.
"Yes, we have a slot at 3 PM.","Huo, may slot kami sa alas 3 sang hapon."
"Perfect, I'll be there.","Perpekto, didto ako."
Please arrive ten minutes early.,Palihog mag-abot sing napulo ka minutos sing temprano.
"Will do, thank you!","Himuon, salamat!"
Do you have insurance?,May seguro ka bala?
"Yes, I'll bring my card.","Huo, dalhon ko ang akon kard."
"Great, we'll verify it at check-in.","Maayo, i-verify namon ini sa pag-check-in."
Is parking available?,May parking bala?
"Yes, free parking in the back.","Huo, libre ang parking sa likod."
"Excellent, see you Thursday!","Maayo gid, magkitaay kita sa Huwebes!"
Looking forward to it!,Ginapaabot ko ini!
I'm feeling a bit under the weather.,Medyo ginabatyag ko ang panahon.
You should rest and drink water.,Dapat ka magpahuway kag mag-inom sang tubig.
Thanks for the advice.,Salamat sa laygay.
Feel better soon!,Mag-ayo ang imo pamatyag sa indi madugay!
"I hope so, thanks.","Nagalaum ako, salamat."
Did you take your medicine?,Gin-inom mo bala ang imo bulong?
"Yes, this morning.","Huo, sini nga aga."
"Good, keep up with it.","Maayo, magpadayon sa sini."
I'll set a reminder on my phone.,Magbutang ako sang pahanumdom sa akon telepono.
Smart idea!,Maalam nga ideya!
How's your headache now?,Kamusta ang sakit sang ulo mo subong?
"Much better, thanks for asking.","Mas maayo pa, salamat sa pagpamangkot."
That's great to hear!,Maayo gid ina pamatian!
I need to buy groceries.,Kinahanglan ko magbakal sang mga groseri.
Do you need a shopping list?,Kinahanglan mo bala ang listahan sang mga balaklon?
"Yes, that would help.","Huo, makabulig ina."
"Milk, eggs, bread, and fruit.","Gatas, itlog, tinapay, kag prutas."
Anything else?,May iban pa bala?
Maybe some coffee and snacks.,Ayhan kape kag meryenda.
"Got it, I'll pick those up.","Nahangpan ko na, kuhaon ko ina."
"Thanks, you're a lifesaver!","Salamat, isa ka ka manluluwas sang kabuhi!"
No problem at all.,Wala gid sing problema.
What's on your to-do list today?,Ano ang yara sa imo to-do list subong nga adlaw?
"Finish the report, then gym.","Tapuson ang report, dayon gym."
That sounds productive!,Daw mabungahon ina!
I hope I stick to the plan.,Nagalaum ako nga magpadayon ako sa plano.
You've got this!,Nakuha mo na ini!
Thanks for the encouragement.,Salamat sa pagpalig-on.
Anytime!,Bisan san-o!
Did you watch the game last night?,Natan-aw mo bala ang hampang kagab-i?
"No, I missed it. Who won?","Indi, nahidlaw ako sini. Sin-o ang nagdaug?"
"The home team, in overtime!","Ang home team, sa overtime!"
That must have been exciting.,Mahimo nga makakulunyag yadto.
It was incredible!,Makatilingala gid ini!
I'll catch the highlights later.,Makita ko ang mga highlight sa ulihi.
"You should, they were amazing.","Dapat mo, makatilingala sila."
What's your favorite sport?,Ano ang imo paborito nga isport?
I love playing tennis.,Nanamian ako maghampang sang tennis.
Me too! Want to play sometime?,Ako man! Gusto mo bala maghampang kon kaisa?
"Definitely, let's schedule it.","Sigurado, i-iskedyul naton ini."
"Perfect, I'll text you details.","Perpekto, i-text ko ang mga detalye."
I'm learning to cook.,Nagatuon ako magluto.
That's awesome! What are you making?,Maayo gid ina! Ano ang imo ginahimo?
Tonight I'm trying stir-fry.,Subong nga gab-i ginatilawan ko ang stir-fry.
Let me know how it turns out!,Pahibalua ako kon paano ini natabo!
"Will do, wish me luck!","Himuon, handumon ko ang swerte!"
"You don't need luck, you've got skill!","Indi mo kinahanglan ang swerte, may ikasarang ka!"
"Thanks, that means a lot.","Salamat, daku ang kahulugan sini."
Have you started the new project?,Ginsugdan mo na bala ang bag-o nga proyekto?
"Yes, I began yesterday.","Huo, nagsugod ako kahapon."
How's it going so far?,Kamusta ini tubtob subong?
Challenging but rewarding.,Makahangkat apang magantihon.
That's the best kind of work!,Amo ina ang pinakamaayo nga sahi sang trabaho!
Agreed. Let me know if you need help.,Nag-ugyon. Ipahibalo sa akon kon kinahanglan mo ang bulig.
"I appreciate that, thank you.","Ginaapresyar ko ina, salamat."
"The meeting is at 10 AM, right?","Ang miting alas 10 sang aga, indi bala?"
"Yes, in Conference Room B.","Huo, sa Conference Room B."
Should I bring anything?,May dalhon bala ako?
Just your notes and laptop.,Ang imo lang mga nota kag laptop.
"Got it, see you there!","Nahangpan ko na, magkitaay kita didto!"
See you soon!,Makitaay kita lapit na lang!
I'm having trouble with my login.,Nabudlayan ako sa akon pag-login.
Let me help you reset your password.,Tuguti ako nga buligan ka nga i-reset ang imo password.
"That would be great, thanks.","Maayo gid ina, salamat."
Check your email for the reset link.,Tan-awa ang imo email para sa link sang pag-reset.
"Got it, I'll click it now.","Nahangpan ko na, i-klik ko na ini subong."
Let me know if it works.,Pahibalua ako kon nagatrabaho ini.
It worked! Thank you so much.,Nag-obra ini! Duro gid nga salamat.
You're welcome! Glad it's fixed.,Ginaabiabi ka namon! Nalipay nga naayo na.
Is the Wi-Fi working for you?,Nagatrabaho bala ang Wi-Fi para sa imo?
"Not really, it's very slow.","Indi gid, mahinay gid ini."
Try restarting the router.,Sulayi nga i-restart ang router.
"Okay, I'll give that a shot.","Okay, tilawan ko ina."
Did it help?,Nakabulig bala ini?
"Yes, much better now!","Huo, mas maayo na karon!"
"Great, happy to help.","Maayo, nalipay sa pagbulig."
Can you send me the file?,Pwede mo bala ipadala sa akon ang file?
"Sure, what's your email?","Sigurado, ano ang imo email?"
it's name@example.com,ini ang ngalan@halimbawa.com
Sent! Let me know if you don't receive it.,Napadala na! Ipahibalo sa akon kon indi mo ini mabaton.
"Got it, thanks a million!","Nakuha ko na, salamat isa ka milyon!"
"No problem, anytime.","Wala sing problema, bisan san-o."
I'm thinking of traveling next month.,Ginahunahuna ko nga magbiyahe sa masunod nga bulan.
That sounds exciting! Where to?,Makakulunyag ina pamatian! Diin?
Maybe Italy or Japan.,Ayhan ang Italya ukon Japan.
Both are amazing choices.,Ang duha makatilingala nga mga pagpili.
I can't decide!,Indi ako makadesisyon!
What kind of experience are you looking for?,Ano nga sahi sang eksperyensya ang imo ginapangita?
Good question. I'll think about it.,Maayo nga pamangkot. Pamensaron ko gid ini.
Let me know when you decide!,Pahibalua ako kon magdesisyon ka!
"Will do, thanks for the input.","Himuon, salamat sa input."
The flight is delayed by two hours.,Ang flight nalangan sa duha ka oras.
"Oh no, that's inconvenient.","Oh indi, indi ina kombenyente."
"Yes, but at least we have time for coffee.","Huo, pero sa dimagkubos may tion kita para sa kape."
True! Let's grab a cup.,Sakto! Magkuha kita sang isa ka tasa.
Good attitude!,Maayo nga panimuot!
Where should we stay in Paris?,Diin kita dapat magtener sa Paris?
I recommend the Latin Quarter.,Ginarekomendar ko ang Latin Quarter.
Is it safe and convenient?,Luwas bala ini kag kombenyente?
Very! Close to metro and cafes.,Mismo! Malapit sa metro kag mga kapehan.
"Perfect, I'll book it.","Perpekto, i-book ko ini."
Let me know if you need tips.,Ipahibalo sa akon kon kinahanglan mo ang mga tip.
"I definitely will, thank you!","Himuon ko gid, salamat!"
Happy travels!,Malipayon nga pagbiyahe!
"Thanks, I'll send photos!","Salamat, magapadala ako sang mga litrato!"
I need to practice English daily.,Kinahanglan ko magpraktis sang Ingles kada adlaw.
That's a great goal! How will you do it?,Isa ina ka daku nga tulumuron! Paano mo ini himuon?
Maybe 15 minutes of reading and speaking.,Ayhan 15 minutos nga pagbasa kag paghambal.
Consistency is key-you'll improve fast!,Ang pagkamakanunayon amo ang yabi-madasig ka nga magauswag!
Thanks for the motivation!,Salamat sa motibasyon!
"You're welcome, keep going!","Abi-abihon ka, padayon!"
What's the best way to learn vocabulary?,Ano ang pinakamaayo nga paagi sa pagtuon sang bokabularyo?
Use flashcards and practice in context.,Maggamit sang mga flashcard kag magpraktis sa konteksto.
That makes sense. I'll try that.,Makatarunganon ina. Tilawan ko ina.
Let me know how it works for you!,Pahibalua ako kon paano ini nagatrabaho para sa imo!
"Will do, appreciate the advice.","Buhaton, pasalamati ang tambag."
I'm nervous about the presentation.,Ginakulbaan ko sa presentasyon.
You'll do great! Just practice a few times.,Maayo gid ang imo himuon! Magpraktis lang sing pila ka beses.
"Thanks, I needed to hear that.","Salamat, kinahanglan ko nga mabatian ina."
Believe in yourself-you're prepared!,Magpati sa imo kaugalingon-handa ka na!
You're right. I've got this.,Husto ka. Nakuha ko ini.
That's the spirit!,Amo ina ang espiritu!
Can we reschedule our call?,Mahimo bala naton i-reschedule ang aton tawag?
"Of course, what time works better?","Siempre, ano nga oras ang mas maayo?"
How about tomorrow at 2 PM?,Kamusta buwas sa alas 2 sang hapon?
"Perfect, I've updated my calendar.","Perpekto, gin-update ko ang akon kalendaryo."
Thanks for being flexible!,Salamat sa pagka-flexible!
"No problem, talk tomorrow!","Wala sing problema, mag-istoryahanay kamo buwas!"
I forgot to bring the documents.,Nalipat ko magdala sang mga dokumento.
"No worries, I have digital copies.","Indi magkabalaka, may ara ako mga digital nga kopya."
You're a lifesaver!,Isa ka ka manluluwas sang kabuhi!
Happy to help. Let's get started.,Malipayon nga magbulig. Magsugod na kita.
What's the agenda for today?,Ano ang agenda subong nga adlaw?
"First, review the proposal, then brainstorm.","Una, repasuha ang proposal, dayon mag-brainstorm."
Sounds like a solid plan.,Daw isa ka malig-on nga plano.
Agreed. Let's dive in.,Nag-ugyon. Mag-dive kita.
I have a suggestion for improvement.,May suhestyon ako para sa pagpauswag.
I'd love to hear it!,Gusto ko gid ini mabatian!
What if we simplify the first step?,Ano abi kon pasimplehon naton ang una nga tikang?
That's a great idea-much clearer.,Maayo gid ina nga ideya-mas maathag.
Thanks for being open to feedback.,Salamat sa pagkabukas sa feedback.
Always! Collaboration makes us better.,Permi! Ang kolaborasyon nagahimo sa aton nga mas maayo.
The deadline is approaching fast.,Ang deadline madasig nga nagahilapit.
Let's prioritize the critical tasks first.,Unahon naton ang mga kritikal nga buluhaton.
Good call. I'll handle the research.,Maayo nga tawag. Ako ang bahala sa pagpanalawsaw.
I'll draft the summary then.,I-draft ko ang summary dayon.
Perfect division of labor!,Himpit nga pagbahinbahin sang trabaho!
We'll meet the deadline for sure.,Matuman namon ang deadline nga sigurado.
I'm proud of our teamwork.,Proud ko sa among teamwork.
Me too. Let's celebrate after!,Ako man. Magsaulog kita pagkatapos!
Deal! Coffee on me.,Pag istoryahanay! Kape sa akon.
You've got a deal!,May deal ka na!
Is everything okay? You seem quiet.,Okay lang bala ang tanan? Daw mahipos ka.
Just a lot on my mind lately.,Madamo lang sa akon hunahuna sining karon lang.
Want to talk about it?,Gusto mo bala istoryahan ini?
"Thanks, that means a lot. Maybe later.","Salamat, daku ang kahulugan sini. Ayhan sa ulihi."
"Whenever you're ready, I'm here.","Kon san-o ka handa, yari ako."
I appreciate that. Really.,Ginaapresyar ko ina. Pagkamatuod.
"Anytime, friend.","Bisan san-o, abyan."
Happy birthday! Hope your day is amazing.,Malipayon nga kaadlawan! Kabay pa nga makatilingala ang imo adlaw.
Thank you so much! That's so kind.,Duro gid nga salamat! Mabuot gid ina.
You deserve all the happiness today.,Takus mo ang tanan nga kalipay karon.
Your words just made my day brighter.,Ang imo mga tinaga nagpasanag sang akon adlaw.
That's what friends are for!,Amo ina ang mga abyan!
Congratulations on your promotion!,Panginbulahan sa imo promosyon!
Thank you! I'm excited and a bit nervous.,Salamat! Excited ko kag medyo ginakulbaan.
You earned it-believe in yourself!,Natigayon mo ini-magpati ka sa imo kaugalingon!
Thanks for the vote of confidence.,Salamat sa boto sang pagsalig.
You're going to crush it!,Dugmukon mo gid ya!
I hope so! Thanks again.,Kabay pa! Salamat liwat.
I'm sorry I missed your call yesterday.,Pasensya na nga wala ko nasabat ang imo tawag kahapon.
No problem at all! Everything okay?,Wala gid sing problema! Okay lang ang tanan?
"Yes, just got caught up in work.","Huo, naabtan lang sa trabaho."
Understood. Let's catch up soon!,Mahangpan. Mag-apas kita sa indi madugay!
Definitely. How about this weekend?,Sa pagkamatuod. Kamusta ini nga talipuspusan sang semana?
Perfect! I'll text you details.,Perpekto! I-text ko ang mga detalye.
The restaurant was fantastic last night.,Ang restawran makatilingala kagab-i.
I'm so glad you enjoyed it!,Nalipay gid ako nga nanamian ka!
The pasta was incredible.,Ang pasta makatilingala.
Right? I knew you'd love that place.,Insakto? Nahibaluan ko nga maluyagan mo ina nga lugar.
Thanks for the recommendation!,Salamat sa rekomendasyon!
Anytime! Let's try a new spot next time.,Bisan san-o! Tilawan naton ang bag-o nga lugar sa masunod.
Deal! I'm already curious.,Pag istoryahanay! Na-curious na ako.
Do you have any dietary restrictions?,May mga pagdumili ka bala sa pagkaon?
"Just no nuts, please.","Indi lang mga nuts, palihog."
Noted! I'll make sure the kitchen knows.,Nasambit! Siguraduhon ko nga nahibal-an sang kusina.
"Thank you, I appreciate that.","Salamat, ginaapresyar ko ina."
Of course! Your comfort matters.,Syempre! Importante ang imo kasulhay.
Is the food ready yet?,Handa na bala ang pagkaon?
"Just a few more minutes, I promise!","Pila pa lang ka minuto, ginapromisa ko!"
"No rush, I'm happy to wait.","Indi magdali, malipayon ako nga maghulat."
Thanks for your patience. Enjoy!,Salamat sa imo pasensya. Magsinadya!
It looks delicious-thank you!,Daw manamit ini-salamat!
You're welcome! Bon appetit!,Ginaabiabi ka namon! Maayo nga pagkaon!
I need to leave early today.,Kinahanglan ko maghalin sing temprano karon.
"No problem, just update the team.","Walay problema, update lang ang team."
Will do. Thanks for understanding.,Himuon. Salamat sa pagsabot.
Family comes first-take care!,Ang pamilya amo ang una-mag-andam!
"Thanks, I really appreciate that.","Salamat, ginaapresyar ko gid ina."
Anytime. See you tomorrow!,Bisan san-o. Kitaay lang ta bwas!
The printer is out of paper.,Ang printer wala na sing papel.
I'll grab more from the supply closet.,Magkuha pa ako gikan sa aparador sa suplay.
Thanks! Let me know if you need help.,Salamat! Ipahibalo sa akon kon kinahanglan mo ang bulig.
Will do. Appreciate it!,Himuon. Apresyaha ini!
Did you finish the monthly report?,Natapos mo na bala ang bulanan nga report?
Almost! Just need to add the charts.,Halos! Kinahanglan lang idugang ang mga tsart.
Need a second pair of eyes?,Kinahanglan mo sang ikaduha nga paris sang mga mata?
"That would be great, thank you!","Maayo gid ina, salamat!"
Send it over when ready.,Ipadala ini kon handa na.
Will do in ten minutes!,Himuon sa sulod sang napulo ka minuto!
I'm having a tough day.,Mabudlay ang akon adlaw.
I'm sorry to hear that. Want to vent?,Nasubuan ako nga mabatian ina. Gusto mo mag-vent?
"Thanks, just needed to say it out loud.","Salamat, kinahanglan ko lang ihambal ini sing matunog."
Sometimes that helps. I'm here for you.,Kon kaisa makabulig ina. Ari ako para sa imo.
Means a lot. Thank you.,Nagakahulugan sing madamo. Salamat.
Anytime. Take a deep breath-you've got this.,Bisan san-o. Magginhawa sing madalom-nakuha mo ini.
You're right. One step at a time.,Husto ka. Isa ka tikang sa isa ka tion.
Exactly. Proud of you for pushing through.,Insakto gid. Proud sa imo sa pagduso.
The project launch is next week.,Ang paglansad sang proyekto sa masunod nga semana.
Are we ready for it?,Handa na bala kita para sa sini?
Almost! Final testing today.,Halos! Katapusan nga pagtilaw subong nga adlaw.
Great. Let's do a quick team huddle.,Daku. Maghimo kita sang madasig nga pagtipon sang grupo.
Good idea. I'll schedule it.,Maayo nga ideya. I-iskedyul ko ini.
Thanks! Communication is key.,Salamat! Ang komunikasyon amo ang yabi.
Always. Let's make this launch amazing!,Permi. Himuon naton nga makatilingala ini nga paglunsar!
I agree. Teamwork makes the dream work.,Nagaugyon ako. Ang pagbinuligay nagahimo sang damgo nga magmadinalag-on.
What's the Wi-Fi password here?,Ano ang password sang Wi-Fi diri?
It's on the sign by the counter.,Yara ini sa karatula sa tupad sang counter.
No problem! Enjoy your stay.,Wala problema! Mag-enjoy sa imo pagtener.
Is breakfast included with the room?,Nalakip bala ang pamahaw sa kwarto?
"Yes, served from 7 to 10 AM.","Huo, ginaserbisyuhan halin alas 7 tubtob alas 10 sang aga."
Perfect! What time is check-out?,Perpekto! Ano oras ang pag-check-out?
"11 AM, but late check-out is available.","11 AM, pero may late check-out."
"Great, I might need that.","Maayo, mahimo nga kinahanglan ko ina."
Just let the front desk know tomorrow.,Ipahibalo lang sa front desk ugma.
Will do. Thank you for the info!,Himuon. Salamat sa info!
You're welcome! Enjoy your trip.,Ginaabiabi ka namon! Mag-enjoy sa imo pagbiyahe.
I think I left my charger in the room.,Sa banta ko ginbilin ko ang akon charger sa kwarto.
"Don't worry, I'll call housekeeping.","Ayaw kabalaka, tawgan ko ang housekeeping."
"Thanks, you're so helpful!","Salamat, mabinuligon ka gid!"
Happy to assist. They'll bring it up.,Malipayon nga magbulig. Ila ini dalhon.
You've made my day easier.,Ginhimo mo nga mas mahapos ang akon adlaw.
That's what I'm here for!,Amo ina ang rason kon ngaa yari ako diri!
The weather app says rain tomorrow.,Ang weather app nagasiling nga magaulan buwas.
Good thing I packed my jacket!,Maayo kay gin-empake ko ang akon dyaket!
Smart move. Better safe than sorry.,Maalam nga lihok. Mas maayo nga luwas kay sa pasaylo.
Exactly! Hope it clears up by afternoon.,Insakto gid! Kabay pa nga magtinlo ini sa hapon.
Me too. Fingers crossed!,Ako man. Nagtabok ang mga tudlo!
Did you see the sunset yesterday?,Nakita mo bala ang pagtunod sang adlaw kahapon?
"No, I missed it. Was it nice?","Indi, nahidlaw ako sini. Nami bala ini?"
Absolutely stunning-pink and orange skies.,Makahalawhaw gid-pink kag orange nga kalangitan.
Now I'm sad I missed it!,Karon nasubuan ako nga nalimtan ko ini!
There's always tomorrow!,May ara gid buwas!
True. I'll set a reminder to step outside.,Sakto. Magbutang ako sang pahanumdom nga maggwa.
Great idea. Nature is the best therapy.,Maayo nga ideya. Ang kinaugali amo ang pinakamaayo nga terapiya.
Couldn't agree more.,Indi makasugot pa.
I need to exercise more regularly.,Kinahanglan ko nga mag-ehersisyo sing mas regular.
That's a wonderful goal! Start small.,Isa yadto ka dalayawon nga tulumuron! Magsugod sa gamay.
Maybe a 20-minute walk daily?,Ayhan 20-minutos nga paglakat kada adlaw?
Perfect! Consistency over intensity.,Perpekto! Pagkamakanunayon labaw sa kabaskugon.
Thanks for the practical advice.,Salamat sa praktikal nga tambag.
You're welcome! I believe in you.,Ginaabiabi ka namon! Nagapati ako sa imo.
That encouragement helps more than you know.,Ina nga pagpalig-on nagabulig sing kapin pa sangsa nahibaluan mo.
Anytime. You've got this!,Bisan san-o. Nakuha mo na ini!
What book are you reading now?,Ano nga libro ang imo ginabasa subong?
A mystery novel-can't put it down!,Isa ka misteryo nga nobela-indi ini mabutang!
Any recommendations for my next read?,May mga rekomendasyon para sa akon masunod nga pagbasa?
"If you like thrillers, try ""The Silent Patient"".","Kon gusto mo ang mga thriller, tilawi ang ""The Silent Patient""."
Added to my list! Thanks!,Gindugang sa akon listahan! Salamat!
Let me know what you think after.,Pahibalua ako kon ano ang imo ginahunahuna pagkatapos.
Will do! Happy reading to you too.,Himuon! Malipayon nga pagbasa man sa imo.
The kids are excited for the field trip.,Ang mga kabataan nalipay sa paglakbay sa latagon.
That's so cute! Where are they going?,Cute gid ina! Diin sila makadto?
To the science museum.,Sa museo sa siyensya.
What a fun learning experience!,Daw ano ka makalilipay nga eksperiensia sa pagtuon!
They'll love the interactive exhibits.,Mahigugma sila sa mga interactive nga eksibit.
"I hope so! Safety first, of course.","Kabay pa! Una ang kaluwasan, siyempre."
"Absolutely. Have a great trip, everyone!","Syempre. Malipayon nga paglakbay, tanan!"
Thanks! We'll share photos later.,Salamat! Ipaambit namon ang mga litrato sa ulihi.
I'm trying to reduce screen time.,Ginatinguhaan ko nga mabuhinan ang oras sa screen.
That's a healthy choice! What will you do instead?,Isa ina ka makapapagros nga pagpili! Ano ang himuon mo sa baylo?
"Read more, go for walks, maybe paint.","Magbasa pa, maglagaw, ayhan magpinta."
Those sound like fulfilling alternatives.,Daw makatuman ina nga mga alternatibo.
"Thanks! It's about balance, not perfection.","Salamat! Parte ini sa balanse, indi sa kahimpitan."
"Exactly. Progress, not pressure.","Insakto gid. Pag-uswag, indi pag-ipit."
You're helping me stay motivated.,Ginabuligan mo ako nga magpabilin nga may motibasyon.
The conference was insightful.,Ang komperensya may paghangop.
I'm glad! What was your biggest takeaway?,Nalipay ako! Ano ang pinakadako mo nga ginkuha?
The importance of adaptive leadership.,Ang importansya sang nagapasibu nga pagpanguna.
Powerful concept. How will you apply it?,Gamhanan nga konsepto. Paano mo ini iaplikar?
By listening more and empowering my team.,Paagi sa pagpamati sing dugang kag paghatag sing gahom sa akon grupo.
That's authentic leadership in action.,Amo ina ang matuod nga pagpanguna sa aksyon.
Thanks for the thoughtful reflection.,Salamat sa mabinalak-on nga pagpamalandong.
Anytime. Growth is a journey.,Bisan san-o. Ang pagtubo isa ka pagpanglakaton.
I need to update my resume.,Kinahanglan ko i-update ang akon resume.
"Good move! Focus on achievements, not just duties.","Maayo nga lihok! Magkonsentrar sa mga kadalag-an, indi lamang sa mga katungdanan."
Great tip. Quantify results where possible.,Maayo nga tip. I-quantify ang mga resulta kon posible.
Exactly! Numbers tell a compelling story.,Insakto gid! Ang mga numero nagasugid sang isa ka makawiwili nga sugilanon.
Thanks for the resume wisdom.,Salamat sa kaalam sa resume.
You're welcome! You've got great experience.,Ginaabiabi ka namon! Dako ang imo eksperyensya.
That confidence boost helps. Thank you.,Ang pagdugang sang pagsalig nagabulig. Salamat.
Anytime. You're going to shine!,Bisan san-o. Magasiga ka gid!
Is the meeting still on for 3 PM?,Nagapadayon pa bala ang miting para sa alas 3 sang hapon?
"Yes, but it's now virtual.","Huo, pero virtual na ini subong."
Got it. I'll join via the link.,Nakuha ko. Mag-upod ako paagi sa link.
Perfect. Let me know if you have tech issues.,Perpekto. Pahibalua ako kon may mga isyu ka sa teknolohiya.
Will do. Thanks for the update!,Himuon. Salamat sa update!
You're welcome. See you online!,Ginaabiabi ka namon. Kitaay kita online!
