reference	hiligaynon	english
GEN.1.21	Gani ginhimo sang Dios ang dalagko nga mga sapat sa tubig, kag ang tanan nga klase sang sapat nga nagaestar sa tubig, kag ang tanan nga klase sang sapat nga nagalupad. Nanamian ang Dios sa iya nakita.	And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was it was good.
GEN.1.22	Kag ginbendisyunan niya ini nga mga sapat. Siling niya, “Magmuad kamo kag magdamo, kamo nga mga sapat sa tubig kag mga sapat nga nagalupad.”	And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.
GEN.1.23	Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang ikalima nga adlaw.	And the evening and the morning were the fifth day.
GEN.1.24	Dayon nagsiling ang Dios, “Magkabuhi ang nagkalain-lain nga klase sang sapat sa duta: mga sapat nga mahagop kag maila, mga dalagko kag magagmay.” Kag nahimo ini.	And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.
GEN.1.25	Ginhimo sang Dios ang ini nga mga sapat, kag nanamian ang Dios sa iya nakita.	And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was it was good.
GEN.1.26	Dayon nagsiling ang Dios, “Mahimo kita sang tawo nga kaanggid sa aton. Magagahom sila sa tanan nga klase sang mga sapat: ang nagalangoy, ang nagalupad, ang nagalakat, kag ang nagakamang.”	And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.
GEN.1.27	Gani gintuga sang Dios ang tawo, lalaki kag babayi, nga kaanggid sa iya.	So God created man in his own own image, in the image of God created he him; male and female created he them.
GEN.1.28	Kag ginbendisyunan niya sila nga nagasiling, “Magmuad kamo kag magdamo para ang inyo mga kaliwat magalapta kag magagahom sa kalibutan. Kag gamhan ninyo ang tanan nga sapat.”	And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.
GEN.1.29	Dayon nagsiling ang Dios, “Ginahatag ko sa inyo ang mga tanom nga may mga liso kag ang mga kahoy nga nagapamunga para inyo kaunon.	And God said, Behold, I have given you every herb bearing seed, which is is upon the face of all the earth, and every tree, in the which is is the fruit of a tree yielding seed; to you it shall be for meat.
GEN.1.3	Dayon nagsiling ang Dios, “Magsanag!” Kag dayon may kasanag.	And God said, Let there be light: and there was light.
GEN.1.30	Kag ginahatag ko sa tanan nga sapat ang tanan nga hilamon kag dahon-dahon bilang pagkaon nila.” Kag natuman ini.	And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is there is life, I have given I have given every green herb for meat: and it was so.
GEN.1.31	Gintan-aw sang Dios ang tanan niya nga ginpanghimo kag nanamian gid siya. Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang ikaanom nga adlaw.	And God saw every thing that he had made, and, behold, it was it was very good. And the evening and the morning were the sixth day.
GEN.1.4	Nanamian ang Dios sa kasanag nga iya nakita. Dayon ginseparar niya ang kasanag kag ang kadulom.	And God saw the light, that it was it was good: and God divided the light from the darkness.
GEN.1.5	Gintawag niya nga “adlaw” ang kasanag kag gintawag niya nga “gab-i” ang kadulom. Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang una nga adlaw.	And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.
GEN.1.6	Dayon nagsiling ang Dios, “Matuga ang kahawaan nga magaseparar sa tubig sa duha ka lugar.”	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.
GEN.1.7	Kag nahimo ini. Ginhimo sang Dios ang kahawaan nga nagaseparar sa tubig sa ibabaw kag sa tubig sa idalom.	And God made the firmament, and divided the waters which were were under the firmament from the waters which were were above the firmament: and it was so.
GEN.1.8	Ini nga kahawaan gintawag sang Dios nga “kalangitan.” Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang ikaduha nga adlaw.	And God called the firmament Heaven. And the evening and the morning were the second day.
GEN.1.9	Dayon nagsiling ang Dios, “Magtingob sa isa ka lugar ang tubig sa kalibutan para magguwa ang mamala nga lugar.” Kag nahimo ini.	And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land land appear: and it was so.
GEN.2.1	Gani natapos tuga sang Dios ang kalangitan, ang kalibutan, kag ang tanan nga ara sa ila.	Thus the heavens and the earth were finished, and all the host of them.
GEN.2.10	Sa Eden may suba nga nagailig, nga amo ang nagahatag sang tubig sa katamnan. Nagsanga ini sa apat ka suba.	And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads.
GEN.2.11	Ang ngalan sang premiro nga suba amo ang Pishon. Nagailig ini sa bilog nga duta sang Havila, nga sa diin may mga bulawan.	The name of the first is is Pison: that is is it which compasseth the whole land of Havilah, where there is there is gold;
GEN.2.12	Puro gid ang mga bulawan didto. Kag makita man didto ang malahalon nga pahamot nga malahalon nga pahamot nga bediliyum, kag ang malahalon nga malahalon nga bato nga onix.	and the gold of that land is is good: there is is bdellium and the onyx stone.
GEN.2.13	Ang ngalan sang ikaduha nga suba amo ang Gihon. Nagailig ini sa bilog nga duta sang Cush.	And the name of the second river is is Gihon: the same is is it that compasseth the whole land of Ethiopia.
GEN.2.14	Ang ngalan sang ikatatlo nga suba amo ang Tigris. Nagailig ini sa east sang Assyria. Kag ang ikaapat nga suba amo ang Euphrates.	And the name of the third river is is Hiddekel: that is is it which goeth toward the east of Assyria. And the fourth river is is Euphrates.
GEN.2.15	Ginpaestar sang Ginoong Ginoong Dios sa katamnan sang Eden ang tawo nga iya ginhimo para mag-atipan sini.	And the LORD LORD God took the man, and put him into the garden of Eden to dress it and to keep it.
GEN.2.16	Kag ginsilingan niya siya, “Makakaon ka sang bunga sang bisan ano nga kahoy sa katamnan,	And the LORD LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat:
GEN.2.17	luwas lang sang bunga sang kahoy nga nagahatag sang ihibalo kon ano ang maayo kag ang malain. Kay sa tion nga kaunon mo ini, sigurado gid nga mapatay ka.”	but of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.
GEN.2.18	Dayon nagsiling ang Ginoong Ginoong Dios, “Indi maayo nga nagaisahanon lang ang tawo, himuan ko siya sang kaupod nga magabulig sa iya kag bagay sa iya.”	And the LORD LORD God said, It is It is not good that the man should be alone; I will make him an help meet for him.
GEN.2.19	Ginhimo sang Ginoong Ginoong Dios halin sa duta ang tanan nga klase sang mga sapat nga nagaestar sa duta pati ang tanan nga klase sang mga sapat nga nagalupad. Dayon gindala niya sila didto sa tawo para tan-awon kon ano ang ipangalan niya sa ila. Kag kon ano ang tawag sang tawo sa ila amo na ina ang ila mga ngalan.	And out of the ground the LORD LORD God formed every beast of the field, and every fowl of the air; and brought them them unto Adam to see what he would call them: and whatsoever Adam called every living creature, that was was the name thereof.
GEN.2.2	Natapos niya ini sa sulod sang anom ka adlaw, kag sa ikapito nga adlaw nagpahuway siya sa tanan niya nga obra.	And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.
GEN.2.20	Gani gin-ngalanan sang tawo ang mga sapat nga nagaestar sa duta pati ang mga sapat nga nagalupad. Pero wala gid sing bisan isa sa ila nga bagay nga mangin kaupod niya nga magabulig sa iya.	And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found an help meet for him.
GEN.2.21	Gani ginpatulog sang Ginoong Ginoong Dios ang tawo sing mahamuok gid. Kag samtang nagakatulog siya, ginkuha sang Ginoong Ginoong Dios ang isa niya ka gusok kag ginkipot dayon ang ginkuhaan sini.	And the LORD LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;
GEN.2.22	Ang gusok nga ginkuha sang Ginoong Ginoong Dios sa lalaki ginhimo niya nga babayi, kag gindala niya siya sa lalaki.	and the rib, which the LORD LORD God had taken from man, made he a woman, and brought her unto the man.
GEN.2.23	kay ginkuha siya halin sa lalaki. # 2:23 Pagatawgon siya nga babayi, kay ginkuha siya halin sa lalaki: Ang Hebreo nga “isha” (babayi) naghalin sa pulong nga “ish” (lalaki). # 2:23 Pagatawgon siya nga babayi, kay ginkuha siya halin sa lalaki: Ang Hebreo nga “isha” (babayi) naghalin sa pulong nga “ish” (lalaki). 2:23 Pagatawgon siya nga babayi, kay ginkuha siya halin sa lalaki: Ang Hebreo nga “isha” (babayi) naghalin sa pulong nga “ish” (lalaki). ”	And Adam said, This is is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.
GEN.2.24	Amo ina ang rason nga bayaan sang lalaki ang iya amay kag iloy kag mag-upod sa iya asawa, kag sila nga duha mangin isa.	Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.
GEN.2.25	Sadto nga tion, bisan hublas sila nga duha, wala sila mahuya.	And they were both naked, the man and his wife, and were not ashamed.
GEN.2.3	Ginbendisyunan niya ang ikapito nga adlaw kag ginkabig niya nga isa ka pinasahi nga adlaw, tungod kay sa sina nga adlaw nagpahuway siya matapos niya tuga ang tanan.	And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.
GEN.2.4	Sang paghimo sang Ginoong Ginoong Dios sang kalibutan kag sang kalangitan,	These are are the generations of the heavens and of the earth when they were created, in the day that the LORD LORD God made the earth and the heavens,
GEN.2.5	wala pa sa kalibutan ang mga ginakultibar nga mga tanom sa latagon, kay wala pa niya pagpaulana kag wala sing tawo nga magaatipan sang duta.	and every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD LORD God had not caused it to rain upon the earth, and there was there was not a man to till the ground.
GEN.2.6	Pero bisan wala sing ulan, ang mga tuburan sa kalibutan amo ang nagapabasa sa duta.	But there went up a mist from the earth, and watered the whole face of the ground.
GEN.2.7	Dayon ginhimo sang Ginoong Ginoong Dios ang tawo halin sa duta. Ginhuypan niya sa ilong ang tawo sang ginhawa nga nagahatag sang kabuhi. Gani ang tawo nangin buhi nga tinuga.	And the LORD LORD God formed man of of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.
GEN.2.8	Dayon naghimo ang Ginoong Ginoong Dios sang katamnan sa Eden, sa east, kag didto niya ginpaestar ang tawo nga iya ginhimo.	And the LORD LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.
GEN.2.9	Kag ginpatubo sang Ginoong Ginoong Dios ang tanan nga klase sang mga kahoy nga manami tulukon kag ang ila mga bunga ang ila mga bunga manamit kaunon. Sa tunga sang katamnan may kahoy didto nga nagahatag sang kabuhi, kag may kahoy man didto nga nagahatag sang ihibalo kon ano ang maayo kag ang malain.	And out of the ground made the LORD LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.
GEN.3.1	Karon, sa tanan nga maila nga sapat nga ginhimo sang Ginoong Ginoong Dios, ang man-og amo ang labing maayo magpadihot. Isa sadto ka tion, ginpamangkot sang man-og ang babayi, “Matuod gid bala nga ginabawalan kamo sang Dios nga magkaon sang bisan ano nga bunga sang kahoy sa katamnan?”	Now the serpent was more subtil than any beast of the field which the LORD LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?
GEN.3.10	Nagsabat ang lalaki, “Nabatian ko ikaw sa katamnan, gani nagpanago ako kay nahadlok ako tungod kay hublas ako.”	And he said, I heard thy voice in the garden, and I was afraid, because I was was naked; and I hid myself.
GEN.3.11	Nagpamangkot ang Ginoong Ginoong Dios, “Sin-o bala ang nagsiling sa imo nga hublas ka? Nagkaon ka bala sang bunga sang kahoy nga ginsiling ko sa imo nga indi mo pagkaunon?”	And he said, Who told thee that thou wast wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?
GEN.3.12	Nagsabat ang lalaki, “Ang babayi abi nga ginpaupod mo sa akon ginhatagan niya ako sang bunga sang sadto nga kahoy kag ginkaon ko.”	And the man said, The woman whom thou gavest to be to be with me, she gave me of the tree, and I did eat.
GEN.3.13	Ginpamangkot dayon sang Ginoong Ginoong Dios ang babayi, “Ngaa bala ginhimo mo ato?” Nagsabat ang babayi, “Gindayaan abi ako sang man-og. Amo ato nga nagkaon ako.”	And the LORD LORD God said unto the woman, What is is this that that thou hast done? And the woman said, The serpent beguiled me, and I did eat.
GEN.3.14	Gani nagsiling ang Ginoong Ginoong Dios sa man-og, “Tungod nga ginhimo mo ini, ikaw lang gid sa tanan nga sapat ang magaagom sang sini nga sumpa: sa bilog mo nga kabuhi magakamang ka paagi sa imo tiyan, kag ang imo baba permi lang masudlan sang yab-ok.	And the LORD LORD God said unto the serpent, Because thou hast done this, thou art art cursed above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:
GEN.3.15	Ikaw kag ang babayi magakontrahanay. Ang imo kaliwat kag ang iya kaliwat # 3:15 kaliwat: ukon, mga kaliwat # 3:15 kaliwat: ukon, mga kaliwat 3:15 kaliwat: ukon, mga kaliwat magakontrahanay man. Dunuton niya ang imo ulo kag kadton mo ang iya tikod.”	and I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel.
GEN.3.16	Nagsiling man siya sa babayi, “Tungod sang imo ginhimo, dugangan ko ang imo pag-antos sa pagbusong kag ang imo kasakit sa pagbata. Pero sa pihak sina, handumon mo gihapon ang imo bana, kag magagahom siya sa imo.” # 3:16 handumon…sa imo: o, tinguhaan mo nga gamhan ang imo bana, pero magagahom siya sa imo. # 3:16 handumon…sa imo: o, tinguhaan mo nga gamhan ang imo bana, pero magagahom siya sa imo. 3:16 handumon…sa imo: o, tinguhaan mo nga gamhan ang imo bana, pero magagahom siya sa imo.	Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire shall be shall be to thy husband, and he shall rule over thee.
GEN.3.17	Nagsiling man siya sa lalaki, “Tungod kay nagpati ka sa imo asawa kag nagkaon sang bunga sang kahoy nga gindumili ko sa imo, pakamalauton ko ang duta. Gani sa bilog mo nga kabuhi magapangabudlay ka sing tudo-tudo para makakaon ka.	And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is is the ground for thy sake; in sorrow shalt thou eat of of it all the days of thy life;
GEN.3.18	Magatubo sa duta ang tunukon nga mga tanom, kag magakaon ka sang mga gintanom sa uma.	thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;
GEN.3.19	Kinahanglan nga magpangabudlay ka sing tudo-tudo para makakaon ka, hasta nga magbalik ka sa duta nga amo ang imo ginhalinan. Tungod nga sa duta ka naghalin, gani sa duta ka man magabalik.”	in the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou art art , and unto dust shalt thou return.
GEN.3.2	Nagsabat ang babayi, “Makakaon kami sang bisan ano nga bunga sang kahoy diri sa katamnan,	And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:
GEN.3.20	Gin-ngalanan ni Adan # 3:20 Adan: buot silingon sa Hebreo, lalaki; ukon, katawhan # 3:20 Adan: buot silingon sa Hebreo, lalaki; ukon, katawhan 3:20 Adan: buot silingon sa Hebreo, lalaki; ukon, katawhan ang iya asawa nga “Eva” # 3:20 Eva: posible ang buot silingon sa Hebreo, nagakabuhi # 3:20 Eva: posible ang buot silingon sa Hebreo, nagakabuhi 3:20 Eva: posible ang buot silingon sa Hebreo, nagakabuhi tungod kay siya ang mangin iloy sang tanan nga tawo.	And Adam called his wife's name Eve; because she was the mother of all living.
GEN.3.21	Dayon naghimo ang Ginoong Ginoong Dios sang bayo nga halin sa panit sang sapat para kay Adan kag sa iya asawa.	Unto Adam also and to his wife did the LORD LORD God make coats of skins, and clothed them.
GEN.3.22	Dayon nagsiling ang Ginoong Ginoong Dios, “Karon ang tawo nangin pareho na sa aton nga nakahibalo kon ano ang maayo kag ang malain. Kinahanglan nga indi gid siya pagtugutan nga magkaon sang bunga sang kahoy nga nagahatag sang kabuhi, kay kon magkaon siya, magapabilin siya nga buhi hasta san-o.”	And the LORD LORD God said, Behold, the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever:
GEN.3.23	Gani ginpahalin siya sang Ginoong Ginoong Dios sa katamnan sang Eden sa pagpanguma sang duta nga amo ang iya ginhalinan.	therefore the LORD LORD God sent him forth from the garden of Eden, to till the ground from whence he was taken.
GEN.3.24	Sang nakahalin na ang tawo, nagbutang ang Ginoong Ginoong Dios sang mga kerubin sa east sang katamnan sang Eden. Kag nagbutang man siya sang espada nga nagadabadaba kag nagatiyog para wala sing may makapalapit sa kahoy nga nagahatag sang kabuhi.	So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life.
GEN.3.3	luwas lang sang bunga sang kahoy nga ara sa tunga sang sini nga katamnan. Kay nagsiling ang Dios nga indi gid kami magkaon sang bunga sang sina nga kahoy ukon bisan magtandog lang sini. Kay kon himuon namon ina, mapatay kami.”	but of the fruit of the tree which is is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die.
GEN.3.4	Pero nagsiling ang man-og, “Indi matuod nga mapatay kamo!	And the serpent said unto the woman, Ye shall not surely die:
GEN.3.5	Nagsiling ang Dios sina tungod kay nahibaluan niya nga kon kaunon ninyo ina, masanagan kamo, kag mangin pareho kamo sa iya nga nakahibalo kon ano ang maayo kag ang malain.”	for God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil.
GEN.3.6	Sang makita sang babayi nga ang kahoy manami tulukon kag ang iya mga bunga ang iya mga bunga manamit kaunon, kag tungod nga naghandom siya nga mangin maalam, nagkuha siya sang bunga kag nagkaon. Ginhatagan man niya ang iya bana kag nagkaon man siya.	And when the woman saw that the tree was was good for food, and that it was was pleasant to the eyes, and a tree to be desired to make one one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat.
GEN.3.7	Pagkatapos nila kaon, nakaintiendi sila kon ano ang maayo kag ang malain, kag natalupangdan nila nga hublas gali sila. Gani nagtambi-tambi sila sang mga dahon sang kahoy nga higera para itabon sa ila lawas.	And the eyes of them both were opened, and they knew that they were were naked; and they sewed fig leaves together, and made themselves aprons.
GEN.3.8	Sang mabulubugnaw na sang hapon, nabatian nila nga nagalakat ang Ginoong Ginoong Dios sa katamnan. Gani nagpanago sila sa kakahuyan.	And they heard the voice of the LORD LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD LORD God amongst the trees of the garden.
GEN.3.9	Pero gintawag sang Ginoong Ginoong Dios ang lalaki kag ginpamangkot, “Diin ka?”	And the LORD LORD God called unto Adam, and said unto him, Where art art thou?
GEN.4.1	Pagkatapos sadto, naghulid si Adan sa iya asawa nga si Eva kag nagbusong siya. Sang nakabata na si Eva, nagsiling siya, “Nakaangkon ako sang bata nga lalaki paagi sa bulig sang Ginoo Ginoo , gani ngalanan ko siya nga Cain.” # 4:1 Cain: posible ang buot silingon sa Hebreo, nakaangkon # 4:1 Cain: posible ang buot silingon sa Hebreo, nakaangkon 4:1 Cain: posible ang buot silingon sa Hebreo, nakaangkon	And Adam knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man from the LORD LORD .
GEN.4.10	Nagsiling dayon ang Ginoo Ginoo kay Cain, “Ano bala ang imo ginhimo? Ang dugo sang imo utod daw sa tingog nga nagapakitluoy nga silutan ko ang tawo nga nagpatay sa iya.	And he said, What hast thou done? the voice of thy brother's blood crieth unto me from the ground.
GEN.4.11	Tungod sang imo ginhimo, ginapakamalaot ko ikaw. Sugod subong indi ka na makapanguma sa duta nga nagsuyop sang dugo sang imo utod nga imo ginpatay.	And now art art thou cursed from the earth, which hath opened her mouth to receive thy brother's blood from thy hand;
GEN.4.12	Bisan magtanom ka pa, ang duta indi na magpatubas para sa imo. Kag wala ka na sing permanente nga elistaran, gani bisan diin ka na lang makadto.”	when thou tillest the ground, it shall not henceforth yield unto thee her strength; a fugitive and a vagabond shalt thou be in the earth.
GEN.4.13	Nagsiling si Cain sa Ginoo Ginoo , “Tama gid ini kabug-at nga silot para sa akon.	And Cain said unto the LORD LORD , My punishment is is greater than I can bear.
GEN.4.14	Ginatabog mo ako subong sa sini nga duta kag sa imo presensya. Wala na ako sing permanente nga elistaran, gani bisan diin na lang ako makadto. Kag kon may makakita sa akon sigurado gid nga patyon niya ako.”	Behold, thou hast driven me out this day from the face of the earth; and from thy face shall I be hid; and I shall be a fugitive and a vagabond in the earth; and it shall come to pass, that that every one that findeth me shall slay me.
GEN.4.15	Pero nagsiling ang Ginoo Ginoo kay Cain, “Indi ina matabo sa imo! Kay nagasiling ako nga ang bisan sin-o nga magpatay sa imo, balusan ko sing pito ka pilo.” Gani ginbutangan sang Ginoo Ginoo sing tanda si Cain para indi siya pagpatyon sang bisan sin-o nga makakita sa iya.	And the LORD LORD said unto him, Therefore whosoever slayeth Cain, vengeance shall be taken on him sevenfold. And the LORD LORD set a mark upon Cain, lest any finding him should kill him.
GEN.4.16	Dayon nagpalayo si Cain sa Ginoo Ginoo kag didto nag-estar sa duta sang Nod, # 4:16 Nod: posible ang buot silingon sa Hebreo, bisan diin na lang makadto # 4:16 Nod: posible ang buot silingon sa Hebreo, bisan diin na lang makadto 4:16 Nod: posible ang buot silingon sa Hebreo, bisan diin na lang makadto sa east sang Eden.	And Cain went out from the presence of the LORD LORD , and dwelt in the land of Nod, on the east of Eden.
GEN.4.17	Karon, naghulid si Cain sa iya asawa. Nagbusong ang iya asawa kag nagbata sing lalaki kag gin-ngalanan nila nga Enoc. Nagtukod si Cain sang isa ka banwa kag gin-ngalanan niya nga Enoc pareho sa ngalan sang iya anak.	And Cain knew his wife; and she conceived, and bare Enoch: and he builded a city, and called the name of the city, after the name of his son, Enoch.
GEN.4.18	Si Enoc may anak man nga lalaki kag ang iya ngalan si Irad. Si Irad nga ini amay ni Mehuel; si Mehuel amay ni Metushael; kag si Metushael amay ni Lamec.	And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.
GEN.4.19	Si Lamec may duha ka asawa nga si Ada kag si Zila.	And Lamech took unto him two wives: the name of the one was was Adah, and the name of the other Zillah.
GEN.4.2	Si Abel nangin manugbantay sang mga karnero kag kanding, kag si Cain ya nangin mangunguma.	And she again bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground.
GEN.4.20	Si Ada nagbata kay Jabal nga amo ang ginhalinan sadtong mga tawo nga nagaestar sa mga tolda, nga nagaatipan sang mga sapat.	And Adah bare Jabal: he was the father of such as dwell in tents, and of such as have of such as have cattle.
GEN.4.21	May utod si Jabal nga lalaki nga ang ngalan si Jubal, nga amo ang ginhalinan sang tanan nga manugtukar sang arpa kag plawta.	And his brother's name was was Jubal: he was the father of all such as handle the harp and organ.
GEN.4.22	Si Zila nagbata man sing lalaki nga ang ngalan si Tubal Cain. Si Tubal Cain nga ini nagapanghimo sang tanan nga klase sang galamiton halin sa salsalon kag saway. May utod siya nga babayi nga si Naama.	And Zillah, she also bare Tubal-cain, an instructer of every artificer in brass and iron: and the sister of Tubal-cain was was Naamah.
GEN.4.23	kay ginsakit kag ginpilasan niya ako.	And a young man to my hurt.
GEN.4.24	ka pilo ang balos sa tawo nga magpatay sa akon.”	Truly Lamech seventy and sevenfold.
